id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_cmiss_high,att_goal_low_left,att_hd_miss,att_hd_total,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_obox_miss,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_pass,challenge_lost,clearance_off_line,corner_taken,crosses_18yard,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,losses,lost_corners,mins_played,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shield_ball_oop,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_freekick_cross,accurate_launches,accurate_pull_back,accurate_through_ball,att_assist_setplay,att_bx_left,att_bx_right,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_low_centre,att_goal_low_right,att_ibox_blocked,att_lf_goal,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_post,att_obox_target,att_obxd_left,att_one_on_one,att_post_high,att_sv_high_centre,att_sv_high_left,att_sv_low_left,blocked_cross,blocked_scoring_att,clean_sheet,crosses_18yardplus,effective_blocked_cross,freekick_cross,goals_conceded_obox,goal_assist_deadball,goal_assist_setplay,hand_ball,hit_woodwork,interceptions_in_box,long_pass_own_to_opp_success,offtarget_att_assist,overrun,pen_goals_conceded,post_scoring_att,second_goal_assist,shot_fastbreak,six_yard_block,total_corners_intobox,total_fastbreak,total_pull_back,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,stand_catch,total_high_claim,total_keeper_sweeper,att_miss_high_left,offside_provoked,penalty_conceded,red_card,assist_blocked_shot,att_goal_high_centre,att_goal_high_right,att_hd_goal,att_ibox_post,att_post_right,error_lead_to_shot,assist_attempt_saved,att_cmiss_high_right,att_corner,att_hd_target,att_goal_high_left,att_pen_goal,own_goals,error_lead_to_goal,assist_own_goal,goal_fastbreak,assist_penalty_won,att_hd_post,att_post_left,att_sv_high_right,penalty_won,second_yellow,last_man_tackle,att_lg_centre,assist_pass_lost,att_cmiss_high_left,assist_handball_won,att_obxd_right,foul_throw_in,cross_not_claimed,dive_catch,penalty_faced,stand_save,dangerous_play,penalty_save,att_obx_left,assist_post,att_obp_goal,att_pen_target,assist_free_kick_won,att_obx_right,att_pen_post,back_pass,att_lg_left,att_pen_miss,att_lg_right
3138,277793.0,Lee Peltier,Lee,Peltier,1986-12-11,England,England,14.0,D,Right Full Back,210,88.0,10.0,121.0,,21.0,206.0,65.0,26.0,30.0,20.0,4.0,182.0,103.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,53.0,70.0,,,,20.0,12.0,1.0,,3.0,3.0,1.0,54.0,78.0,53.0,29.0,99.0,,15.0,189.0,16.0,,26.0,21.0,,,,,29.0,68.0,18.0,18.0,66.0,76.0,12.0,15.0,1543.0,2.0,1.0,335.0,12.0,8.0,153.0,18.0,180.0,180.0,1.0,38.0,31.0,20.0,34.0,,,66.0,201.0,6.0,,2.0,114.0,36.0,53.0,3.0,6.0,6.0,157028.4670715332,137.0,15.0,234.0,43.0,,70.0,,342.0,1.0,1.0,3.0,39.0,,91.0,623.0,4.0,8.0,8.0,6.0,,7.0,3.0,3.0,25.0,4.0,,3.0,3.0,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,7.0,,5.0,3.0,7.0,,5.0,,,,,0.0,31.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13825,296253.0,Adalberto Peñaranda,Adalberto,Peñaranda,1997-05-31,Venezuela,Venezuela,7.0,F,Centre Striker,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9895,281206.0,Matthew Pennington,Matthew,Pennington,1994-10-06,England,England,5.0,D,Centre Central Defender,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25513,53458.0,Pedro Pereira,Pedro,Pereira,1998-06-28,Portugal,Portugal,,M,Centre Central Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11213,281575.0,Roberto Pereyra,Roberto,Pereyra,1991-01-07,Argentina,Argentina,37.0,M,Centre Attacking Midfielder,210,300.0,47.0,641.0,13.0,46.0,933.0,21.0,19.0,4.0,33.0,13.0,255.0,137.0,38.0,19.0,32.0,19.0,,,2.0,2.0,5.0,10.0,11.0,3.0,8.0,4.0,2.0,4.0,9.0,18.0,47.0,5.0,12.0,47.0,,2.0,5.0,251.0,186.0,7.0,6.0,2.0,59.0,18.0,,17.0,20.0,66.0,7.0,177.0,102.0,20.0,10.0,103.0,11.0,27.0,265.0,33.0,6.0,53.0,48.0,4.0,1.0,1.0,1.0,10.0,42.0,23.0,23.0,151.0,57.0,14.0,5.0,2821.0,23.0,21.0,1073.0,,239.0,98.0,97.0,442.0,442.0,22.0,81.0,83.0,59.0,454.0,1.0,22.0,391.0,889.0,26.0,,35.0,350.0,81.0,20.0,89.0,40.0,31.0,351145.275390625,497.0,16.0,811.0,11.0,15.0,56.0,3.0,1121.0,57.0,10.0,,21.0,3.0,22.0,1703.0,125.0,82.0,82.0,36.0,,12.0,41.0,21.0,12.0,3.0,3.0,8.0,5.0,5.0,0.0,7.0,,1.0,1.0,14.0,2.0,1.0,6.0,2.0,,3.0,,2.0,6.0,2.0,2.0,9.0,1.0,9.0,5.0,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,4.0,7.0,14.0,4.0,5.0,7.0,6.0,5.0,,,1.0,4.0,1.0,40.0,11.0,16.0,4.0,3.0,,2.0,,9.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,3.0,,1.0,,0.0,,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
7081,302938.0,Lucas Pérez,Lucas,Pérez,1988-09-10,Spain,Spain,25.0,F,Centre Striker,210,30.0,1.0,72.0,8.0,1.0,101.0,,14.0,3.0,15.0,0.0,57.0,14.0,8.0,1.0,8.0,6.0,,1.0,,,3.0,3.0,,,8.0,,,1.0,,1.0,9.0,1.0,,1.0,,,,50.0,22.0,1.0,,2.0,8.0,2.0,,,2.0,7.0,3.0,31.0,17.0,3.0,2.0,8.0,1.0,5.0,29.0,4.0,3.0,13.0,13.0,3.0,,,,2.0,6.0,2.0,2.0,37.0,7.0,6.0,,466.0,3.0,3.0,137.0,0.0,22.0,25.0,11.0,70.0,70.0,3.0,5.0,14.0,8.0,27.0,,3.0,44.0,95.0,1.0,,8.0,36.0,4.0,3.0,8.0,2.0,2.0,60669.29687499999,71.0,3.0,109.0,2.0,9.0,4.0,3.0,143.0,9.0,4.0,11.0,6.0,1.0,,205.0,20.0,15.0,15.0,3.0,,6.0,5.0,5.0,4.0,,,1.0,1.0,,,,1.0,,,2.0,,,1.0,,,,,,,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,,3.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,302750.0,Nathaniel Phillips,Nathaniel,Phillips,1997-03-21,England,England,2.0,D,Centre Central Defender,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4640,53188.0,Jordan Pickford,Jordan,Pickford,1994-03-07,England,England,1.0,G,Goalkeeper,210,428.0,70.0,195.0,,285.0,623.0,,1.0,13.0,38.0,1.0,255.0,150.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.0,,,,,,,,,9.0,2.0,15.0,33.0,,285.0,,1.0,801.0,38.0,,46.0,40.0,,,,,,,,,151.0,633.0,14.0,23.0,3420.0,1.0,,599.0,,134.0,155.0,23.0,505.0,505.0,,18.0,1.0,,166.0,2.0,,77.0,360.0,,,1.0,486.0,112.0,33.0,,,,189718.10107421875,285.0,,632.0,373.0,,776.0,,1118.0,,,,,,,1430.0,0.0,2.0,2.0,4.0,,15.0,,,,1.0,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,6.0,,,,,,195.0,,,2.0,,,,,,,,159.0,15.0,149.0,28.0,45.0,2.0,291.0,11.0,266.0,152.0,13.0,55.0,37.0,94.0,3.0,14.0,15.0,,,1.0,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,7.0,,3.0,,,,,,,,,,,
12463,137887.0,Jérémy Pied,Jérémy,Pied,1989-02-23,France,France,26.0,D,Right Full Back,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4356,281795.0,Anthony Pilkington,Anthony,Pilkington,1988-06-06,England,Ireland,11.0,M,Left/Right Winger,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14433,170960.0,Julio Pleguezuelo,Julio,Pleguezuelo,1997-01-26,Spain,Spain,4.0,D,Centre Central Defender,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3920,172304.0,Paul Pogba,Paul,Pogba,1993-03-15,France,France,10.0,M,Centre Central Midfielder,210,580.0,148.0,1136.0,65.0,165.0,1713.0,12.0,61.0,59.0,35.0,28.0,243.0,169.0,50.0,55.0,45.0,35.0,0.0,3.0,4.0,9.0,12.0,10.0,18.0,6.0,12.0,4.0,7.0,6.0,14.0,53.0,78.0,11.0,28.0,83.0,4.0,14.0,6.0,304.0,218.0,7.0,7.0,10.0,44.0,26.0,,,11.0,89.0,9.0,259.0,234.0,36.0,25.0,321.0,23.0,54.0,622.0,34.0,13.0,43.0,36.0,5.0,9.0,5.0,9.0,25.0,87.0,18.0,18.0,520.0,255.0,8.0,5.0,3009.0,34.0,50.0,2041.0,9.0,454.0,189.0,147.0,602.0,602.0,20.0,87.0,111.0,44.0,622.0,1.0,26.0,588.0,1688.0,21.0,13.0,55.0,647.0,252.0,36.0,92.0,28.0,28.0,348524.1345214844,798.0,32.0,1449.0,19.0,70.0,249.0,5.0,2068.0,105.0,6.0,1.0,47.0,15.0,12.0,2747.0,114.0,75.0,75.0,69.0,0.0,18.0,60.0,30.0,30.0,6.0,,3.0,3.0,13.0,,1.0,,7.0,,4.0,2.0,3.0,1.0,3.0,,,,2.0,6.0,2.0,3.0,9.0,1.0,7.0,20.0,1.0,1.0,19.0,0.0,1.0,2.0,5.0,2.0,9.0,3.0,29.0,3.0,16.0,3.0,1.0,7.0,,,1.0,3.0,2.0,183.0,20.0,5.0,5.0,2.0,,3.0,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,4.0,,3.0,2.0,7.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,2.0,,,3.0,1.0,,,,,,
10079,313738.0,Nick Pope,Nick,Pope,1992-04-19,England,England,,G,Goalkeeper,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24834,264741.0,Pote,Pedro António,Pereira Gonçalves,1998-06-28,Portugal,Portugal,28.0,M,Centre Attacking Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19929,288270.0,Ian Poveda-Ocampo,Ian,Poveda-Ocampo,2000-02-09,England,England,30.0,F,Right Winger,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15200,179152.0,Joe Powell,Joe,Powell,1998-10-30,England,England,8.0,M,Centre Attacking Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19923,166961.0,Iker Pozo,Iker,Pozo,2000-08-06,Spain,Spain,,M,Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4433,281215.0,Alex Pritchard,Alex,Pritchard,1993-05-03,England,England,21.0,M,Centre Attacking Midfielder,210,203.0,30.0,485.0,15.0,29.0,671.0,3.0,35.0,14.0,30.0,8.0,180.0,103.0,22.0,25.0,24.0,11.0,1.0,1.0,,,1.0,6.0,5.0,1.0,10.0,4.0,,4.0,12.0,24.0,41.0,,10.0,36.0,2.0,7.0,1.0,238.0,127.0,2.0,,1.0,71.0,25.0,,23.0,32.0,51.0,5.0,154.0,130.0,7.0,2.0,118.0,20.0,13.0,268.0,26.0,2.0,40.0,35.0,2.0,,,,2.0,65.0,17.0,17.0,172.0,62.0,22.0,0.0,2089.0,21.0,13.0,840.0,2.0,181.0,248.0,99.0,440.0,440.0,26.0,30.0,71.0,71.0,218.0,,18.0,299.0,619.0,23.0,,32.0,236.0,72.0,7.0,59.0,78.0,58.0,265522.1569824219,440.0,36.0,738.0,12.0,16.0,64.0,7.0,896.0,47.0,15.0,4.0,36.0,1.0,3.0,1395.0,72.0,68.0,68.0,51.0,,3.0,29.0,21.0,24.0,2.0,8.0,17.0,9.0,12.0,2.0,3.0,,,8.0,3.0,7.0,0.0,3.0,,,,,,1.0,,1.0,10.0,2.0,7.0,6.0,1.0,,6.0,,,,1.0,2.0,,2.0,16.0,,18.0,2.0,8.0,5.0,,,,,,28.0,11.0,1.0,5.0,,1.0,,,20.0,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,
13822,281604.0,Sebastian Prödl,Sebastian,Prödl,1987-06-21,Austria,Austria,4.0,D,Centre Central Defender,210,3.0,,,,,3.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,13.0,,,3.0,,,,,,,,,,,1.0,,,,3.0,,,,3.0,,,,,,1408.19567871094,,,,,,,,3.0,,1.0,1.0,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16790,114730.0,Davy Pröpper,Davy,Pröpper,1991-09-02,Netherlands,Netherlands,14.0,M,Centre Central Midfielder,210,440.0,54.0,533.0,9.0,74.0,971.0,,26.0,37.0,30.0,20.0,250.0,135.0,10.0,5.0,18.0,7.0,,1.0,4.0,4.0,1.0,9.0,,,1.0,1.0,1.0,5.0,1.0,5.0,7.0,1.0,1.0,10.0,5.0,,1.0,204.0,192.0,2.0,1.0,,40.0,38.0,,,6.0,25.0,7.0,139.0,134.0,33.0,12.0,198.0,4.0,33.0,398.0,30.0,1.0,45.0,39.0,1.0,1.0,1.0,1.0,12.0,93.0,53.0,53.0,272.0,155.0,16.0,2.0,2551.0,12.0,2.0,1198.0,6.0,216.0,138.0,46.0,368.0,368.0,13.0,67.0,112.0,40.0,339.0,,11.0,250.0,957.0,15.0,,19.0,502.0,109.0,33.0,50.0,16.0,16.0,309758.5979614258,370.0,20.0,727.0,24.0,10.0,126.0,1.0,1213.0,15.0,5.0,,50.0,2.0,,1632.0,31.0,46.0,46.0,18.0,,7.0,30.0,6.0,28.0,2.0,,2.0,2.0,7.0,,6.0,,2.0,,,2.0,2.0,,,,,,,,,,0.0,,1.0,2.0,,1.0,1.0,,,1.0,,,,4.0,2.0,3.0,10.0,4.0,,6.0,,,3.0,1.0,1.0,105.0,7.0,7.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8049,261396.0,Marc Pugh,Marc,Pugh,1987-04-02,England,England,27.0,M,Left Winger,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15559,144698.0,Christian Pulisic,Christian,Pulisic,1998-09-18,United States,United States,22.0,M,Left/Centre/Right Attacking Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4084,144539.0,Jason David Ian Puncheon,Jason David Ian,Puncheon,1986-06-18,England,England,42.0,M,Left/Centre/Right Attacking Midfielder,210,47.0,11.0,123.0,,12.0,168.0,4.0,6.0,6.0,11.0,9.0,32.0,14.0,2.0,4.0,5.0,2.0,,,,,,2.0,,,5.0,,,1.0,1.0,4.0,4.0,,,1.0,,,,35.0,23.0,2.0,1.0,,10.0,6.0,,5.0,2.0,13.0,2.0,38.0,21.0,8.0,2.0,31.0,1.0,12.0,79.0,5.0,,9.0,8.0,,,,,2.0,17.0,4.0,4.0,52.0,25.0,6.0,0.0,394.0,4.0,,203.0,1.0,43.0,35.0,19.0,79.0,79.0,2.0,7.0,14.0,10.0,46.0,,3.0,68.0,159.0,2.0,,5.0,60.0,18.0,8.0,7.0,9.0,5.0,50754.3018951416,85.0,5.0,161.0,5.0,,17.0,1.0,212.0,6.0,2.0,6.0,8.0,1.0,4.0,298.0,5.0,12.0,12.0,2.0,,3.0,5.0,2.0,5.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,,,0.0,,1.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,3.0,1.0,2.0,,1.0,1.0,,,1.0,,,18.0,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21677,145030.0,Collin Quaner,Collin,Quaner,1991-06-18,Germany,Germany,45.0,F,Centre Striker,210,1.0,,12.0,1.0,,13.0,,1.0,,2.0,1.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,2.0,,6.0,1.0,,,2.0,,2.0,4.0,,,2.0,1.0,,,,,,1.0,,,3.0,,2.0,,37.0,1.0,,17.0,,1.0,5.0,3.0,8.0,8.0,1.0,1.0,,,9.0,,,9.0,13.0,,,1.0,1.0,,,1.0,,,5406.60827636719,12.0,,16.0,,1.0,,1.0,17.0,,,2.0,,,,22.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16270,288159.0,Rafa Mir,Rafael,Mir Vicente,1997-06-18,Spain,Spain,12.0,F,Centre Striker,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23820,289483.0,Rafael Camacho,Rafael Euclides,Soares Camacho,2000-05-22,Portugal,Portugal,64.0,M,Winger,210,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.543548583984,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
