id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,formation_place,mins_played,total_sub_on,wins,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,att_assist_openplay,att_bx_centre,att_cmiss_high,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_miss_high,att_miss_left,att_miss_right,att_obox_blocked,att_obx_centre,att_openplay,att_rf_goal,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yardplus,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,head_clearance,head_pass,interception,interceptions_in_box,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,own_goals,passes_left,passes_right,penalty_conceded,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shield_ball_oop,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_tackle,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,won_corners,won_tackle,yellow_card,dispossessed,won_contest,accurate_goal_kicks,accurate_keeper_throws,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,total_high_claim,cross_not_claimed,stand_catch,total_keeper_sweeper,att_assist_setplay,att_bx_right,att_cmiss_right,att_hd_post,att_ibox_post,att_post_high,big_chance_created,crosses_18yard,goal_assist,goal_assist_intentional,goal_assist_setplay,hit_woodwork,post_scoring_att,total_sub_off,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_freekick_miss,att_freekick_target,att_freekick_total,att_obox_miss,att_obox_target,att_rf_target,att_sv_high_centre,clearance_off_line,corner_taken,fouled_final_third,foul_throw_in,freekick_cross,goal_assist_deadball,goal_assist_openplay,second_goal_assist,total_corners_intobox,total_through_ball,assist_own_goal,att_bx_left,att_cmiss_left,att_fastbreak,att_goal_high_left,att_goal_high_right,att_miss_high_right,att_obp_goal,att_pen_goal,att_post_right,att_sv_high_left,dangerous_play,goals_openplay,hand_ball,penalty_won,shot_fastbreak,total_fastbreak,total_pull_back,accurate_pull_back,att_one_on_one,attempts_obox,att_cmiss_high_right,att_goal_high_centre,att_lg_centre,att_miss_high_left,att_obox_goal,att_sv_high_right,times_tackled,winning_goal,assist_pass_lost,error_lead_to_goal,att_obxd_left,att_obx_right,assist_attempt_saved,assist_free_kick_won,att_obxd_right,att_cmiss_high_left,att_obox_post,att_post_left,goal_fastbreak,assist_penalty_won,att_obx_left,att_freekick_goal,red_card,second_yellow,att_pen_target,assist_blocked_shot,accurate_keeper_sweeper,dive_catch,att_freekick_post,att_corner,penalty_faced,penalty_save,stand_save,assist_post,att_pen_post,att_lg_left,att_lg_right,back_pass,att_pen_miss
3672,289115.0,Joe Bennett,Joe,Bennett,1990-03-28,England,England,21.0,D,Left Full Back,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,93984.0,Darren Bent,Darren,Bent,1984-02-06,England,England,9.0,F,Centre Striker,27,7.0,0.0,78.0,7.0,2.0,6.0,,,,1.0,8.0,,3.0,,14.0,,12.0,3.0,,11.0,8.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,7.0,,,,,,,1.0,,,2.0,13.0,4.0,,1.0,1.0,,,,2.0,,,2.0,2.0,,1.0,5.0,,,,,6.0,1.0,1.0,3.0,,1.0,1.0,,,16.0,,,,4.0,2.0,,,,4.0,4.0,,,,,3.0,,1.0,,4.0,12.0,,1.0,6.0,,1.0,,,,8.0,3.0,12.0,,4.0,,2.0,18.0,1.0,,,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4847,179296.0,Nabil Bentaleb,Nabil,Bentaleb,1994-11-24,France,Algeria,42.0,M,Central Midfielder,27,26.0,135.0,2195.0,1.0,14.0,669.0,45.0,3.0,3.0,3.0,710.0,2.0,43.0,67.0,1376.0,8.0,23.0,37.0,14.0,220.0,103.0,,14.0,4.0,1.0,,,,,3.0,,3.0,2.0,,4.0,,,4.0,22.0,3.0,3.0,6.0,3.0,20.0,20.0,,1.0,,,1.0,3.0,196.0,168.0,1.0,,5.0,34.0,5.0,24.0,5.0,5.0,5.0,99.0,137.0,5.0,49.0,23.0,2.0,201.0,27.0,445.0,25.0,,35.0,31.0,4.0,23.0,120.0,65.0,4.0,65.0,,358.0,196.0,149.0,7.0,8.0,1.0,5.0,11.0,5.0,1564.0,9.0,1.0,,258.0,90.0,,31.0,2.0,263.0,263.0,5.0,68.0,95.0,34.0,587.0,1.0,16.0,,248.0,1356.0,18.0,16.0,737.0,82.0,49.0,33.0,9.0,9.0,325.0,7.0,858.0,16.0,43.0,112.0,,1586.0,26.0,59.0,10.0,1936.0,,16.0,16.0,16.0,3.0,45.0,8.0,20.0,28.0,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,4.0,2.0,1.0,,,,3.0,,,3.0,,,,12.0,5.0,1.0,,,,1.0,,,,2.0,,,4.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4492,32114.0,Christian Benteke,Christian,Benteke,1990-12-03,DR Congo,Belgium,20.0,F,Centre Striker,27,29.0,238.0,2380.0,3.0,7.0,139.0,21.0,,,53.0,505.0,,109.0,29.0,644.0,1.0,155.0,188.0,7.0,193.0,122.0,1.0,31.0,44.0,,,4.0,4.0,4.0,14.0,5.0,23.0,15.0,11.0,28.0,14.0,2.0,1.0,8.0,10.0,12.0,11.0,1.0,11.0,55.0,7.0,45.0,7.0,3.0,5.0,5.0,234.0,45.0,7.0,4.0,,27.0,16.0,6.0,5.0,,4.0,276.0,239.0,,20.0,15.0,,125.0,43.0,223.0,26.0,13.0,42.0,35.0,7.0,15.0,312.0,3.0,,3.0,,194.0,59.0,36.0,18.0,2.0,,14.0,19.0,29.0,927.0,2.0,8.0,,144.0,125.0,,39.0,3.0,488.0,488.0,21.0,,24.0,27.0,315.0,,35.0,2.0,250.0,605.0,9.0,33.0,185.0,35.0,20.0,47.0,6.0,6.0,450.0,152.0,787.0,2.0,128.0,47.0,36.0,966.0,80.0,11.0,1.0,1323.0,4.0,66.0,66.0,24.0,27.0,7.0,1.0,54.0,17.0,,,,,,,,,,,,,,,,,,,10.0,2.0,,1.0,,3.0,6.0,2.0,2.0,,1.0,1.0,3.0,,,2.0,1.0,,2.0,6.0,2.0,10.0,2.0,,,10.0,,,,2.0,,,3.0,,9.0,6.0,1.0,2.0,2.0,1.0,,1.0,,,2.0,8.0,2.0,,1.0,2.0,,,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
4205,288846.0,Saido Berahino,Saido,Berahino,1993-08-04,Burundi,Burundi,24.0,F,Centre Striker,27,38.0,297.0,2929.0,6.0,11.0,181.0,12.0,5.0,5.0,8.0,468.0,1.0,71.0,16.0,644.0,2.0,47.0,19.0,10.0,251.0,222.0,1.0,27.0,28.0,,1.0,5.0,5.0,2.0,2.0,2.0,8.0,11.0,13.0,19.0,8.0,1.0,7.0,19.0,5.0,11.0,5.0,6.0,31.0,70.0,11.0,59.0,3.0,9.0,4.0,6.0,237.0,100.0,7.0,9.0,1.0,48.0,17.0,17.0,5.0,5.0,11.0,210.0,113.0,1.0,7.0,4.0,1.0,52.0,32.0,162.0,32.0,14.0,46.0,38.0,8.0,4.0,40.0,9.0,,9.0,,178.0,45.0,36.0,16.0,2.0,,11.0,17.0,37.0,730.0,2.0,8.0,,121.0,152.0,1.0,32.0,4.0,377.0,377.0,16.0,26.0,58.0,48.0,197.0,,32.0,,278.0,600.0,30.0,28.0,200.0,18.0,7.0,51.0,33.0,33.0,366.0,30.0,607.0,8.0,78.0,28.0,20.0,774.0,86.0,31.0,2.0,1273.0,2.0,87.0,87.0,38.0,17.0,26.0,2.0,94.0,26.0,,,,,,,,,,,,,,,,,,,11.0,3.0,2.0,3.0,2.0,1.0,28.0,1.0,1.0,,3.0,3.0,12.0,,,1.0,1.0,1.0,4.0,10.0,15.0,14.0,1.0,,1.0,12.0,,,,1.0,,,3.0,,6.0,4.0,4.0,1.0,2.0,5.0,,4.0,,1.0,,6.0,3.0,2.0,4.0,4.0,,,1.0,,1.0,,,3.0,1.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,
2886,281358.0,Ryan Bertrand,Ryan,Bertrand,1989-08-05,England,England,5.0,D,Left Full Back,27,34.0,102.0,3055.0,,17.0,504.0,32.0,31.0,31.0,5.0,638.0,30.0,,78.0,1111.0,291.0,38.0,54.0,14.0,211.0,144.0,,23.0,3.0,,,,,,,,,,2.0,3.0,,1.0,1.0,12.0,1.0,2.0,2.0,4.0,9.0,11.0,1.0,2.0,,,1.0,,218.0,151.0,1.0,,24.0,58.0,4.0,12.0,13.0,32.0,4.0,126.0,159.0,24.0,49.0,29.0,,243.0,29.0,623.0,34.0,2.0,30.0,24.0,6.0,29.0,133.0,68.0,6.0,68.0,1.0,46.0,271.0,166.0,13.0,22.0,8.0,11.0,14.0,3.0,1358.0,8.0,12.0,,505.0,19.0,,70.0,2.0,527.0,527.0,3.0,83.0,65.0,58.0,510.0,2.0,7.0,,299.0,1078.0,30.0,27.0,595.0,85.0,49.0,49.0,120.0,120.0,427.0,11.0,922.0,106.0,,193.0,2.0,1397.0,14.0,45.0,337.0,2280.0,,33.0,33.0,40.0,28.0,34.0,3.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,87.0,2.0,2.0,,,,1.0,,,1.0,,,1.0,4.0,1.0,,,3.0,,7.0,,1.0,,2.0,,,1.0,,1.0,1.0,,,2.0,1.0,,,,,,2.0,1.0,1.0,,,5.0,3.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
10451,291946.0,Muhamed Besic,Muhamed,Besic,1992-09-10,Germany,Bosnia & Herzegovina,5.0,M,Midfielder,27,23.0,115.0,1284.0,8.0,7.0,299.0,60.0,3.0,3.0,1.0,460.0,,34.0,84.0,756.0,6.0,7.0,9.0,23.0,113.0,97.0,,7.0,,,,,,,,,,,,,,,1.0,3.0,,5.0,1.0,7.0,18.0,15.0,,15.0,3.0,1.0,,,144.0,89.0,,,7.0,31.0,7.0,40.0,1.0,9.0,7.0,112.0,112.0,7.0,33.0,17.0,1.0,132.0,30.0,244.0,15.0,,16.0,15.0,1.0,17.0,41.0,24.0,4.0,24.0,1.0,262.0,120.0,89.0,9.0,10.0,,2.0,6.0,3.0,857.0,4.0,2.0,,103.0,167.0,,25.0,1.0,172.0,172.0,3.0,30.0,56.0,31.0,218.0,,8.0,,193.0,745.0,15.0,8.0,326.0,84.0,33.0,48.0,11.0,11.0,245.0,1.0,553.0,7.0,34.0,114.0,,868.0,18.0,58.0,6.0,1146.0,,11.0,11.0,13.0,5.0,44.0,8.0,21.0,32.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,9.0,,,1.0,,,,8.0,3.0,2.0,,,,2.0,,,,,,,2.0,,,2.0,1.0,,,2.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10426,175684.0,Krystian Bielik,Krystian,Bielik,1998-01-04,Poland,Poland,,D,Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4552,27042.0,Gaël Bigirimana,Gaël,Bigirimana,1993-10-22,Burundi,Burundi,5.0,M,Midfielder,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4761,260976.0,Jerome Binnom-Williams,Jerome,Binnom-Williams,1995-03-07,England,England,26.0,D,Left Full Back,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7934,188294.0,Tyler Blackett,Tyler,Blackett,1994-04-02,England,England,24.0,D,Left/Centre Central Defender,27,11.0,28.0,650.0,5.0,3.0,241.0,20.0,1.0,1.0,,144.0,5.0,,40.0,384.0,5.0,5.0,13.0,7.0,50.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,45.0,,,3.0,5.0,,5.0,2.0,3.0,4.0,23.0,32.0,3.0,44.0,26.0,1.0,59.0,10.0,198.0,6.0,,10.0,8.0,2.0,26.0,11.0,19.0,,19.0,,66.0,112.0,71.0,4.0,3.0,8.0,,,,440.0,1.0,,1.0,101.0,12.0,1.0,8.0,1.0,81.0,81.0,1.0,31.0,13.0,5.0,167.0,3.0,,,45.0,372.0,1.0,,256.0,50.0,44.0,8.0,4.0,4.0,79.0,,201.0,25.0,,84.0,,453.0,,10.0,8.0,563.0,,3.0,3.0,3.0,1.0,9.0,3.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
4283,302779.0,Jamal Blackman,Jamal,Blackman,1993-10-23,England,England,18.0,G,Goalkeeper,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10548,142379.0,Sebastián Blanco,Sebastián,Blanco,1988-03-15,Argentina,Argentina,10.0,M,Left/Centre/Right Attacking Midfielder,27,3.0,0.0,36.0,3.0,,4.0,1.0,1.0,1.0,,9.0,1.0,,2.0,12.0,,1.0,1.0,1.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,2.0,,,,,3.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,5.0,1.0,,,,,4.0,1.0,6.0,,,,,,,3.0,1.0,,1.0,,1.0,4.0,3.0,2.0,,,,,,18.0,,,,5.0,1.0,,,,10.0,10.0,1.0,,,1.0,8.0,,1.0,,5.0,12.0,1.0,,5.0,2.0,,,3.0,2.0,9.0,1.0,16.0,1.0,,2.0,,18.0,2.0,,,28.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4888,125735.0,Daley Blind,Daley,Blind,1990-03-09,Netherlands,Netherlands,17.0,D,Centre Central Defender,27,25.0,98.0,2171.0,,14.0,613.0,45.0,1.0,1.0,2.0,777.0,5.0,8.0,102.0,1389.0,69.0,38.0,32.0,19.0,164.0,78.0,,15.0,5.0,,,1.0,1.0,,1.0,,1.0,3.0,1.0,3.0,1.0,2.0,5.0,23.0,1.0,1.0,4.0,8.0,19.0,18.0,,4.0,3.0,,2.0,5.0,174.0,126.0,,,7.0,42.0,11.0,28.0,7.0,3.0,5.0,109.0,107.0,7.0,62.0,22.0,2.0,229.0,25.0,451.0,25.0,2.0,27.0,25.0,2.0,22.0,102.0,81.0,5.0,81.0,,385.0,229.0,171.0,6.0,11.0,2.0,6.0,11.0,9.0,1547.0,2.0,,,320.0,99.0,,35.0,2.0,261.0,261.0,4.0,44.0,78.0,42.0,573.0,,8.0,,326.0,1354.0,27.0,17.0,654.0,85.0,62.0,13.0,21.0,21.0,431.0,8.0,950.0,26.0,9.0,152.0,1.0,1583.0,28.0,58.0,81.0,2016.0,,10.0,10.0,11.0,6.0,43.0,4.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,18.0,2.0,2.0,,1.0,,3.0,,,2.0,,,,5.0,6.0,2.0,,,,3.0,,,,2.0,,,4.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8978,286331.0,Jacob Blyth,Jacob,Blyth,1992-08-14,England,England,25.0,F,Centre Striker,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4769,314589.0,Hiram Boateng,Hiram,Boateng,1996-01-08,England,England,,M,Centre Central Midfielder,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10441,301766.0,Jérémie Boga,Jérémie,Boga,1997-01-03,France,Cote D’Ivoire,10.0,F,Left Winger,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4898,115678.0,Bojan,Bojan,Krkíc Pérez,1990-08-28,Spain,Spain,15.0,F,Left/Centre/Right Second Striker,27,16.0,137.0,1209.0,2.0,5.0,153.0,15.0,15.0,7.0,4.0,337.0,1.0,33.0,29.0,475.0,4.0,18.0,2.0,5.0,84.0,70.0,,19.0,7.0,,1.0,2.0,1.0,,,,,5.0,3.0,2.0,,2.0,,5.0,3.0,7.0,,8.0,20.0,22.0,2.0,27.0,2.0,1.0,,1.0,115.0,85.0,1.0,2.0,,26.0,13.0,21.0,1.0,15.0,3.0,124.0,100.0,,2.0,,,67.0,7.0,128.0,14.0,4.0,20.0,18.0,2.0,,21.0,15.0,,15.0,,142.0,44.0,26.0,8.0,2.0,,9.0,17.0,8.0,546.0,1.0,2.0,,107.0,72.0,,32.0,1.0,245.0,245.0,9.0,24.0,52.0,26.0,175.0,,11.0,,177.0,462.0,12.0,26.0,165.0,29.0,2.0,86.0,61.0,43.0,228.0,13.0,456.0,2.0,36.0,40.0,1.0,560.0,32.0,20.0,4.0,917.0,,31.0,31.0,32.0,7.0,17.0,2.0,38.0,46.0,,,,,,,,,,,,,,,,,,6.0,2.0,,,1.0,,2.0,24.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,2.0,2.0,1.0,1.0,3.0,8.0,4.0,4.0,1.0,,19.0,13.0,,4.0,,,1.0,18.0,4.0,,2.0,6.0,,,,,,1.0,,,,3.0,,1.0,,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
4763,268226.0,Yannick Bolasie,Yannick,Bolasie,1989-05-24,France,DR Congo,14.0,F,Left/Right Winger,27,34.0,333.0,2776.0,3.0,10.0,108.0,15.0,31.0,26.0,18.0,399.0,3.0,44.0,13.0,476.0,6.0,81.0,38.0,18.0,224.0,202.0,,35.0,16.0,,1.0,,3.0,,2.0,,2.0,12.0,4.0,10.0,7.0,,2.0,9.0,7.0,7.0,6.0,12.0,33.0,60.0,4.0,56.0,3.0,4.0,2.0,4.0,154.0,156.0,1.0,4.0,7.0,52.0,24.0,14.0,3.0,37.0,9.0,317.0,227.0,7.0,35.0,21.0,,66.0,50.0,212.0,31.0,4.0,42.0,32.0,10.0,21.0,86.0,11.0,,11.0,,93.0,52.0,20.0,15.0,3.0,,17.0,28.0,19.0,645.0,3.0,26.0,,219.0,79.0,,76.0,3.0,619.0,619.0,22.0,56.0,78.0,52.0,206.0,2.0,25.0,1.0,244.0,456.0,22.0,46.0,140.0,32.0,35.0,210.0,182.0,147.0,353.0,41.0,707.0,27.0,49.0,50.0,15.0,665.0,68.0,51.0,6.0,1497.0,,73.0,73.0,49.0,52.0,42.0,3.0,56.0,89.0,,,,,,,,,,,,,,,,,,4.0,6.0,,,2.0,2.0,6.0,103.0,6.0,5.0,,5.0,3.0,12.0,5.0,2.0,1.0,1.0,,1.0,12.0,8.0,13.0,3.0,,44.0,20.0,,7.0,,6.0,,35.0,2.0,,11.0,2.0,2.0,,,2.0,,,,2.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,
4838,53058.0,Wilfried Bony,Wilfried,Bony,1988-12-10,Cote D’Ivoire,Cote D’Ivoire,2.0,F,Centre Striker,27,30.0,164.0,1598.0,12.0,16.0,147.0,12.0,,,26.0,330.0,,79.0,14.0,477.0,,68.0,68.0,5.0,119.0,95.0,1.0,23.0,52.0,1.0,2.0,2.0,6.0,,6.0,5.0,11.0,15.0,11.0,17.0,14.0,,3.0,12.0,4.0,8.0,9.0,5.0,28.0,72.0,11.0,65.0,7.0,8.0,7.0,5.0,194.0,50.0,4.0,8.0,,19.0,20.0,2.0,2.0,1.0,5.0,153.0,136.0,,36.0,32.0,,64.0,38.0,146.0,18.0,11.0,18.0,17.0,1.0,32.0,87.0,4.0,,4.0,,134.0,30.0,22.0,9.0,5.0,,10.0,16.0,35.0,596.0,4.0,1.0,,59.0,67.0,,31.0,2.0,243.0,243.0,10.0,5.0,35.0,19.0,141.0,,34.0,5.0,132.0,458.0,6.0,26.0,167.0,18.0,36.0,32.0,3.0,3.0,210.0,65.0,451.0,1.0,86.0,20.0,11.0,615.0,89.0,7.0,,944.0,1.0,40.0,40.0,38.0,11.0,7.0,3.0,50.0,24.0,,,,,,,,,,,,,,,,,,,4.0,5.0,,4.0,2.0,6.0,2.0,3.0,2.0,,4.0,4.0,11.0,,,6.0,,1.0,1.0,13.0,10.0,15.0,1.0,,,6.0,,,,3.0,1.0,,11.0,,3.0,2.0,2.0,1.0,,5.0,,1.0,1.0,,,9.0,4.0,1.0,2.0,4.0,,,3.0,,1.0,,,4.0,,3.0,,,,,,,,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
3863,131756.0,Fabio Borini,Fabio,Borini,1991-03-29,Italy,Italy,11.0,F,Left/Centre/Right Second Striker,27,12.0,28.0,392.0,9.0,4.0,21.0,7.0,,,2.0,65.0,,7.0,3.0,86.0,,20.0,4.0,9.0,24.0,28.0,1.0,7.0,6.0,,,1.0,,,1.0,1.0,2.0,1.0,1.0,7.0,3.0,,,2.0,6.0,1.0,1.0,,2.0,13.0,1.0,10.0,,,,3.0,38.0,9.0,1.0,1.0,,3.0,1.0,2.0,,2.0,3.0,45.0,17.0,,,,,9.0,9.0,32.0,3.0,1.0,7.0,4.0,3.0,,11.0,5.0,,5.0,,16.0,15.0,10.0,5.0,,,2.0,6.0,5.0,103.0,,,,14.0,24.0,,7.0,,56.0,56.0,2.0,,7.0,3.0,27.0,,8.0,1.0,38.0,76.0,,8.0,23.0,10.0,,6.0,3.0,3.0,58.0,6.0,93.0,1.0,8.0,4.0,3.0,113.0,14.0,2.0,,180.0,3.0,11.0,11.0,8.0,6.0,1.0,1.0,11.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,3.0,,,,,,,1.0,1.0,3.0,1.0,,3.0,1.0,,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
