id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_cmiss_high,att_cmiss_high_left,att_cmiss_left,att_freekick_goal,att_freekick_miss,att_freekick_target,att_freekick_total,att_goal_low_left,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_high_left,att_sv_high_right,att_sv_low_centre,ball_recovery,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,formation_place,fouled_final_third,fouls,freekick_cross,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_goal_kicks,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,att_bx_centre,att_bx_left,att_bx_right,att_fastbreak,att_goal_low_right,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_post_high,att_setpiece,att_sv_low_left,att_sv_low_right,goals_openplay,hit_woodwork,penalty_conceded,penalty_won,post_scoring_att,shot_fastbreak,six_yard_block,total_fastbreak,att_cmiss_high_right,att_cmiss_right,att_obp_goal,att_obx_right,att_pen_target,att_post_right,att_sv_high_centre,dangerous_play,head_pass,open_play_pass,successful_open_play_pass,touches_in_opp_box,att_lg_centre,offside_provoked,red_card,times_tackled,winning_goal,att_post_left,last_man_tackle,att_hd_goal,own_goals,gk_smother,clearance_off_line,goal_assist_setplay,accurate_freekick_cross,att_freekick_post,att_obox_post,att_pen_goal,goal_assist_deadball,attempts_ibox,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_lf_goal,goal_fastbreak,error_lead_to_goal,att_obxd_left,att_obxd_right,att_obx_left,att_pen_post,att_goal_high_centre,second_yellow,diving_save,attempts_obox,penalty_save,back_pass,att_lg_left,rescinded_red_card,backward_pass,rightside_pass,att_pen_miss,leftside_pass
1791,97506.0,Heidar Helguson,Heidar,Helguson,1977-08-22,Iceland,Iceland,,F,Forward,16,8.0,,,,,6.0,26.0,,4.0,,34.0,,3.0,6.0,7.0,6.0,23.0,11.0,5.0,,,,,,,,,,2.0,1.0,1.0,,1.0,3.0,,,,,,6.0,1.0,,3.0,,1.0,,5.0,,,,,1.0,,4.0,1.0,18.0,14.0,2.0,1.0,,8.0,0.0,1.0,8.0,,3.0,2.0,7.0,5.0,2.0,,,,,1.0,1.0,,1.0,8.0,6.0,4.0,2.0,273.0,2.0,3.0,3.0,,8.0,10.0,9.0,1.0,39.0,37.0,2.0,1.0,2.0,6.0,17.0,5.0,10.0,,4.0,,,1.0,1.0,40.0,25.0,56.0,,4.0,1.0,8.0,65.0,9.0,2.0,3.0,2.0,,3.0,94.0,4.0,5.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,7.0,,1.0,,,3.0,,1.0,4.0,,2.0,6.0,,1.0,,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
1335,1580.0,Stéphane Henchoz,Stéphane,Henchoz,1974-09-07,Switzerland,Switzerland,16.0,D,Defender,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,4167.0,Henrique Hilário,Henrique Hilário,Meireles Alves Sampaio,1975-10-21,Portugal,Portugal,40.0,G,Goalkeeper,16,10.0,,,,,,7.0,,,8.0,17.0,,,,,3.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,1.0,4.0,,,8.0,0.0,,,,2.0,,2.0,2.0,,,,,,,1.0,1.0,1.0,32.0,10.0,,2.0,206.0,,,,,6.0,6.0,,1.0,26.0,26.0,,1.0,,,1.0,,14.0,,4.0,,,,,7.0,,19.0,,,22.0,,33.0,,,1.0,,,,82.0,,,3.0,,,,,11.0,12.0,1.0,,2.0,21.0,2.0,17.0,12.0,1.0,4.0,1.0,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3198,50093.0,James Henry,James,Henry,1989-06-10,England,England,17.0,F,Right Winger,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,19007.0,Chris Herd,Chris,Herd,1989-04-04,Australia,Australia,25.0,M,Centre Defensive Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,14283.0,Emile Heskey,Emile,Heskey,1978-01-11,England,England,19.0,F,Centre Striker,16,93.0,4.0,,1.0,1.0,59.0,289.0,,62.0,6.0,381.0,2.0,,66.0,119.0,28.0,171.0,114.0,27.0,,2.0,2.0,6.0,,,,,1.0,6.0,5.0,3.0,,7.0,5.0,,,4.0,3.0,7.0,36.0,4.0,6.0,23.0,2.0,1.0,9.0,55.0,8.0,5.0,4.0,,8.0,1.0,29.0,9.0,154.0,198.0,15.0,11.0,1.0,82.0,280.0,27.0,47.0,,27.0,4.0,24.0,21.0,3.0,2.0,,2.0,6.0,25.0,16.0,,16.0,24.0,7.0,10.0,6.0,2087.0,12.0,17.0,18.0,3.0,94.0,113.0,53.0,1.0,300.0,280.0,29.0,2.0,24.0,21.0,199.0,29.0,106.0,6.0,35.0,16.0,,9.0,9.0,375.0,187.0,507.0,1.0,73.0,13.0,35.0,604.0,47.0,15.0,1.0,24.0,2.0,1.0,840.0,48.0,52.0,9.0,3.0,11.0,19.0,6.0,,,,,,,,,,,,,,,,,,27.0,2.0,3.0,4.0,3.0,11.0,1.0,6.0,18.0,8.0,4.0,16.0,1.0,11.0,2.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,29426.0,Sam Hewson,Sam,Hewson,1988-11-28,England,England,,M,Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,2363.0,Tony Hibbert,Tony,Hibbert,1981-02-20,England,England,2.0,D,Right Full Back,16,164.0,25.0,,9.0,9.0,1.0,249.0,19.0,4.0,30.0,404.0,1.0,163.0,9.0,8.0,24.0,142.0,158.0,8.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,2.0,,,2.0,,,,96.0,1.0,22.0,5.0,1.0,22.0,18.0,12.0,3.0,64.0,88.0,96.0,30.0,1.0,250.0,60.0,2.0,14.0,,22.0,,22.0,18.0,4.0,1.0,1.0,1.0,,66.0,39.0,1.0,39.0,236.0,92.0,11.0,18.0,1929.0,3.0,7.0,,9.0,5.0,227.0,49.0,1.0,440.0,365.0,14.0,44.0,38.0,1.0,132.0,10.0,204.0,79.0,171.0,10.0,,40.0,40.0,259.0,5.0,456.0,74.0,4.0,102.0,,620.0,2.0,4.0,2.0,56.0,1.0,260.0,1241.0,20.0,21.0,10.0,3.0,5.0,47.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,9.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,13840.0,Danny Higginbotham,Danny,Higginbotham,1978-12-29,England,Gibraltar,4.0,D,Defender,16,155.0,21.0,,2.0,2.0,,136.0,49.0,,78.0,289.0,,5.0,22.0,58.0,21.0,158.0,126.0,3.0,1.0,1.0,1.0,,,,,,,2.0,2.0,1.0,,2.0,2.0,,,,,,2.0,,,,,,,100.0,1.0,3.0,2.0,,3.0,5.0,5.0,5.0,40.0,99.0,184.0,116.0,4.0,188.0,0.0,,12.0,,21.0,3.0,39.0,30.0,9.0,,,,2.0,214.0,19.0,7.0,19.0,230.0,98.0,12.0,15.0,1890.0,1.0,3.0,4.0,21.0,92.0,33.0,30.0,4.0,374.0,209.0,4.0,65.0,31.0,7.0,80.0,4.0,186.0,49.0,349.0,,,8.0,8.0,199.0,2.0,298.0,148.0,,188.0,1.0,476.0,12.0,,,25.0,1.0,9.0,936.0,5.0,16.0,4.0,,2.0,16.0,1.0,,,,,,,,,,,,,,,,,,8.0,,,,,6.0,,1.0,10.0,1.0,3.0,7.0,,1.0,,,1.0,,1.0,,,3.0,,,,1.0,,,1.0,,,,,,,2.0,18.0,7.0,,,7.0,,,,,,3.0,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
3407,30036.0,Sean Highdale,Sean,Highdale,1991-03-04,England,England,,M,Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,40924.0,Ben Hinchliffe,Ben,Hinchliffe,1988-10-09,England,England,1.0,G,Goalkeeper,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,113848.0,Aliaksandr Hleb,Aliaksandr,Hleb,1981-05-01,Belarus,Belarus,11.0,M,Left/Centre/Right Attacking Midfielder,16,297.0,13.0,,12.0,12.0,11.0,999.0,,83.0,26.0,1284.0,16.0,18.0,14.0,5.0,31.0,129.0,134.0,54.0,,,,2.0,,,,,1.0,13.0,,1.0,,2.0,2.0,5.0,,3.0,4.0,13.0,21.0,2.0,4.0,9.0,1.0,1.0,2.0,198.0,7.0,17.0,5.0,5.0,31.0,4.0,96.0,10.0,200.0,214.0,6.0,4.0,,255.0,310.0,14.0,33.0,,29.0,2.0,22.0,14.0,8.0,6.0,5.0,6.0,2.0,7.0,26.0,,26.0,122.0,92.0,2.0,4.0,2440.0,25.0,35.0,9.0,1.0,255.0,212.0,94.0,1.0,447.0,438.0,98.0,28.0,72.0,6.0,686.0,60.0,326.0,30.0,15.0,130.0,1.0,36.0,35.0,878.0,26.0,1262.0,2.0,93.0,39.0,1.0,1552.0,22.0,14.0,2.0,72.0,16.0,20.0,2081.0,78.0,49.0,19.0,88.0,11.0,57.0,4.0,,,,,,,,,,,,,,,,,,7.0,,2.0,3.0,,,,,,2.0,2.0,2.0,,3.0,3.0,,,2.0,,2.0,1.0,,2.0,1.0,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2917,133852.0,Jack Hobbs,Jack,Hobbs,1988-08-18,England,England,5.0,D,Centre Central Defender,16,32.0,2.0,,,,,10.0,1.0,,8.0,42.0,,,2.0,1.0,2.0,8.0,10.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,4.0,4.0,12.0,8.0,,7.0,0.0,,1.0,,1.0,,3.0,3.0,,,,,,15.0,1.0,,1.0,12.0,6.0,1.0,3.0,129.0,,,,2.0,,10.0,,1.0,28.0,14.0,,4.0,1.0,1.0,4.0,,35.0,4.0,26.0,,,,,8.0,,19.0,3.0,,10.0,,54.0,1.0,,1.0,3.0,,,90.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,4134.0,Bryan Hodge,Bryan,Hodge,1987-09-23,Scotland,Scotland,31.0,M,Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
