id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1506,1817.0,Gavin Melaugh,Gavin,Melaugh,1981-07-09,Northern Ireland,Northern Ireland,,M,Midfielder,8,,,,,,,,,,
1677,97591.0,Mario Melchiot,Mario,Melchiot,1976-11-04,Netherlands,Netherlands,25.0,D,Centre/Right Full Back,8,5.0,1.0,1.0,,1.0,2.0,,2.0,,
1304,1541.0,Alberto Mendez,Alberto,Mendez,1974-10-24,Germany,Germany,,M,Midfielder,8,,,,,,,,,,
23,128586.0,Paul Merson,Paul,Merson,1968-03-20,England,England,9.0,M,Centre Central Midfielder,8,32.0,4.0,11.0,5.0,8.0,8.0,,13.0,2.0,
1646,2243.0,Charlie Miller,Charlie,Miller,1976-03-18,Scotland,Scotland,,M,Midfielder,8,14.0,0.0,2.0,,2.0,12.0,,,3.0,
1400,261255.0,Jamie Milligan,Jamie,Milligan,1980-01-03,England,England,,M,Midfielder,8,1.0,0.0,,,,1.0,,,,
1674,2085.0,Lee Mills,Lee,Mills,1970-07-10,England,England,,F,Forward,8,21.0,4.0,6.0,5.0,3.0,11.0,,4.0,1.0,
1703,278309.0,Danny Milosevic,Danny,Milosevic,1978-06-26,Australia,Australia,,G,Goalkeeper,8,,,,,,,,,,
855,2012.0,Scott Minto,Scott,Minto,1971-08-06,England,England,,D,Defender,8,18.0,2.0,6.0,,2.0,3.0,,9.0,2.0,
1189,2529.0,Robert Molenaar,Robert,Molenaar,1969-02-27,Netherlands,Netherlands,,D,Defender,8,,,,,,,,,,
768,1065.0,John Moncur,John,Moncur,1966-09-22,England,England,,M,Midfielder,8,22.0,3.0,4.0,1.0,,10.0,1.0,8.0,7.0,
1620,6148.0,Garry Monk,Garry,Monk,1979-03-06,England,England,16.0,D,Centre Central Defender,8,2.0,1.0,,,,1.0,,1.0,,1.0
1684,2096.0,Gary Montgomery,Gary,Montgomery,1982-08-10,England,England,,G,Goalkeeper,8,,,,,,,,,,
1795,2845.0,Tommy Mooney,Tommy,Mooney,1971-08-11,England,England,,F,Forward,8,12.0,3.0,1.0,2.0,1.0,7.0,,4.0,2.0,
1815,179461.0,Darren Moore,Darren,Moore,1974-04-22,Jamaica,Jamaica,7.0,D,Defender,8,,,,,,,,,,
1027,3426.0,Jody Morris,Jody,Morris,1978-12-22,England,England,4.0,M,Midfielder,8,30.0,7.0,9.0,3.0,2.0,6.0,,15.0,4.0,
1618,1986.0,Owen Morrison,Owen,Morrison,1981-12-08,Northern Ireland,Northern Ireland,,F,Forward,8,,,,,,,,,,
1243,1455.0,Neil Moss,Neil,Moss,1975-05-10,England,England,,G,Goalkeeper,8,9.0,3.0,1.0,,,5.0,,3.0,,
1423,4624.0,Danny Murphy,Danny,Murphy,1977-03-18,England,England,13.0,M,Centre Central Midfielder,8,23.0,0.0,6.0,3.0,2.0,4.0,,13.0,3.0,
1551,11397.0,Adam Murray,Adam,Murray,1981-09-30,England,England,21.0,M,Centre Central Midfielder,8,8.0,0.0,2.0,,,4.0,,2.0,1.0,
363,3119.0,Robbie Mustoe,Robbie,Mustoe,1968-08-28,England,England,,M,Midfielder,8,28.0,2.0,7.0,,,11.0,,10.0,4.0,
102,2070.0,Andy Myers,Andy,Myers,1973-11-03,England,England,3.0,D,Defender,8,13.0,1.0,4.0,,,7.0,1.0,2.0,,
1396,3838.0,Thomas Myhre,Thomas,Myhre,1973-10-16,Norway,Norway,36.0,G,Goalkeeper,8,4.0,2.0,1.0,,,,,3.0,,
1432,95767.0,Erik Nevland,Erik,Nevland,1977-11-10,Norway,Norway,10.0,F,Centre Striker,8,,,,,,,,,,
1576,96641.0,Jon Newby,Jon,Newby,1978-11-28,England,England,14.0,F,Forward,8,1.0,0.0,1.0,,,,,,,
231,1261.0,Jon Newsome,Jon,Newsome,1970-09-06,England,England,,D,Defender,8,6.0,0.0,1.0,,,5.0,,,1.0,
1631,16931.0,Adam Newton,Adam,Newton,1980-12-04,St. Kitts & Nevis,St. Kitts & Nevis,17.0,D,Defender,8,2.0,0.0,,,,1.0,,1.0,,
1794,2248.0,Michel Ngonge,Michel,Ngonge,1967-01-10,Belgium,DR Congo,,F,Forward,8,23.0,0.0,3.0,5.0,1.0,16.0,,4.0,1.0,
1029,1165.0,Mark Nicholls,Mark,Nicholls,1977-05-30,England,England,,F,Forward,8,,,,,,,,,,
9865,12402.0,Kevin Nicholson,Kevin,Nicholson,1980-10-02,England,England,3.0,D,Left Full Back,8,,,,,,,,,,
1419,1689.0,Jorgen Nielsen,Jorgen,Nielsen,1971-05-06,Denmark,Denmark,,G,Goalkeeper,8,,,,,,,,,,
1817,2275.0,Avi Nimni,Avi,Nimni,1972-04-26,Israel,Israel,,M,Midfielder,8,4.0,0.0,,1.0,,2.0,,2.0,1.0,
1654,40916.0,David Noble,David,Noble,1982-02-02,England,England,14.0,M,Midfielder,8,,,,,,,,,,
1798,2252.0,Gifton Noel-Williams,Gifton,Noel-Williams,1980-01-21,England,England,,F,Forward,8,3.0,0.0,2.0,,1.0,1.0,,,1.0,
953,2310.0,Ian Nolan,Ian,Nolan,1970-07-09,England,Northern Ireland,,D,Defender,8,29.0,5.0,5.0,,1.0,17.0,,7.0,4.0,
1689,2103.0,Runar Normann,Runar,Normann,1978-03-01,Norway,Norway,,M,Midfielder,8,8.0,0.0,,,,6.0,,2.0,,
1214,1422.0,Alex Notman,Alex,Notman,1979-12-10,Scotland,Scotland,,F,Forward,8,,,,,,,,,,
1816,2274.0,Raffaele Nuzzo,Raffaele,Nuzzo,1973-02-21,Italy,Italy,,G,Goalkeeper,8,,,,,,,,,,
1664,27919.0,Andy O'Brien,Andy,O'Brien,1979-06-29,England,Ireland,,D,Defender,8,36.0,7.0,8.0,1.0,,19.0,,9.0,2.0,1.0
1743,2179.0,Phil O'Donnell,Phil,O'Donnell,1972-03-25,Scotland,Scotland,24.0,M,Midfielder,8,1.0,0.0,,,,1.0,,,1.0,
313,1653.0,John O'Kane,John,O'Kane,1974-11-15,England,England,,D,Defender,8,,,,,,,,,,
931,1938.0,Keith O'Neill,Keith,O'Neill,1976-02-16,Ireland,Ireland,,M,Midfielder,8,16.0,2.0,2.0,,1.0,7.0,,7.0,5.0,1.0
1470,1758.0,Alex O'Reilly,Alex,O'Reilly,1979-09-15,Ireland,Ireland,,G,Goalkeeper,8,,,,,,,,,,
1717,130648.0,John O'Shea,John,O'Shea,1981-04-30,Ireland,Ireland,4.0,D,Centre Central Defender,8,,,,,,,,,,
34,3378.0,Michael Oakes,Michael,Oakes,1973-10-30,England,England,1.0,G,Goalkeeper,8,,,,,,,,,,
958,10841.0,Matt Oakley,Matt,Oakley,1977-08-17,England,England,16.0,M,Centre Central Midfielder,8,31.0,7.0,8.0,3.0,3.0,14.0,,9.0,3.0,
122,116.0,Steve Ogrizovic,Steve,Ogrizovic,1957-09-12,England,England,,G,Goalkeeper,8,3.0,0.0,,,,2.0,,1.0,,
1116,1291.0,Manny Omoyinmi,Manny,Omoyinmi,1977-12-28,Nigeria,England,,F,Forward,8,,,,,,,,,,
1226,1434.0,Anthony Ormerod,Anthony,Ormerod,1979-03-31,England,England,,M,Midfielder,8,1.0,0.0,,,,1.0,,,,
1250,279367.0,Egil Ostenstad,Egil,Ostenstad,1972-01-02,Norway,Norway,,F,Forward,8,3.0,1.0,,1.0,,1.0,,2.0,2.0,
1401,10935.0,John Oster,John,Oster,1978-12-08,Wales,Wales,7.0,M,Midfielder,8,10.0,0.0,3.0,,1.0,4.0,,3.0,1.0,
1299,127268.0,Marc Overmars,Marc,Overmars,1973-03-29,Netherlands,Netherlands,11.0,M,Midfielder,8,31.0,3.0,5.0,7.0,8.0,6.0,,20.0,1.0,
1208,6476.0,Michael Owen,Michael,Owen,1979-12-14,England,England,10.0,F,Centre Striker,8,27.0,2.0,9.0,11.0,3.0,6.0,,12.0,2.0,
1779,26954.0,Robert Page,Robert,Page,1974-09-03,Wales,Wales,5.0,D,Defender,8,36.0,6.0,6.0,1.0,2.0,24.0,,6.0,12.0,
1623,1995.0,Marian Pahars,Marian,Pahars,1976-08-05,Latvia,Latvia,,F,Forward,8,33.0,8.0,8.0,13.0,3.0,13.0,,12.0,4.0,
320,1934.0,Gary Pallister,Gary,Pallister,1965-06-30,England,England,,D,Defender,8,21.0,6.0,5.0,1.0,,9.0,,7.0,5.0,
497,2098.0,Carlton Palmer,Carlton,Palmer,1965-12-05,England,England,,D,Defender,8,15.0,5.0,5.0,1.0,,4.0,,6.0,4.0,
1782,2235.0,James Panayi,James,Panayi,1980-01-24,England,England,27.0,D,Defender,8,2.0,0.0,1.0,,,1.0,,,,
48,976.0,Garry Parker,Garry,Parker,1965-09-07,England,England,,M,Midfielder,8,,,,,,,,,,
686,694.0,Joe Parkinson,Joe,Parkinson,1971-06-11,England,England,,M,Midfielder,8,,,,,,,,,,
19,3636.0,Ray Parlour,Ray,Parlour,1973-03-07,England,England,15.0,M,Midfielder,8,30.0,6.0,4.0,1.0,2.0,6.0,,20.0,3.0,
75287,182604.0,Craig Pead,Craig,Pead,1981-09-15,England,England,,M,Midfielder,8,,,,,,,,,,
96,30403.0,Ian Pearce,Ian,Pearce,1974-05-07,England,England,,D,Defender,8,1.0,0.0,,,,,,1.0,,
820,2291.0,Tore Pedersen,Tore,Pedersen,1969-09-29,Norway,Norway,,D,Defender,8,6.0,0.0,3.0,,,2.0,,1.0,2.0,
1096,3227.0,Mark Pembridge,Mark,Pembridge,1970-11-29,Wales,Wales,24.0,M,Midfielder,8,31.0,6.0,12.0,2.0,5.0,9.0,,10.0,4.0,
1495,15274.0,Jermaine Pennant,Jermaine,Pennant,1983-01-15,England,England,15.0,M,Right Winger,8,,,,,,,,,,
1252,1944.0,Lionel Perez,Lionel,Perez,1967-04-24,France,France,,G,Goalkeeper,8,,,,,,,,,,
1788,175805.0,David Perpetuini,David,Perpetuini,1979-09-26,England,England,,D,Defender,8,13.0,2.0,3.0,1.0,1.0,8.0,,2.0,4.0,
587,97107.0,Chris Perry,Chris,Perry,1973-04-26,England,England,5.0,D,Defender,8,37.0,8.0,8.0,1.0,,15.0,,14.0,8.0,
1300,2637.0,Emmanuel Petit,Emmanuel,Petit,1970-09-22,France,France,,M,Midfielder,8,26.0,2.0,5.0,3.0,7.0,5.0,,16.0,5.0,
954,2491.0,Dan Petrescu,Dan,Petrescu,1967-12-22,Romania,Romania,,D,Defender,8,29.0,4.0,8.0,4.0,5.0,6.0,,15.0,2.0,
291,1381.0,Terry Phelan,Terry,Phelan,1967-03-16,Ireland,Ireland,,D,Defender,8,1.0,0.0,1.0,,,,,,,
1187,28262.0,Phil Jevons,Phillip,Jevons,1979-08-01,England,England,10.0,F,Forward,8,3.0,1.0,,,1.0,2.0,,1.0,,
921,3869.0,Phil Neville,Philip,Neville,1977-01-21,England,England,18.0,M,Centre Defensive Midfielder,8,29.0,7.0,5.0,,2.0,2.0,,22.0,4.0,
847,901.0,Ian Taylor,Ian,Taylor,1968-06-04,England,England,,M,Midfielder,8,29.0,10.0,10.0,5.0,,9.0,,10.0,8.0,
1033,12313.0,Paul Telfer,Paul,Telfer,1971-10-21,Scotland,Scotland,,D,Defender,8,30.0,6.0,8.0,,,12.0,,10.0,2.0,
1353,47414.0,John Terry,John,Terry,1980-12-07,England,England,26.0,D,Centre Central Defender,8,4.0,1.0,1.0,,,1.0,,2.0,,
1749,2186.0,Jo Tessem,Jo,Tessem,1972-02-28,Norway,Norway,21.0,M,Midfielder,8,25.0,7.0,4.0,4.0,,13.0,,8.0,,
1282,96171.0,Ben Thatcher,Ben,Thatcher,1975-11-30,Wales,Wales,33.0,D,Defender,8,20.0,3.0,9.0,,2.0,7.0,,4.0,4.0,
1758,10426.0,Paul Thirlwell,Paul,Thirlwell,1979-02-13,England,England,12.0,M,Defensive Midfielder,8,8.0,1.0,4.0,,,1.0,,3.0,2.0,
1707,29108.0,Danny Thomas,Danny,Thomas,1981-05-01,England,England,11.0,M,Midfielder,8,3.0,0.0,1.0,,,2.0,,,,
1019,278335.0,Alan Thompson,Alan,Thompson,1973-12-22,England,England,8.0,M,Midfielder,8,21.0,3.0,6.0,2.0,2.0,9.0,,6.0,7.0,
1459,182536.0,Lee Todd,Lee,Todd,1972-03-07,England,England,12.0,D,Defender,8,,,,,,,,,,
1356,3044.0,Tore Andre Flo,Tore Andre,Flo,1973-06-15,Norway,Norway,,F,Forward,8,34.0,3.0,10.0,10.0,1.0,8.0,,16.0,1.0,
112,1935.0,Andy Townsend,Andy,Townsend,1963-07-23,Ireland,Ireland,,M,Midfielder,8,5.0,1.0,,,,2.0,,3.0,1.0,
1626,2003.0,Paolo Tramezzani,Paolo,Tramezzani,1970-07-30,Italy,Italy,,D,Defender,8,,,,,,,,,,
1571,121145.0,Djimi Traore,Djimi,Traore,1980-03-01,France,Mali,18.0,D,Left Full Back,8,,,,,,,,,,
1430,26439.0,Michael Twiss,Michael,Twiss,1977-12-26,England,England,9.0,F,Forward,8,,,,,,,,,,
1766,2211.0,Tyson Nuñez,Milton,Nuñez,1972-10-30,Honduras,Honduras,,F,Forward,8,1.0,0.0,,,,,,1.0,,
181,4432.0,David Unsworth,David,Unsworth,1973-10-16,England,England,25.0,D,Defender,8,33.0,8.0,12.0,6.0,2.0,12.0,,9.0,4.0,
1131,19664.0,Matt Upson,Matt,Upson,1979-04-18,England,England,4.0,D,Centre Central Defender,8,8.0,1.0,2.0,,,1.0,,5.0,1.0,
1209,4850.0,Raimond van der Gouw,Raimond,van der Gouw,1963-03-24,Netherlands,Netherlands,,G,Goalkeeper,8,14.0,1.0,1.0,,,,,13.0,,
1309,27979.0,Darius Vassell,Darius,Vassell,1980-06-13,England,England,13.0,F,Forward,8,11.0,0.0,3.0,,2.0,3.0,,5.0,1.0,
1274,1498.0,Ramon Vega,Ramon,Vega,1971-06-14,Switzerland,Switzerland,,D,Defender,8,5.0,0.0,,1.0,1.0,3.0,,2.0,,
1303,175942.0,Paolo Vernazza,Paolo,Vernazza,1979-11-01,England,England,,M,Midfielder,8,2.0,0.0,,,,1.0,,1.0,,
1150,1341.0,Gianluca Vialli,Gianluca,Vialli,1964-07-09,Italy,Italy,,F,Forward,8,,,,,,,,,,
1070,2818.0,Steve Vickers,Steve,Vickers,1967-10-13,England,England,,D,Defender,8,32.0,5.0,10.0,,1.0,10.0,,12.0,5.0,
1132,109790.0,Patrick Vieira,Patrick,Vieira,1976-06-23,Senegal,France,24.0,M,Centre Defensive Midfielder,8,30.0,8.0,6.0,2.0,3.0,6.0,1.0,18.0,9.0,
1298,1535.0,Nelson Vivas,Nelson,Vivas,1969-10-18,Argentina,Argentina,,D,Defender,8,5.0,1.0,,,2.0,,,5.0,1.0,
47232,123338.0,Kjetil Waehler,Kjetil,Waehler,1976-03-16,Norway,Norway,24.0,D,Defender,8,,,,,,,,,,
1761,176452.0,Neil Wainwright,Neil,Wainwright,1977-11-04,England,England,,M,Midfielder,8,,,,,,,,,,
997,177669.0,Richard Walker,Richard,Walker,1977-11-08,England,England,,F,Forward,8,5.0,0.0,,2.0,,,,,,
922,3075.0,Ronnie Wallwork,Ronnie,Wallwork,1977-09-10,England,England,24.0,D,Defender,8,5.0,0.0,,,,,,5.0,,
309,4042.0,Gary Walsh,Gary,Walsh,1968-03-21,England,England,,G,Goalkeeper,8,11.0,2.0,2.0,,,6.0,,3.0,,
1179,127475.0,Paulo Wanchope,Paulo,Wanchope,1976-07-31,Costa Rica,Costa Rica,11.0,F,Forward,8,35.0,7.0,9.0,12.0,5.0,13.0,,13.0,7.0,
482,1658.0,Mitch Ward,Mitch,Ward,1971-06-19,England,England,,M,Midfielder,8,10.0,1.0,4.0,,,2.0,,4.0,1.0,
1457,1740.0,Phil Warner,Phil,Warner,1979-02-02,England,England,,D,Defender,8,,,,,,,,,,
720,4004.0,Steve Watson,Steve,Watson,1974-04-01,England,England,2.0,D,Defender,8,14.0,5.0,4.0,,1.0,3.0,,7.0,4.0,
1682,2546.0,George Weah,George,Weah,1966-10-01,Liberia,Liberia,,F,Forward,8,11.0,3.0,3.0,3.0,3.0,2.0,,6.0,,
1725,20001.0,Danny Webber,Danny,Webber,1981-12-28,England,England,,F,Forward,8,,,,,,,,,,
1558,126098.0,David Weir,David,Weir,1970-05-10,Scotland,Scotland,3.0,D,Centre Central Defender,8,35.0,11.0,13.0,2.0,2.0,11.0,1.0,11.0,3.0,
1709,3860.0,Sander Westerveld,Sander,Westerveld,1974-10-23,,Netherlands,26.0,G,Goalkeeper,8,36.0,14.0,9.0,,,9.0,1.0,18.0,,
1652,13520.0,Rhys Weston,Rhys,Weston,1980-10-27,Wales,Wales,,D,Defender,8,1.0,0.0,,,,1.0,,,,
228,2071.0,David Wetherall,David,Wetherall,1971-03-14,England,England,5.0,D,Defender,8,38.0,7.0,9.0,2.0,2.0,20.0,,9.0,7.0,
1668,2076.0,Gareth Whalley,Gareth,Whalley,1973-12-19,England,Ireland,,M,Midfielder,8,16.0,2.0,4.0,1.0,1.0,8.0,,4.0,,
245,95531.0,Noel Whelan,Noel,Whelan,1974-12-30,England,England,,F,Forward,8,26.0,5.0,4.0,1.0,2.0,14.0,,8.0,3.0,
80,2129.0,Jason Wilcox,Jason,Wilcox,1971-07-15,England,England,,M,Midfielder,8,20.0,4.0,4.0,3.0,2.0,8.0,,8.0,1.0,
1585,55232.0,Luke Wilkshire,Luke,Wilkshire,1981-10-02,Australia,Australia,26.0,D,Full Back,8,,,,,,,,,,
1030,2745.0,Paul Williams,Paul,Williams,1971-03-26,England,England,,D,Defender,8,28.0,6.0,8.0,1.0,,12.0,,8.0,4.0,
796,1663.0,Danny Williamson,Danny,Williamson,1973-12-05,England,England,,M,Midfielder,8,,,,,,,,,,
1827,2290.0,Chris Willmott,Chris,Willmott,1977-09-30,England,England,,D,Defender,8,7.0,1.0,1.0,,,4.0,,2.0,,
1200,1407.0,Stuart Wilson,Stuart,Wilson,1977-09-16,Scotland,Scotland,,M,Midfielder,8,,,,,,,,,,
1672,4987.0,Dean Windass,Dean,Windass,1969-04-01,England,England,9.0,F,Forward,8,38.0,4.0,9.0,10.0,2.0,20.0,,9.0,6.0,1.0
11,2514.0,Nigel Winterburn,Nigel,Winterburn,1963-12-11,England,England,,D,Defender,8,28.0,4.0,6.0,,,6.0,,16.0,3.0,
107,2711.0,Dennis Wise,Dennis,Wise,1966-12-16,England,England,,M,Midfielder,8,30.0,13.0,9.0,4.0,5.0,6.0,1.0,15.0,7.0,
1534,27424.0,Robert Wolleaston,Robert,Wolleaston,1979-12-21,England,England,,M,Midfielder,8,1.0,0.0,,,,1.0,,,,
1726,2159.0,Neil Wood,Neil,Wood,1983-04-01,England,England,,F,Forward,8,,,,,,,,,,
1565,58296.0,Jonathan Woodgate,Jonathan,Woodgate,1980-01-22,England,England,39.0,D,Centre Central Defender,8,34.0,11.0,5.0,1.0,,11.0,,18.0,,
1783,279037.0,Nordin Wooter,Nordin,Wooter,1976-08-24,Netherlands,Netherlands,14.0,F,Forward,8,20.0,1.0,5.0,1.0,1.0,13.0,,2.0,,
1305,1542.0,Christopher Wreh,Christopher,Wreh,1975-05-14,Liberia,Liberia,,F,Forward,8,,,,,,,,,,
72,27467.0,Alan Wright,Alan,Wright,1971-09-28,England,England,3.0,D,Defender,8,32.0,12.0,10.0,1.0,5.0,8.0,,14.0,5.0,
1166,2231.0,Dean Yates,Dean,Yates,1967-10-26,England,England,,D,Defender,8,,,,,,,,,,
59,4762.0,Dwight Yorke,Dwight,Yorke,1971-11-03,Trinidad & Tobago,Trinidad & Tobago,19.0,M,Midfielder,8,32.0,6.0,6.0,20.0,3.0,2.0,,24.0,1.0,
1464,177421.0,Luke Young,Luke,Young,1979-07-19,England,England,21.0,D,Left/Right Full Back,8,20.0,2.0,7.0,,,5.0,,8.0,2.0,
1417,278163.0,Theo Zagorakis,Theo,Zagorakis,1971-10-27,Greece,Greece,6.0,M,Midfielder,8,17.0,0.0,5.0,1.0,1.0,6.0,,6.0,2.0,
1727,2766.0,Christian Ziege,Christian,Ziege,1972-02-01,Germany,Germany,,D,Defender,8,29.0,6.0,8.0,6.0,6.0,9.0,1.0,12.0,9.0,
1151,1342.0,Gianfranco Zola,Gianfranco,Zola,1966-07-05,Italy,Italy,,F,Forward,8,33.0,8.0,11.0,4.0,7.0,8.0,,14.0,,
1690,2104.0,Herlyn Zuniga,Herlyn,Zuniga,1976-08-27,Peru,Peru,,F,Forward,8,7.0,0.0,,2.0,,4.0,,3.0,,
1813,2271.0,Cadete,Jorge Paulo,Cadete Santos Reis,1968-08-27,Mozambique,Portugal,,F,Forward,8,7.0,0.0,2.0,,,5.0,,,,
775,1814.0,Colin Calderwood,Colin,Calderwood,1965-01-20,Scotland,Scotland,,D,Defender,8,18.0,5.0,4.0,,,8.0,,6.0,1.0,
1732,5510.0,Gary Caldwell,Gary,Caldwell,1982-04-12,Scotland,Scotland,5.0,D,Centre Central Defender,8,,,,,,,,,,
1713,2521.0,Titi Camara,Titi,Camara,1972-11-17,Guinea,Guinea,,F,Forward,8,33.0,1.0,8.0,9.0,1.0,8.0,,17.0,7.0,
25,3744.0,Kevin Campbell,Kevin,Campbell,1970-02-04,England,England,,F,Forward,8,26.0,8.0,9.0,12.0,6.0,7.0,,10.0,2.0,
1301,1538.0,Lee Canoville,Lee,Canoville,1981-03-14,England,England,,M,Midfielder,8,,,,,,,,,,
1546,1886.0,Horacio Carbonari,Horacio,Carbonari,1973-05-02,Argentina,Argentina,,D,Defender,8,29.0,9.0,10.0,2.0,,12.0,,7.0,10.0,1.0
1240,2738.0,Benito Carbone,Benito,Carbone,1971-08-14,Italy,Italy,,F,Forward,8,31.0,5.0,11.0,5.0,5.0,11.0,,9.0,1.0,
776,5253.0,Stephen Carr,Stephen,Carr,1976-08-29,Ireland,Ireland,2.0,D,Right Full Back,8,34.0,6.0,7.0,3.0,3.0,13.0,,14.0,5.0,1.0
915,143184.0,Jamie Carragher,Jamie,Carragher,1978-01-28,England,England,23.0,D,Defender,8,36.0,13.0,10.0,,,8.0,,18.0,4.0,2.0
1634,4242.0,Michael Carrick,Michael,Carrick,1981-07-28,England,England,16.0,M,Centre Central Midfielder,8,8.0,1.0,1.0,1.0,2.0,2.0,,5.0,,
1537,1872.0,Pierluigi Casiraghi,Pierluigi,Casiraghi,1969-03-04,Italy,Italy,,F,Forward,8,,,,,,,,,,
1723,14391.0,Luke Chadwick,Luke,Chadwick,1980-11-18,England,England,22.0,M,Left/Centre/Right Attacking Midfielder,8,,,,,,,,,,
616,2226.0,Alec Chamberlain,Alec,Chamberlain,1964-06-20,England,England,,G,Goalkeeper,8,27.0,3.0,4.0,,,20.0,,3.0,,
396,2256.0,Gary Charles,Gary,Charles,1970-04-13,England,England,,D,Defender,8,4.0,0.0,,,,1.0,,3.0,1.0,1.0
1351,2438.0,Laurent Charvet,Laurent,Charvet,1973-05-08,France,France,,D,Defender,8,2.0,0.0,,,,1.0,,1.0,,
1687,2101.0,Youssef Chippo,Youssef,Chippo,1973-05-10,Morocco,Morocco,,M,Midfielder,8,33.0,4.0,7.0,2.0,3.0,16.0,1.0,10.0,9.0,
1553,2996.0,Malcolm Christie,Malcolm,Christie,1979-04-11,England,England,11.0,F,Forward,8,21.0,2.0,7.0,5.0,2.0,11.0,,3.0,2.0,
1500,1810.0,Eric Chukwunyelu,Eric,Chukwunyelu,1981-06-10,Nigeria,Nigeria,,F,Forward,8,,,,,,,,,,
1236,177219.0,Matt Clarke,Matt,Clarke,1973-11-03,England,England,,G,Goalkeeper,8,21.0,5.0,5.0,,,11.0,,5.0,,
