id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,losses,wins,goal_assist,yellow_card,goals,red_card,own_goals
1609,11053.0,Marlon Harewood,Marlon,Harewood,1979-08-25,England,England,9.0,F,Centre Striker,7,23.0,1.0,6.0,13.0,4.0,1.0,5.0,1.0,,
508,2041.0,John Harkes,John,Harkes,1967-03-08,United States,United States,,M,Midfielder,7,3.0,1.0,,2.0,1.0,,1.0,,,
254,244.0,Steve Harkness,Steve,Harkness,1971-08-27,England,England,,D,Defender,7,6.0,1.0,2.0,1.0,3.0,,2.0,,,
1147,178573.0,Jon Harley,Jon,Harley,1979-09-26,England,England,,D,Defender,7,,,,,,,,,,
1550,3760.0,Kevin Harper,Kevin,Harper,1976-01-15,England,Scotland,,M,Midfielder,7,27.0,1.0,9.0,8.0,10.0,1.0,1.0,1.0,,
1223,1431.0,Craig Harrison,Craig,Harrison,1977-11-10,England,England,,D,Defender,7,4.0,2.0,2.0,2.0,,,,,,
1045,10049.0,Ian Harte,Ian,Harte,1977-08-31,Ireland,Ireland,14.0,D,Left Full Back,7,35.0,14.0,11.0,6.0,18.0,7.0,7.0,4.0,,
844,278349.0,John Hartson,John,Hartson,1975-04-05,Wales,Wales,10.0,F,Forward,7,31.0,7.0,7.0,17.0,7.0,3.0,5.0,6.0,,
1612,27640.0,Steven Haslam,Steven,Haslam,1979-09-06,England,England,16.0,D,Defender,7,2.0,0.0,,,2.0,,,,,
1413,4165.0,Jimmy Floyd Hasselbaink,Jimmy Floyd,Hasselbaink,1972-03-27,Suriname,Netherlands,18.0,F,Forward,7,36.0,13.0,12.0,6.0,18.0,13.0,9.0,18.0,,
1363,1614.0,Simon Haworth,Simon,Haworth,1977-03-30,England,England,,F,Forward,7,1.0,0.0,,1.0,,,,,,
628,1294.0,Paul Heald,Paul,Heald,1968-09-20,England,England,,G,Goalkeeper,7,,,,,,,,,,
1358,4166.0,Magnus Hedman,Magnus,Hedman,1973-03-19,Sweden,Sweden,22.0,G,Goalkeeper,7,36.0,7.0,8.0,17.0,11.0,,2.0,,,
1573,1921.0,Vegard Heggem,Vegard,Heggem,1975-07-13,Norway,Norway,17.0,D,Defender,7,29.0,4.0,6.0,10.0,13.0,3.0,2.0,2.0,,
1335,1580.0,Stéphane Henchoz,Stéphane,Henchoz,1974-09-07,Switzerland,Switzerland,16.0,D,Defender,7,34.0,9.0,12.0,16.0,6.0,,6.0,,,
848,12990.0,Lee Hendrie,Lee,Hendrie,1977-05-18,England,England,,M,Midfielder,7,32.0,10.0,9.0,9.0,14.0,6.0,8.0,3.0,,
908,14283.0,Emile Heskey,Emile,Heskey,1978-01-11,England,England,19.0,F,Centre Striker,7,30.0,10.0,12.0,9.0,9.0,3.0,3.0,6.0,,
1405,1668.0,Martin Hiden,Martin,Hiden,1973-03-11,Austria,Austria,,D,Defender,7,14.0,6.0,7.0,2.0,5.0,2.0,3.0,,,
1426,13840.0,Danny Higginbotham,Danny,Higginbotham,1978-12-29,England,Gibraltar,4.0,D,Defender,7,,,,,,,,,,
1056,1988.0,Scott Hiley,Scott,Hiley,1968-09-27,England,England,,D,Defender,7,29.0,6.0,7.0,15.0,7.0,,2.0,,,
179,1726.0,Andy Hinchcliffe,Andy,Hinchcliffe,1969-02-05,England,England,,D,Defender,7,32.0,8.0,6.0,15.0,11.0,4.0,4.0,3.0,1.0,
514,1749.0,David Hirst,David,Hirst,1967-12-07,England,England,,F,Forward,7,2.0,0.0,1.0,1.0,,,,,,
1080,2008.0,Shaka Hislop,Shaka,Hislop,1969-02-22,England,Trinidad & Tobago,,G,Goalkeeper,7,37.0,15.0,9.0,13.0,15.0,,,,1.0,
92,88.0,Kevin Hitchcock,Kevin,Hitchcock,1962-10-05,England,England,,G,Goalkeeper,7,3.0,1.0,2.0,,1.0,,,,,
1602,1963.0,Jon Olav Hjelde,Jon Olav,Hjelde,1972-07-30,Norway,Norway,,D,Defender,7,17.0,1.0,5.0,11.0,1.0,,3.0,1.0,,
480,2042.0,Glyn Hodges,Glyn,Hodges,1963-04-30,England,Wales,,M,Midfielder,7,5.0,0.0,,3.0,2.0,,1.0,,,
1638,2021.0,Gavin Holligan,Gavin,Holligan,1980-06-13,England,England,,F,Forward,7,1.0,0.0,1.0,,,,,,,
793,1857.0,Matt Holmes,Matt,Holmes,1969-08-01,England,England,,M,Midfielder,7,,,,,,,,,,
108,2530.0,David Hopkin,David,Hopkin,1970-08-21,Scotland,Scotland,,M,Midfielder,7,34.0,13.0,12.0,6.0,16.0,4.0,6.0,4.0,,
890,27734.0,Russell Hoult,Russell,Hoult,1972-11-22,England,England,38.0,G,Goalkeeper,7,23.0,5.0,7.0,7.0,9.0,,2.0,,1.0,
560,1992.0,David Howells,David,Howells,1967-12-15,England,England,,M,Midfielder,7,9.0,0.0,2.0,6.0,1.0,,1.0,1.0,,
714,3174.0,Steve Howey,Steve,Howey,1971-10-26,England,England,,D,Defender,7,14.0,3.0,4.0,4.0,6.0,,1.0,,,
1082,3684.0,Darren Huckerby,Darren,Huckerby,1976-04-23,England,England,6.0,F,Forward,7,34.0,4.0,8.0,15.0,11.0,4.0,7.0,9.0,,
842,3186.0,Stephen Hughes,Stephen,Hughes,1976-09-18,England,England,,M,Midfielder,7,14.0,1.0,6.0,2.0,6.0,2.0,2.0,1.0,,
1097,10516.0,Ritchie Humphreys,Ritchie,Humphreys,1977-11-30,England,England,25.0,M,Left Winger,7,19.0,4.0,5.0,11.0,3.0,,1.0,1.0,,
1528,1864.0,Andy Hunt,Andy,Hunt,1970-06-09,England,England,,F,Forward,7,34.0,5.0,12.0,15.0,7.0,1.0,3.0,6.0,,
272,1067.0,Don Hutchison,Don,Hutchison,1971-05-09,Scotland,Scotland,,M,Midfielder,7,33.0,11.0,9.0,14.0,10.0,7.0,9.0,3.0,1.0,
505,486.0,Graham Hyde,Graham,Hyde,1970-11-10,England,England,,M,Midfielder,7,1.0,0.0,,,1.0,,,,,
1514,2288.0,Sasa Ilic,Sasa,Ilic,1972-07-18,Serbia,Serbia,,G,Goalkeeper,7,23.0,5.0,8.0,12.0,3.0,1.0,1.0,,,
453,1915.0,Andy Impey,Andy,Impey,1971-09-30,England,England,2.0,M,Midfielder,7,26.0,10.0,10.0,8.0,8.0,1.0,2.0,,,
326,3400.0,Paul Ince,Paul,Ince,1967-10-21,England,England,8.0,M,Midfielder,7,34.0,8.0,7.0,13.0,14.0,4.0,9.0,6.0,,
315,3386.0,Denis Irwin,Denis,Irwin,1965-10-31,Ireland,Ireland,,D,Defender,7,29.0,10.0,10.0,3.0,16.0,2.0,2.0,2.0,1.0,
1277,27112.0,Steffen Iversen,Steffen,Iversen,1976-11-10,Norway,Norway,9.0,F,Forward,7,27.0,7.0,11.0,8.0,8.0,2.0,2.0,9.0,,
670,3475.0,Muzzy Izzet,Muzzy,Izzet,1974-10-31,England,Turkey,6.0,M,Midfielder,7,31.0,8.0,9.0,12.0,10.0,2.0,2.0,5.0,,
1474,1768.0,Samassi Abou,Samassi,Abou,1973-04-04,Cote D’Ivoire,France,,F,Forward,7,3.0,0.0,2.0,1.0,,,,,,
3,3.0,Tony Adams,Tony,Adams,1966-10-10,England,England,,D,Defender,7,26.0,16.0,7.0,3.0,16.0,,4.0,1.0,,
1639,12626.0,Gareth Ainsworth,Gareth,Ainsworth,1973-05-10,England,England,44.0,M,Centre Central Midfielder,7,8.0,1.0,,5.0,3.0,1.0,,,,
924,1010.0,Philippe Albert,Philippe,Albert,1967-08-10,Belgium,Belgium,,D,Defender,7,6.0,1.0,1.0,4.0,1.0,,2.0,,,
1447,2370.0,Niclas Alexandersson,Niclas,Alexandersson,1971-12-29,Sweden,Sweden,,M,Midfielder,7,32.0,7.0,7.0,14.0,11.0,3.0,,3.0,,
1040,1183.0,Graham Allen,Graham,Allen,1977-04-08,England,England,,D,Defender,7,,,,,,,,,,
1608,1972.0,Bernard Allou,Bernard,Allou,1975-06-19,France,France,,F,Forward,7,2.0,0.0,1.0,,1.0,,,,,
1543,127569.0,John Aloisi,John,Aloisi,1976-02-05,Australia,Australia,20.0,F,Forward,7,16.0,0.0,6.0,7.0,3.0,2.0,1.0,5.0,1.0,
1339,1584.0,Anders Andersson,Anders,Andersson,1974-03-15,Sweden,Sweden,,F,Forward,7,,,,,,,,,,
566,3471.0,Darren Anderton,Darren,Anderton,1972-03-03,England,England,,M,Midfielder,7,32.0,8.0,12.0,11.0,9.0,9.0,6.0,3.0,,
518,1680.0,Ian Andrews,Ian,Andrews,1964-12-01,England,England,,G,Goalkeeper,7,,,,,,,,,,
1158,96964.0,Andy Ducros,Andy,Ducros,1977-09-16,England,England,,M,Midfielder,7,,,,,,,,,,
1460,314620.0,Andy Williams,Andy,Williams,1986-08-14,England,England,11.0,F,Centre Striker,7,,,,,,,,,,
1135,6786.0,Nicolas Anelka,Nicolas,Anelka,1979-03-14,France,France,39.0,F,Centre Striker,7,35.0,6.0,12.0,4.0,19.0,5.0,1.0,17.0,,
1273,12986.0,Mark Arber,Mark,Arber,1977-10-08,Zimbabwe,Zimbabwe,,D,Defender,7,,,,,,,,,,
600,578.0,Neal Ardley,Neal,Ardley,1972-09-01,England,England,,M,Midfielder,7,23.0,2.0,9.0,7.0,7.0,1.0,,,,
726,2395.0,Alun Armstrong,Alun,Armstrong,1975-02-22,England,England,10.0,F,Forward,7,6.0,0.0,1.0,2.0,3.0,1.0,,1.0,,
1415,2420.0,Pegguy Arphexad,Pegguy,Arphexad,1973-05-18,France,France,,G,Goalkeeper,7,4.0,1.0,1.0,1.0,2.0,,,,,
125,2311.0,Peter Atherton,Peter,Atherton,1970-04-06,England,England,2.0,D,Defender,7,38.0,11.0,7.0,18.0,13.0,1.0,3.0,2.0,1.0,
1272,2895.0,Espen Baardsen,Espen,Baardsen,1977-12-07,United States,Norway,,G,Goalkeeper,7,12.0,5.0,3.0,4.0,5.0,,,,,
1145,3643.0,Celestine Babayaro,Celestine,Babayaro,1978-08-29,Nigeria,Nigeria,33.0,D,Defender,7,28.0,9.0,11.0,3.0,14.0,2.0,6.0,3.0,,
128,3032.0,Phil Babb,Phil,Babb,1970-11-30,Ireland,Ireland,,D,Defender,7,25.0,6.0,7.0,8.0,10.0,1.0,6.0,,,
1394,1649.0,Francesco Baiano,Francesco,Baiano,1968-02-24,Italy,Italy,,F,Forward,7,22.0,0.0,7.0,7.0,8.0,1.0,2.0,4.0,,
1562,127570.0,Ibrahima Bakayoko,Ibrahima,Bakayoko,1976-12-31,Cote D’Ivoire,Cote D’Ivoire,24.0,F,Forward,7,23.0,4.0,5.0,12.0,6.0,,3.0,4.0,,
1219,1427.0,Steve Baker,Steve,Baker,1978-09-08,England,England,,D,Defender,7,2.0,0.0,,1.0,1.0,,,,,
1185,178446.0,Michael Ball,Michael,Ball,1979-10-02,England,England,16.0,D,Left Full Back,7,37.0,14.0,10.0,16.0,11.0,5.0,8.0,3.0,,
569,179502.0,Nick Barmby,Nick,Barmby,1974-02-11,England,England,18.0,M,Centre Central Midfielder,7,24.0,3.0,7.0,12.0,5.0,3.0,4.0,3.0,,
269,1848.0,John Barnes,John,Barnes,1963-11-07,Jamaica,England,,M,Midfielder,7,13.0,1.0,3.0,6.0,4.0,,,,,
104,28003.0,Anthony Barness,Anthony,Barness,1973-02-25,England,England,,D,Defender,7,3.0,0.0,,2.0,1.0,,,,,
1499,1809.0,Graham Barrett,Graham,Barrett,1981-10-06,Ireland,Ireland,,F,Forward,7,,,,,,,,,,
1308,52234.0,Gareth Barry,Gareth,Barry,1981-02-23,England,England,18.0,M,Centre Central Midfielder,7,32.0,8.0,8.0,10.0,14.0,1.0,3.0,2.0,,1.0
509,2631.0,Chris Bart-Williams,Chris,Bart-Williams,1974-06-16,England,England,,M,Midfielder,7,24.0,2.0,6.0,13.0,5.0,1.0,4.0,3.0,,
590,2644.0,Warren Barton,Warren,Barton,1969-03-19,England,England,2.0,D,Defender,7,24.0,3.0,9.0,6.0,9.0,,1.0,,,
1251,177230.0,Steve Basham,Steve,Basham,1977-02-12,England,England,,F,Forward,7,4.0,0.0,,2.0,2.0,,,1.0,,
243,234.0,David Batty,David,Batty,1968-12-02,England,England,,M,Midfielder,7,18.0,5.0,6.0,5.0,7.0,,8.0,,,
1005,9736.0,James Beattie,James,Beattie,1978-02-27,England,England,21.0,F,Centre Striker,7,35.0,5.0,6.0,18.0,11.0,7.0,4.0,5.0,,
1227,1894.0,Mikkel Beck,Mikkel,Beck,1973-05-12,Denmark,Denmark,,F,Forward,7,34.0,4.0,12.0,12.0,10.0,4.0,2.0,6.0,,
331,113463.0,David Beckham,David,Beckham,1975-05-02,England,England,32.0,M,Centre/Right Central Midfielder,7,34.0,9.0,13.0,3.0,18.0,11.0,6.0,6.0,,
1591,1947.0,David Beharall,David,Beharall,1979-03-08,England,England,,D,Defender,7,4.0,0.0,2.0,2.0,,,,,,
523,503.0,Francis Benali,Francis,Benali,1968-12-30,England,England,,D,Defender,7,23.0,6.0,7.0,9.0,7.0,1.0,2.0,,,
1583,1930.0,Marlon Beresford,Marlon,Beresford,1969-09-02,England,England,,G,Goalkeeper,7,4.0,0.0,3.0,,1.0,,,,,
74,279141.0,Henning Berg,Henning,Berg,1969-09-01,Norway,Norway,,D,Defender,7,16.0,3.0,4.0,1.0,11.0,2.0,1.0,,,
1205,100429.0,Patrik Berger,Patrik,Berger,1973-11-10,Czech Republic,Czech Republic,8.0,M,Left/Right Winger,7,32.0,6.0,9.0,11.0,12.0,4.0,4.0,7.0,,
991,1107.0,Dennis Bergkamp,Dennis,Bergkamp,1969-05-10,Netherlands,Netherlands,10.0,F,Forward,7,29.0,13.0,6.0,4.0,19.0,13.0,5.0,12.0,,
1247,3347.0,Eyal Berkovic,Eyal,Berkovic,1972-04-02,Israel,Israel,10.0,M,Midfielder,7,30.0,7.0,7.0,10.0,13.0,11.0,3.0,3.0,,
1466,1753.0,Nicola Berti,Nicola,Berti,1967-04-14,Italy,Italy,,M,Midfielder,7,4.0,0.0,1.0,2.0,1.0,,1.0,,,
1456,29146.0,Scott Bevan,Scott,Bevan,1979-09-19,England,England,1.0,G,Goalkeeper,7,,,,,,,,,,
1112,1652.0,Slaven Bilic,Slaven,Bilic,1968-09-11,Croatia,Croatia,,D,Defender,7,4.0,2.0,1.0,2.0,1.0,,1.0,,,
260,2580.0,Stig Inge Bjornebye,Stig Inge,Bjornebye,1969-12-11,Norway,Norway,,D,Defender,7,23.0,3.0,3.0,11.0,9.0,2.0,5.0,,,
1496,95872.0,Tommy Black,Tommy,Black,1979-11-26,England,England,,M,Midfielder,7,,,,,,,,,,
325,1234.0,Clayton Blackmore,Clayton,Blackmore,1964-09-23,Wales,Wales,,M,Midfielder,7,,,,,,,,,,
589,567.0,Dean Blackwell,Dean,Blackwell,1969-12-05,England,England,,D,Defender,7,28.0,5.0,9.0,12.0,7.0,,,,,1.0
1508,177650.0,Michael Blackwood,Michael,Blackwood,1979-09-30,England,England,,D,Defender,7,,,,,,,,,,
745,3409.0,Nathan Blake,Nathan,Blake,1972-01-27,Wales,Wales,,F,Forward,7,11.0,2.0,3.0,7.0,1.0,,,3.0,,
1582,2887.0,Jesper Blomqvist,Jesper,Blomqvist,1974-02-05,Sweden,Sweden,,F,Forward,7,25.0,0.0,9.0,2.0,14.0,3.0,2.0,1.0,,
1361,177168.0,George Boateng,George,Boateng,1975-09-05,Netherlands,Netherlands,6.0,M,Midfielder,7,33.0,4.0,8.0,17.0,8.0,6.0,10.0,4.0,,
1549,26768.0,Paul Boertien,Paul,Boertien,1979-01-20,England,England,2.0,M,Midfielder,7,1.0,0.0,,1.0,,,,,,
942,1645.0,Lars Bohinen,Lars,Bohinen,1969-09-08,Norway,Norway,,M,Midfielder,7,32.0,4.0,10.0,10.0,12.0,5.0,6.0,,,
136,95963.0,Willie Boland,Willie,Boland,1975-08-06,Ireland,Ireland,,M,Midfielder,7,,,,,,,,,,
1606,1970.0,Thierry Bonalair,Thierry,Bonalair,1966-06-14,France,France,,M,Midfielder,7,28.0,5.0,8.0,15.0,5.0,1.0,3.0,1.0,,
1241,2549.0,Andy Booth,Andy,Booth,1973-12-06,England,England,,F,Forward,7,34.0,6.0,6.0,16.0,12.0,2.0,7.0,6.0,,
1547,278153.0,Vassilis Borbokis,Vassilis,Borbokis,1969-02-10,Greece,Greece,,D,Defender,7,4.0,0.0,,2.0,2.0,,,,,
32,2329.0,Mark Bosnich,Mark,Bosnich,1972-01-13,Australia,Australia,,G,Goalkeeper,7,15.0,9.0,4.0,3.0,8.0,,1.0,,,
9,2192.0,Steve Bould,Steve,Bould,1962-11-16,England,England,,D,Defender,7,19.0,6.0,7.0,2.0,10.0,,3.0,,,
376,1841.0,Mark Bowen,Mark,Bowen,1963-12-07,Wales,Wales,,D,Defender,7,6.0,0.0,1.0,4.0,1.0,,,,,
1190,176853.0,Lee Bowyer,Lee,Bowyer,1977-01-03,England,England,8.0,M,Midfielder,7,35.0,14.0,12.0,6.0,17.0,2.0,8.0,9.0,,
1624,1997.0,Shayne Bradley,Shayne,Bradley,1979-12-08,England,England,,F,Forward,7,3.0,0.0,,2.0,1.0,,,,,
779,1951.0,Garry Brady,Garry,Brady,1976-09-07,Scotland,Scotland,,M,Midfielder,7,9.0,0.0,3.0,2.0,4.0,,,,,
1588,1943.0,Marco Branca,Marco,Branca,1965-01-06,Italy,Italy,,F,Forward,7,1.0,0.0,,,1.0,,,,,
1043,1188.0,Paul Michael Branch,Paul Michael,Branch,1978-10-18,England,England,,F,Forward,7,7.0,0.0,2.0,4.0,1.0,,,,,
