id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,formation_place,accurate_back_zone_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_miss,att_freekick_total,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obxd_left,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,draws,duel_lost,duel_won,effective_clearance,final_third_entries,fouled_final_third,fouls,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_openplay,goal_fastbreak,hand_ball,head_pass,interception,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,shot_fastbreak,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,total_att_assist,total_back_zone_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_fwd_zone_pass,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,freekick_cross,goal_assist_deadball,goal_assist_setplay,interceptions_in_box,total_corners_intobox,attempts_ibox,attempts_obox,att_cmiss_high_right,att_corner,att_goal_high_left,att_ibox_post,att_lg_left,att_obx_left,att_pen_goal,att_pen_target,att_post_right,hit_woodwork,penalty_won,post_scoring_att,touches_in_opp_box,accurate_freekick_cross,accurate_goal_kicks,clearance_off_line,goal_kicks,att_goal_high_centre,att_lg_centre,penalty_conceded,att_cmiss_high_left,att_hd_post,att_post_high,dangerous_play,own_goals,red_card,total_chipped_pass,att_post_left,att_freekick_target,att_obox_post,second_yellow,att_obx_right,accurate_keeper_throws,ball_recovery,dive_catch,dive_save,good_high_claim,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,att_lg_right,last_man_tackle,att_obxd_right,att_freekick_goal,att_pen_post,back_pass,att_pen_miss,unsuccessful_touch,leftside_pass,att_obp_goal,fwd_pass,att_freekick_post,rescinded_red_card,accurate_chipped_pass,rightside_pass
3031,4057.0,Joey Waterhouse,Joey,Waterhouse,1988-10-10,England,England,36.0,D,Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,176672.0,Adam Watts,Adam,Watts,1988-03-04,England,England,,D,Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,20001.0,Danny Webber,Danny,Webber,1981-12-28,England,England,,F,Forward,15,130.0,80.0,3.0,3.0,178.0,10.0,255.0,1.0,9.0,2.0,22.0,85.0,94.0,7.0,,7.0,3.0,3.0,,2.0,1.0,3.0,,,,,1.0,1.0,2.0,1.0,3.0,6.0,1.0,3.0,4.0,9.0,,,3.0,1.0,1.0,,4.0,2.0,4.0,,4.0,1.0,,8.0,26.0,1.0,7.0,18.0,,,,,4.0,3.0,3.0,5.0,64.0,,,9.0,7.0,5.0,106.0,40.0,2.0,20.0,4.0,7.0,13.0,3.0,16.0,10.0,6.0,3.0,,,,3.0,,8.0,8.0,15.0,10.0,11.0,,1155.0,4.0,3.0,13.0,13.0,,84.0,40.0,13.0,1.0,113.0,112.0,3.0,9.0,,100.0,11.0,7.0,94.0,3.0,47.0,16.0,16.0,3.0,139.0,245.0,15.0,8.0,323.0,27.0,7.0,9.0,9.0,1.0,481.0,44.0,11.0,6.0,18.0,6.0,6.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284,10576.0,Andy Webster,Andy,Webster,1982-04-23,Scotland,Scotland,4.0,D,Centre Central Defender,15,16.0,34.0,,,7.0,6.0,41.0,1.0,1.0,3.0,4.0,10.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,9.0,7.0,10.0,18.0,,4.0,3.0,,1.0,,1.0,,,,,,8.0,1.0,1.0,38.0,6.0,,2.0,276.0,,,,21.0,2.0,5.0,13.0,5.0,,49.0,43.0,,,,2.0,10.0,,44.0,16.0,,,,,18.0,40.0,22.0,,84.0,,2.0,1.0,3.0,1.0,108.0,1.0,1.0,4.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220,294045.0,Sam Wedgbury,Sam,Wedgbury,1989-02-26,England,England,,M,Central Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,126098.0,David Weir,David,Weir,1970-05-10,Scotland,Scotland,3.0,D,Centre Central Defender,15,9.0,33.0,,,23.0,7.0,56.0,,1.0,1.0,5.0,15.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,5.0,6.0,11.0,19.0,,3.0,2.0,,2.0,1.0,1.0,,,,,,,,,28.0,18.0,1.0,,149.0,,,,,,7.0,9.0,,,23.0,18.0,,,,9.0,,,36.0,16.0,,,,,19.0,36.0,15.0,,72.0,,1.0,3.0,3.0,,94.0,1.0,2.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,261176.0,Myles Weston,Myles,Weston,1988-03-12,Antigua & Barbuda,Antigua & Barbuda,11.0,M,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,161184.0,David Wheater,David,Wheater,1987-02-14,England,England,31.0,D,Centre Central Defender,15,6.0,16.0,,,6.0,2.0,22.0,,2.0,1.0,2.0,7.0,2.0,,,2.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,2.0,2.0,6.0,6.0,,,1.0,1.0,1.0,1.0,,,,,,,,3.0,3.0,9.0,5.0,1.0,2.0,92.0,,,1.0,,2.0,4.0,3.0,,,14.0,14.0,,2.0,,3.0,,,22.0,6.0,,,,,9.0,14.0,4.0,,36.0,3.0,,1.0,,,51.0,1.0,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,48281.0,Peter Whittingham,Peter,Whittingham,1984-09-08,England,England,11.0,M,Left/Centre Central Midfielder,15,14.0,28.0,1.0,1.0,34.0,7.0,61.0,11.0,,,3.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,,2.0,,,,,,,,1.0,5.0,1.0,2.0,3.0,3.0,1.0,7.0,3.0,5.0,20.0,,,2.0,,,,,,1.0,1.0,,,,,,28.0,14.0,,3.0,171.0,,1.0,,,,22.0,1.0,5.0,,44.0,44.0,,1.0,,15.0,,1.0,35.0,5.0,2.0,8.0,6.0,,26.0,59.0,14.0,,86.0,2.0,1.0,1.0,2.0,18.0,128.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,176434.0,Sam Williams,Sam,Williams,1987-06-09,England,England,7.0,F,Forward,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3260,57311.0,Lee Williamson,Lee,Williamson,1982-06-07,England,Jamaica,7.0,M,Central Midfielder,15,30.0,12.0,1.0,1.0,37.0,4.0,48.0,2.0,2.0,,5.0,23.0,14.0,5.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,2.0,,2.0,3.0,,,2.0,,1.0,1.0,,2.0,,,3.0,7.0,,,4.0,,,,,2.0,,,2.0,7.0,1.0,4.0,5.0,3.0,1.0,16.0,6.0,,13.0,2.0,5.0,4.0,,2.0,2.0,,,1.0,1.0,,,,2.0,2.0,14.0,4.0,3.0,,332.0,3.0,4.0,2.0,,,5.0,22.0,9.0,,41.0,41.0,1.0,3.0,,22.0,,7.0,17.0,,3.0,12.0,10.0,1.0,35.0,69.0,8.0,,74.0,7.0,2.0,1.0,3.0,4.0,118.0,13.0,2.0,1.0,1.0,3.0,3.0,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,58296.0,Jonathan Woodgate,Jonathan,Woodgate,1980-01-22,England,England,39.0,D,Centre Central Defender,15,156.0,403.0,1.0,1.0,155.0,71.0,557.0,7.0,17.0,33.0,30.0,191.0,237.0,2.0,1.0,3.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,3.0,1.0,,,,1.0,,,2.0,,1.0,,,,,1.0,5.0,,1.0,4.0,,,,,1.0,,,1.0,9.0,9.0,,1.0,3.0,10.0,54.0,126.0,166.0,140.0,1.0,28.0,30.0,,30.0,23.0,7.0,,1.0,1.0,,,33.0,29.0,29.0,260.0,113.0,11.0,32.0,2598.0,1.0,3.0,1.0,115.0,19.0,33.0,87.0,20.0,5.0,341.0,278.0,,3.0,,47.0,80.0,4.0,503.0,229.0,4.0,4.0,4.0,,139.0,323.0,163.0,,822.0,5.0,2.0,,73.0,16.0,1212.0,9.0,16.0,9.0,4.0,2.0,62.0,3.0,,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
3105,294197.0,Michael Woods,Michael,Woods,1990-04-06,England,England,,M,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,19376.0,Harry Worley,Harry,Worley,1988-11-25,England,England,4.0,D,Centre Central Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,25111.0,Richard Wright,Richard,Wright,1977-11-05,England,England,,G,Goalkeeper,15,1.0,1.0,,,2.0,3.0,3.0,,,,1.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,1.0,,3.0,2.0,1.0,,,,,,,,,29.0,7.0,1.0,1.0,90.0,,,,,,2.0,1.0,1.0,,27.0,25.0,,,,1.0,,,3.0,2.0,,,,,8.0,15.0,17.0,,18.0,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,14.0,,,,,,,,,,,,,,,,,3.0,,1.0,3.0,1.0,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,
2719,15843.0,Xabi Alonso,Xabier,Alonso Olano,1981-11-25,Spain,Spain,14.0,M,Centre Central Midfielder,15,172.0,728.0,7.0,7.0,921.0,270.0,1642.0,4.0,21.0,36.0,32.0,116.0,135.0,37.0,12.0,3.0,1.0,,2.0,5.0,1.0,2.0,,3.0,,1.0,,2.0,,,,,1.0,2.0,1.0,,,1.0,5.0,4.0,3.0,2.0,8.0,4.0,11.0,2.0,20.0,12.0,,42.0,43.0,4.0,11.0,46.0,1.0,,,1.0,4.0,1.0,6.0,12.0,86.0,14.0,12.0,5.0,8.0,6.0,158.0,227.0,31.0,444.0,8.0,46.0,29.0,4.0,22.0,18.0,4.0,3.0,1.0,1.0,,1.0,16.0,36.0,36.0,404.0,260.0,9.0,5.0,2661.0,23.0,27.0,16.0,147.0,6.0,236.0,309.0,86.0,,438.0,426.0,2.0,23.0,,473.0,122.0,50.0,809.0,43.0,13.0,33.0,26.0,2.0,661.0,1247.0,357.0,,2023.0,51.0,2.0,3.0,132.0,4.0,2393.0,29.0,52.0,17.0,7.0,10.0,107.0,9.0,1.0,13.0,,,2.0,8.0,,,1.0,,1.0,,,,1.0,,1.0,2.0,,2.0,,4.0,,,,,4.0,,1.0,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
