id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_cmiss_high,att_cmiss_high_left,att_cmiss_left,att_freekick_goal,att_freekick_miss,att_freekick_target,att_freekick_total,att_goal_low_left,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_high_left,att_sv_high_right,att_sv_low_centre,ball_recovery,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,formation_place,fouled_final_third,fouls,freekick_cross,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_goal_kicks,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,att_bx_centre,att_bx_left,att_bx_right,att_fastbreak,att_goal_low_right,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_post_high,att_setpiece,att_sv_low_left,att_sv_low_right,goals_openplay,hit_woodwork,penalty_conceded,penalty_won,post_scoring_att,shot_fastbreak,six_yard_block,total_fastbreak,att_cmiss_high_right,att_cmiss_right,att_obp_goal,att_obx_right,att_pen_target,att_post_right,att_sv_high_centre,dangerous_play,head_pass,open_play_pass,successful_open_play_pass,touches_in_opp_box,att_lg_centre,offside_provoked,red_card,times_tackled,winning_goal,att_post_left,last_man_tackle,att_hd_goal,own_goals,gk_smother,clearance_off_line,goal_assist_setplay,accurate_freekick_cross,att_freekick_post,att_obox_post,att_pen_goal,goal_assist_deadball,attempts_ibox,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_lf_goal,goal_fastbreak,error_lead_to_goal,att_obxd_left,att_obxd_right,att_obx_left,att_pen_post,att_goal_high_centre,second_yellow,diving_save,attempts_obox,penalty_save,back_pass,att_lg_left,rescinded_red_card,backward_pass,rightside_pass,att_pen_miss,leftside_pass
3198,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,16,576.0,39.0,1.0,2.0,1.0,5.0,641.0,6.0,14.0,105.0,1215.0,1.0,5.0,38.0,22.0,29.0,110.0,141.0,10.0,,,,1.0,,,,,,,,,3.0,4.0,,4.0,,6.0,3.0,11.0,12.0,,3.0,13.0,,1.0,,189.0,4.0,29.0,12.0,2.0,4.0,3.0,35.0,7.0,158.0,181.0,47.0,28.0,1.0,206.0,0.0,3.0,50.0,1.0,21.0,,9.0,9.0,,,,,3.0,60.0,41.0,2.0,41.0,204.0,162.0,3.0,6.0,1948.0,4.0,6.0,3.0,7.0,142.0,160.0,40.0,1.0,255.0,200.0,16.0,47.0,126.0,7.0,241.0,10.0,619.0,71.0,102.0,29.0,2.0,10.0,8.0,309.0,9.0,749.0,19.0,14.0,141.0,,1358.0,14.0,3.0,8.0,89.0,2.0,6.0,1747.0,45.0,50.0,19.0,20.0,3.0,70.0,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,4.0,82.0,80.0,,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,16,143.0,9.0,,,,2.0,70.0,11.0,,27.0,213.0,,,34.0,56.0,18.0,172.0,131.0,2.0,,1.0,,3.0,,,,,,,2.0,,,4.0,1.0,,,,1.0,1.0,4.0,,3.0,4.0,1.0,,4.0,81.0,1.0,14.0,1.0,,1.0,,5.0,4.0,78.0,119.0,144.0,89.0,,103.0,0.0,,25.0,,18.0,,31.0,30.0,1.0,,,,1.0,178.0,37.0,7.0,37.0,141.0,44.0,9.0,15.0,1620.0,1.0,1.0,7.0,14.0,21.0,60.0,21.0,3.0,312.0,174.0,2.0,48.0,31.0,8.0,39.0,2.0,187.0,42.0,282.0,4.0,,1.0,1.0,125.0,5.0,194.0,59.0,,88.0,3.0,380.0,16.0,,,47.0,,,805.0,18.0,13.0,5.0,3.0,,30.0,4.0,,,,,,,,,,,,,,,,,,13.0,,1.0,,,6.0,1.0,4.0,11.0,1.0,,7.0,1.0,6.0,,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,21.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,16,44.0,,,,,,73.0,,,79.0,117.0,,,,,13.0,88.0,94.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,5.0,,,,,3.0,,4.0,17.0,,1.0,133.0,0.0,,,,13.0,,16.0,13.0,3.0,,,,,,,,,316.0,124.0,5.0,9.0,1170.0,,2.0,,,30.0,37.0,5.0,,232.0,230.0,,24.0,,,38.0,2.0,67.0,,19.0,,,,,120.0,,194.0,,,208.0,,261.0,,,,,,,593.0,,4.0,5.0,,,,,58.0,48.0,1.0,15.0,14.0,140.0,16.0,114.0,50.0,,13.0,18.0,21.0,39.0,6.0,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,16,2.0,,,,,1.0,4.0,,1.0,,6.0,,,2.0,,2.0,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,2.0,,,,,,,2.0,1.0,5.0,2.0,,,,1.0,0.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,34.0,,,,1.0,1.0,1.0,,,3.0,3.0,1.0,,1.0,1.0,2.0,,3.0,,,,,,,2.0,1.0,4.0,,2.0,,,7.0,1.0,,2.0,,,,12.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,16,578.0,53.0,,1.0,1.0,1.0,250.0,21.0,3.0,161.0,827.0,,4.0,32.0,49.0,27.0,87.0,96.0,6.0,1.0,,,2.0,,,,,,3.0,3.0,1.0,,4.0,1.0,1.0,,2.0,2.0,5.0,7.0,,1.0,4.0,,,1.0,130.0,6.0,12.0,10.0,,1.0,3.0,3.0,7.0,64.0,124.0,191.0,133.0,2.0,169.0,0.0,,17.0,,24.0,1.0,15.0,12.0,3.0,1.0,1.0,1.0,,250.0,49.0,3.0,49.0,295.0,165.0,3.0,8.0,2024.0,5.0,3.0,5.0,4.0,139.0,64.0,15.0,1.0,372.0,203.0,4.0,93.0,33.0,9.0,93.0,8.0,611.0,105.0,360.0,4.0,,4.0,4.0,190.0,5.0,411.0,74.0,5.0,233.0,,1018.0,20.0,3.0,3.0,50.0,,4.0,1550.0,25.0,21.0,17.0,4.0,5.0,40.0,1.0,,,,,,,,,,,,,,,,,,12.0,,,,1.0,5.0,,2.0,8.0,5.0,1.0,7.0,,2.0,1.0,,3.0,2.0,1.0,,,,,,,3.0,,,,,,,,,1.0,,,,,,22.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,16,158.0,10.0,,,,2.0,161.0,1.0,,23.0,319.0,,3.0,9.0,5.0,17.0,144.0,108.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,2.0,,1.0,2.0,5.0,5.0,,1.0,4.0,,,,111.0,2.0,32.0,1.0,,4.0,1.0,17.0,7.0,81.0,75.0,21.0,7.0,1.0,91.0,0.0,2.0,19.0,,17.0,,24.0,24.0,,,,,1.0,19.0,50.0,2.0,50.0,68.0,27.0,6.0,3.0,1414.0,1.0,2.0,2.0,6.0,42.0,56.0,19.0,4.0,202.0,170.0,15.0,23.0,73.0,1.0,80.0,3.0,199.0,37.0,53.0,11.0,,5.0,5.0,143.0,8.0,266.0,14.0,,44.0,,460.0,5.0,2.0,,53.0,1.0,3.0,692.0,27.0,11.0,4.0,6.0,4.0,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2863,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993,16,117.0,21.0,,1.0,1.0,4.0,258.0,2.0,21.0,22.0,374.0,4.0,4.0,4.0,6.0,15.0,120.0,80.0,14.0,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,,2.0,,3.0,2.0,7.0,5.0,,2.0,7.0,,,1.0,89.0,2.0,20.0,,1.0,4.0,13.0,25.0,4.0,78.0,98.0,13.0,4.0,,128.0,0.0,5.0,20.0,2.0,13.0,,29.0,23.0,6.0,1.0,1.0,1.0,3.0,5.0,34.0,1.0,33.0,68.0,41.0,11.0,1.0,1106.0,4.0,13.0,2.0,2.0,54.0,86.0,40.0,1.0,201.0,192.0,18.0,13.0,58.0,3.0,130.0,17.0,142.0,48.0,22.0,33.0,,19.0,19.0,210.0,10.0,384.0,5.0,21.0,41.0,,507.0,7.0,5.0,2.0,40.0,4.0,4.0,747.0,45.0,31.0,,21.0,2.0,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,24.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,16,10.0,,,,,,7.0,,,8.0,17.0,,,,,3.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,1.0,4.0,,,8.0,0.0,,,,2.0,,2.0,2.0,,,,,,,1.0,1.0,1.0,32.0,10.0,,2.0,206.0,,,,,6.0,6.0,,1.0,26.0,26.0,,1.0,,,1.0,,14.0,,4.0,,,,,7.0,,19.0,,,22.0,,33.0,,,1.0,,,,82.0,,,3.0,,,,,11.0,12.0,1.0,,2.0,21.0,2.0,17.0,12.0,1.0,4.0,1.0,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3222,16,398.0,38.0,,3.0,3.0,10.0,297.0,29.0,2.0,90.0,692.0,1.0,24.0,33.0,49.0,34.0,176.0,182.0,5.0,,1.0,,1.0,,,,,,2.0,3.0,1.0,,5.0,4.0,2.0,,3.0,,5.0,7.0,,,5.0,,,1.0,188.0,2.0,17.0,11.0,,5.0,9.0,25.0,6.0,92.0,164.0,206.0,88.0,1.0,300.0,0.0,4.0,16.0,,27.0,1.0,24.0,21.0,3.0,3.0,1.0,2.0,,166.0,49.0,5.0,48.0,367.0,151.0,10.0,27.0,2647.0,3.0,5.0,5.0,26.0,149.0,118.0,48.0,4.0,564.0,409.0,17.0,97.0,74.0,13.0,150.0,8.0,462.0,108.0,361.0,3.0,,14.0,14.0,361.0,25.0,606.0,146.0,2.0,244.0,1.0,1054.0,20.0,,7.0,81.0,1.0,29.0,1696.0,27.0,32.0,18.0,2.0,4.0,60.0,2.0,,,,,,,,,,,,,,,,,,8.0,,1.0,,1.0,8.0,,4.0,13.0,,1.0,10.0,,4.0,,,3.0,1.0,2.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,14.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382,16,194.0,35.0,30.0,55.0,26.0,7.0,387.0,4.0,22.0,86.0,526.0,3.0,5.0,3.0,3.0,30.0,172.0,135.0,20.0,22.0,2.0,,2.0,,4.0,5.0,11.0,1.0,16.0,5.0,3.0,3.0,4.0,9.0,10.0,,22.0,11.0,45.0,41.0,1.0,11.0,39.0,,1.0,7.0,132.0,13.0,15.0,6.0,93.0,40.0,22.0,51.0,9.0,121.0,113.0,11.0,2.0,,109.0,338.0,8.0,20.0,43.0,21.0,1.0,28.0,23.0,5.0,4.0,3.0,3.0,1.0,3.0,23.0,,23.0,76.0,43.0,14.0,3.0,1977.0,29.0,17.0,16.0,2.0,124.0,99.0,93.0,2.0,364.0,359.0,40.0,21.0,71.0,26.0,155.0,46.0,215.0,67.0,16.0,70.0,89.0,193.0,105.0,237.0,16.0,630.0,20.0,24.0,124.0,1.0,652.0,55.0,1.0,9.0,50.0,4.0,6.0,1175.0,47.0,23.0,7.0,37.0,28.0,41.0,1.0,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,3.0,,,,,,3.0,1.0,2.0,,4.0,4.0,1.0,,3.0,2.0,,2.0,,,2.0,3.0,,3.0,,5.0,,,,1.0,2.0,,1.0,35.0,28.0,,,,1.0,,,,,,,,,1.0,10.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2789,16,61.0,2.0,1.0,3.0,2.0,10.0,248.0,,32.0,8.0,306.0,,9.0,30.0,9.0,28.0,161.0,103.0,16.0,,,,4.0,,,,,,20.0,4.0,1.0,2.0,6.0,6.0,5.0,,4.0,2.0,10.0,38.0,2.0,4.0,19.0,,,6.0,51.0,12.0,9.0,,8.0,19.0,11.0,61.0,9.0,168.0,99.0,1.0,,,50.0,0.0,17.0,28.0,,17.0,5.0,32.0,29.0,3.0,1.0,,1.0,,1.0,6.0,,6.0,21.0,12.0,13.0,2.0,1615.0,9.0,8.0,15.0,,75.0,60.0,28.0,3.0,240.0,238.0,29.0,4.0,18.0,20.0,131.0,17.0,72.0,2.0,3.0,65.0,3.0,33.0,30.0,204.0,30.0,370.0,3.0,37.0,13.0,20.0,409.0,47.0,11.0,11.0,30.0,1.0,9.0,743.0,72.0,35.0,6.0,25.0,19.0,24.0,6.0,,,,,,,,,,,,,,,,,,13.0,10.0,3.0,5.0,1.0,6.0,,,7.0,7.0,5.0,15.0,1.0,8.0,6.0,,4.0,2.0,,4.0,1.0,,1.0,1.0,5.0,3.0,5.0,,,,,,1.0,2.0,,3.0,19.0,15.0,6.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
2753,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
