id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_lf_total,att_obox_blocked,att_obx_centre,att_rf_total,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,outfielder_block,passes_left,passes_right,penalty_conceded,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shield_ball_oop,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,was_fouled,wins,won_tackle,yellow_card,accurate_goal_kicks,accurate_keeper_throws,att_assist_setplay,cross_not_claimed,dive_catch,dive_save,diving_save,error_lead_to_shot,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_contest,total_high_claim,won_contest,last_man_tackle,accurate_flick_on,accurate_layoffs,att_bx_centre,att_freekick_miss,att_freekick_total,att_hd_miss,att_hd_post,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_post,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_miss,att_post_high,att_setpiece,clearance_off_line,error_lead_to_goal,fouled_final_third,foul_throw_in,head_pass,hit_woodwork,open_play_pass,own_goals,post_scoring_att,shot_off_target,successful_open_play_pass,total_flick_on,total_sub_on,won_corners,accurate_through_ball,total_through_ball,total_offside,attempts_ibox,attempts_obox,att_hd_target,att_ibox_target,att_lg_centre,att_miss_high_left,att_obox_target,att_obx_right,att_openplay,att_rf_target,att_sv_high_centre,att_sv_low_centre,att_sv_low_left,att_sv_low_right,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,ontarget_scoring_att,touches_in_opp_box,gk_smother,att_fastbreak,att_freekick_goal,att_goal_high_left,att_goal_high_right,att_goal_low_left,att_hd_goal,att_ibox_goal,att_lf_goal,att_obox_goal,att_rf_goal,corner_taken,dangerous_play,goals,shot_fastbreak,accurate_corners_intobox,total_corners_intobox,att_corner,att_goal_low_centre,six_yard_block,att_goal_low_right,att_lf_target,att_post_right,penalty_won,red_card,second_yellow,att_cmiss_right,freekick_cross,goal_fastbreak,att_bx_right,att_cmiss_high,att_cmiss_left,att_goal_high_centre,att_sv_high_right,goals_openplay,total_fastbreak,att_sv_high_left,att_bx_left,att_freekick_target,att_pen_target,leftside_pass,att_pen_goal,att_post_left,att_obxd_left,att_obx_left,att_obxd_right,att_obox_post,accurate_freekick_cross,att_cmiss_high_right,fwd_pass,att_pen_miss,att_pen_post,att_freekick_post,back_pass,backward_pass,att_cmiss_high_left,att_lg_left,att_obp_goal,att_lg_right,rightside_pass,big_chance_scored
3655,17,4.0,,,,1.0,,,5.0,1.0,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,0.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,5.0,,,,,1.0,,,,,2.0,,,2.0,1.0,,,,4.0,,3.0,,,,1.0,,,,5.0,,,,1.0,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506,17,65.0,6.0,2.0,2.0,112.0,2.0,3.0,175.0,51.0,5.0,7.0,8.0,63.0,51.0,4.0,1.0,2.0,2.0,1.0,30.0,6.0,2.0,4.0,2.0,7.0,11.0,8.0,2.0,26.0,45.0,6.0,13.0,6.0,47.0,0.0,2.0,5.0,10.0,10.0,,,14.0,7.0,,7.0,53.0,29.0,2.0,6.0,586.0,,2.0,2.0,,1.0,96.0,,17.0,1.0,123.0,112.0,10.0,10.0,10.0,2.0,54.0,4.0,80.0,18.0,24.0,18.0,18.0,89.0,170.0,11.0,2.0,16.0,232.0,2.0,1.0,21.0,71.0,438.0,9.0,13.0,4.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,11.0,,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,4.0,3.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,17,1056.0,85.0,3.0,3.0,1084.0,8.0,140.0,2137.0,7.0,60.0,49.0,34.0,180.0,201.0,26.0,6.0,9.0,26.0,25.0,304.0,11.0,11.0,47.0,17.0,3.0,5.0,38.0,7.0,216.0,239.0,11.0,31.0,20.0,328.0,140.0,63.0,33.0,21.0,20.0,1.0,3.0,43.0,73.0,2.0,72.0,416.0,323.0,4.0,16.0,2885.0,2.0,8.0,20.0,14.0,250.0,172.0,,47.0,,334.0,292.0,44.0,89.0,171.0,2.0,375.0,28.0,1115.0,150.0,73.0,9.0,9.0,485.0,1262.0,41.0,62.0,199.0,2368.0,33.0,6.0,98.0,7.0,3105.0,67.0,59.0,23.0,74.0,6.0,,,,,,,,3.0,,,,,,,,,,,,,44.0,,33.0,,4.0,62.0,,,,,,1.0,2.0,,,2.0,3.0,7.0,3.0,16.0,,4.0,2.0,,,,6.0,1.0,99.0,,,16.0,88.0,5.0,1.0,4.0,4.0,9.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,17,51.0,7.0,,,65.0,66.0,73.0,116.0,,,,16.0,138.0,105.0,1.0,,,,,198.0,,,1.0,4.0,,,,5.0,1.0,10.0,,23.0,2.0,168.0,37.0,,16.0,23.0,20.0,3.0,,2.0,,,,385.0,105.0,8.0,15.0,1440.0,,,1.0,,49.0,39.0,,7.0,,314.0,310.0,,31.0,,1.0,34.0,1.0,68.0,11.0,27.0,,,150.0,255.0,265.0,,276.0,323.0,,,1.0,,755.0,,1.0,3.0,1.0,,43.0,101.0,,2.0,9.0,11.0,28.0,1.0,135.0,38.0,129.0,103.0,,,9.0,34.0,19.0,53.0,8.0,2.0,1.0,45.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3770,17,64.0,3.0,,,124.0,,10.0,188.0,1.0,11.0,1.0,14.0,77.0,66.0,9.0,2.0,3.0,11.0,17.0,28.0,,6.0,6.0,2.0,1.0,,45.0,2.0,82.0,20.0,,5.0,2.0,11.0,0.0,11.0,8.0,9.0,8.0,1.0,2.0,3.0,3.0,,3.0,10.0,6.0,7.0,,727.0,,3.0,7.0,2.0,36.0,27.0,,14.0,1.0,102.0,98.0,10.0,2.0,16.0,,57.0,10.0,67.0,5.0,9.0,1.0,1.0,77.0,161.0,,40.0,11.0,227.0,22.0,3.0,6.0,1.0,397.0,34.0,9.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,15.0,,4.0,,3.0,36.0,,1.0,2.0,1.0,,3.0,3.0,2.0,,2.0,2.0,1.0,1.0,5.0,,2.0,,,,,,,,,,7.0,,8.0,6.0,1.0,1.0,6.0,15.0,,,1.0,3.0,1.0,1.0,3.0,,,5.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,9.0,,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,17,141.0,32.0,6.0,5.0,164.0,7.0,44.0,299.0,62.0,4.0,2.0,20.0,147.0,164.0,3.0,1.0,,1.0,,64.0,16.0,,13.0,4.0,5.0,24.0,5.0,4.0,46.0,61.0,16.0,45.0,20.0,163.0,42.0,22.0,17.0,28.0,23.0,5.0,2.0,26.0,30.0,5.0,30.0,164.0,82.0,10.0,14.0,1600.0,3.0,2.0,2.0,6.0,16.0,128.0,,53.0,,215.0,191.0,5.0,33.0,26.0,11.0,82.0,4.0,162.0,81.0,69.0,33.0,31.0,163.0,296.0,37.0,8.0,103.0,425.0,1.0,2.0,40.0,90.0,796.0,20.0,14.0,6.0,33.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,9.0,,5.0,,1.0,7.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,5.0,,48.0,,,1.0,35.0,1.0,3.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,17,5.0,,,,10.0,,1.0,15.0,,1.0,2.0,6.0,10.0,10.0,,,,,1.0,,,,,,,,4.0,,12.0,7.0,,,,2.0,0.0,1.0,,3.0,3.0,,,,3.0,,3.0,1.0,,3.0,,57.0,,,,,3.0,4.0,,,,22.0,22.0,,,,,4.0,,8.0,1.0,,,,11.0,19.0,,5.0,3.0,27.0,2.0,,4.0,,49.0,3.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,4.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,6.0,4.0,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,17,726.0,59.0,,,322.0,27.0,101.0,1048.0,,46.0,126.0,37.0,311.0,274.0,6.0,,,,1.0,173.0,10.0,3.0,17.0,14.0,2.0,,3.0,10.0,98.0,229.0,10.0,233.0,179.0,236.0,222.0,31.0,37.0,34.0,28.0,6.0,,385.0,86.0,19.0,84.0,407.0,236.0,13.0,24.0,3330.0,25.0,3.0,4.0,33.0,161.0,29.0,1.0,42.0,1.0,589.0,323.0,1.0,112.0,60.0,7.0,119.0,7.0,826.0,126.0,499.0,2.0,2.0,252.0,531.0,111.0,3.0,223.0,1355.0,17.0,,69.0,,2282.0,27.0,25.0,14.0,48.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,10.0,,9.0,5.0,2.0,3.0,1.0,,,9.0,1.0,13.0,3.0,9.0,1.0,5.0,,2.0,1.0,,1.0,,2.0,,,,20.0,1.0,102.0,,1.0,10.0,72.0,2.0,,2.0,,6.0,,2.0,,3.0,3.0,,1.0,,,,,,2.0,1.0,,1.0,,,,1.0,4.0,3.0,,,,,,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,17,126.0,,8.0,8.0,349.0,,10.0,467.0,12.0,93.0,10.0,31.0,227.0,214.0,23.0,17.0,8.0,16.0,41.0,65.0,6.0,23.0,4.0,9.0,43.0,3.0,54.0,11.0,233.0,80.0,6.0,2.0,2.0,35.0,0.0,37.0,30.0,20.0,17.0,3.0,5.0,2.0,11.0,,11.0,21.0,11.0,8.0,3.0,2582.0,,10.0,16.0,1.0,76.0,130.0,,29.0,1.0,244.0,243.0,35.0,4.0,26.0,,213.0,26.0,134.0,5.0,3.0,46.0,46.0,285.0,479.0,2.0,94.0,16.0,567.0,67.0,7.0,24.0,12.0,1036.0,115.0,33.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,63.0,,13.0,,17.0,87.0,5.0,,,5.0,,8.0,15.0,13.0,1.0,1.0,3.0,5.0,7.0,3.0,,2.0,,,4.0,,6.0,1.0,59.0,,1.0,17.0,52.0,47.0,1.0,32.0,2.0,6.0,26.0,6.0,2.0,3.0,16.0,,,4.0,,7.0,11.0,3.0,10.0,5.0,2.0,3.0,,2.0,3.0,,27.0,14.0,,3.0,,,,2.0,,6.0,3.0,1.0,4.0,,2.0,7.0,3.0,,,,2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
