id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_right,att_goal_high_centre,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_ibox_goal,att_ibox_miss,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_pen_goal,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_low_centre,att_sv_low_right,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,final_third_entries,formation_place,fouls,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_openplay,goal_kicks,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_through_ball,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,att_hd_miss,att_hd_total,total_sub_on,att_freekick_miss,att_freekick_total,att_ibox_blocked,att_ibox_target,att_sv_low_left,dangerous_play,fouled_final_third,total_offside,att_bx_centre,att_lf_goal,foul_throw_in,last_man_tackle,own_goals,shield_ball_oop,six_yard_block,att_hd_target,att_bx_left,att_fastbreak,att_goal_high_left,att_hd_goal,att_miss_high_left,goal_assist_intentional,goal_fastbreak,shot_fastbreak,total_pull_back,accurate_goal_kicks,accurate_pull_back,att_lg_centre,clearance_off_line,penalty_conceded,red_card,second_yellow,att_freekick_target,att_hd_post,att_ibox_post,att_post_high,goal_assist_deadball,goal_assist_setplay,hit_woodwork,post_scoring_att,accurate_freekick_cross,att_post_left,error_lead_to_shot,freekick_cross,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,total_high_claim,total_keeper_sweeper,att_sv_high_right,att_cmiss_right,att_cmiss_left,penalty_won,total_fastbreak,att_freekick_goal,attempts_obox,head_pass,open_play_pass,successful_open_play_pass,goals_openplay,attempts_ibox,att_obx_left,touches_in_opp_box,att_obox_post,att_obp_goal,att_post_right,penalty_save,stand_save,att_cmiss_high,att_cmiss_high_right,att_pen_target,att_obxd_left,att_obxd_right,back_pass,att_obx_right,att_freekick_post,fwd_pass,att_cmiss_high_left,att_lg_left,leftside_pass,att_pen_miss,att_pen_post
3654,18,384.0,46.0,,17.0,17.0,1.0,431.0,18.0,6.0,66.0,798.0,1.0,219.0,35.0,32.0,27.0,153.0,145.0,16.0,,,,,,,,,3.0,,6.0,1.0,3.0,,1.0,3.0,,3.0,,6.0,,,,,6.0,1.0,,,,,118.0,12.0,6.0,33.0,7.0,,40.0,29.0,16.0,10.0,130.0,176.0,12.0,47.0,36.0,,206.0,0.0,35.0,23.0,,24.0,21.0,3.0,1.0,1.0,,,66.0,71.0,6.0,71.0,234.0,126.0,4.0,17.0,2101.0,10.0,9.0,8.0,,6.0,63.0,308.0,65.0,4.0,439.0,387.0,4.0,69.0,45.0,6.0,201.0,17.0,451.0,96.0,99.0,18.0,,70.0,70.0,311.0,3.0,673.0,81.0,6.0,129.0,1054.0,12.0,1.0,104.0,3.0,264.0,1910.0,61.0,33.0,13.0,7.0,10.0,79.0,8.0,,,4.0,,,3.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2871,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2905,18,21.0,,,5.0,5.0,9.0,81.0,,5.0,1.0,97.0,,2.0,19.0,25.0,11.0,30.0,33.0,3.0,,1.0,,,,,,1.0,1.0,2.0,7.0,,,1.0,2.0,3.0,,2.0,2.0,7.0,2.0,,,1.0,7.0,1.0,,,2.0,,17.0,,7.0,8.0,,,18.0,3.0,12.0,2.0,59.0,45.0,,3.0,2.0,,30.0,0.0,10.0,6.0,1.0,7.0,4.0,3.0,2.0,2.0,,,2.0,9.0,,9.0,6.0,2.0,2.0,,482.0,,,5.0,4.0,,18.0,49.0,15.0,,102.0,101.0,1.0,4.0,12.0,3.0,48.0,5.0,26.0,3.0,4.0,17.0,,21.0,21.0,96.0,34.0,155.0,,7.0,6.0,160.0,14.0,6.0,2.0,1.0,2.0,274.0,18.0,11.0,7.0,7.0,7.0,1.0,1.0,,,5.0,,,4.0,1.0,1.0,,,5.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,18,56.0,9.0,,4.0,4.0,4.0,116.0,1.0,13.0,5.0,168.0,1.0,17.0,21.0,7.0,20.0,87.0,73.0,8.0,,,,,,,,,5.0,1.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,2.0,1.0,,,4.0,11.0,2.0,,1.0,3.0,1.0,26.0,1.0,4.0,9.0,,1.0,9.0,6.0,2.0,5.0,41.0,31.0,1.0,9.0,4.0,,46.0,0.0,9.0,6.0,,19.0,14.0,5.0,,,,,8.0,21.0,2.0,21.0,28.0,17.0,12.0,1.0,751.0,,4.0,4.0,6.0,3.0,28.0,58.0,23.0,3.0,104.0,96.0,1.0,13.0,12.0,6.0,59.0,8.0,71.0,18.0,17.0,1.0,,16.0,16.0,110.0,19.0,193.0,7.0,14.0,20.0,248.0,16.0,6.0,18.0,1.0,17.0,406.0,21.0,5.0,3.0,1.0,4.0,12.0,4.0,2.0,3.0,14.0,,,4.0,5.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,18,62.0,19.0,1.0,7.0,6.0,13.0,170.0,,41.0,17.0,225.0,4.0,2.0,17.0,8.0,19.0,65.0,60.0,16.0,1.0,1.0,,,,,,1.0,9.0,1.0,8.0,5.0,3.0,4.0,4.0,2.0,,8.0,6.0,16.0,1.0,,1.0,8.0,24.0,4.0,4.0,,4.0,2.0,36.0,,8.0,3.0,1.0,15.0,7.0,3.0,32.0,4.0,77.0,44.0,,,,,51.0,171.0,14.0,9.0,1.0,15.0,13.0,2.0,3.0,2.0,,3.0,1.0,8.0,,8.0,33.0,22.0,12.0,,866.0,,7.0,13.0,11.0,,50.0,39.0,37.0,1.0,169.0,166.0,5.0,8.0,23.0,18.0,104.0,20.0,67.0,37.0,3.0,23.0,14.0,39.0,25.0,166.0,27.0,280.0,,49.0,22.0,308.0,37.0,6.0,13.0,9.0,3.0,539.0,32.0,14.0,3.0,9.0,16.0,9.0,2.0,3.0,5.0,10.0,4.0,7.0,6.0,4.0,,,1.0,10.0,,,,,,1.0,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,18,163.0,51.0,26.0,41.0,16.0,5.0,402.0,1.0,63.0,58.0,524.0,3.0,25.0,1.0,,31.0,170.0,132.0,23.0,24.0,2.0,,1.0,,1.0,,1.0,4.0,2.0,7.0,2.0,1.0,1.0,5.0,7.0,1.0,5.0,6.0,18.0,4.0,,2.0,7.0,25.0,4.0,2.0,,1.0,3.0,89.0,3.0,11.0,20.0,1.0,70.0,27.0,14.0,41.0,5.0,102.0,69.0,3.0,2.0,,,118.0,418.0,8.0,20.0,2.0,39.0,37.0,2.0,3.0,2.0,,1.0,1.0,9.0,,8.0,75.0,44.0,19.0,1.0,1650.0,,25.0,25.0,11.0,,180.0,75.0,64.0,3.0,302.0,297.0,5.0,39.0,45.0,10.0,214.0,50.0,187.0,75.0,7.0,52.0,59.0,119.0,61.0,300.0,9.0,596.0,6.0,67.0,87.0,664.0,32.0,17.0,19.0,5.0,27.0,1105.0,49.0,31.0,7.0,19.0,15.0,13.0,1.0,,,11.0,3.0,12.0,4.0,3.0,3.0,,2.0,2.0,2.0,,,,,2.0,1.0,,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,1.0,,2.0,,,3.0,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3608,18,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,2.0,,,3.0,3.0,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,6.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,18,22.0,2.0,,,,,69.0,43.0,,77.0,91.0,,,,1.0,13.0,110.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,2.0,4.0,,,,,2.0,2.0,3.0,,9.0,,,141.0,0.0,,11.0,,23.0,21.0,2.0,,,121.0,,,,,,280.0,124.0,8.0,15.0,1059.0,,,,,,18.0,19.0,11.0,5.0,173.0,173.0,,13.0,,,40.0,,32.0,3.0,9.0,,,,,103.0,,169.0,111.0,,181.0,201.0,,,,,,513.0,1.0,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,4.0,44.0,1.0,3.0,13.0,25.0,1.0,25.0,95.0,45.0,5.0,5.0,19.0,18.0,40.0,5.0,27.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,18,230.0,43.0,1.0,6.0,5.0,6.0,303.0,9.0,25.0,48.0,527.0,4.0,6.0,25.0,27.0,32.0,185.0,157.0,19.0,,,,,,1.0,,1.0,6.0,,1.0,5.0,,4.0,4.0,6.0,,7.0,3.0,16.0,1.0,1.0,1.0,6.0,30.0,3.0,,,4.0,1.0,90.0,4.0,13.0,37.0,4.0,2.0,8.0,11.0,22.0,9.0,124.0,120.0,4.0,25.0,13.0,,209.0,288.0,39.0,22.0,1.0,39.0,32.0,7.0,,,,3.0,28.0,56.0,4.0,56.0,139.0,67.0,13.0,10.0,2112.0,,8.0,11.0,8.0,10.0,88.0,109.0,83.0,2.0,331.0,308.0,3.0,47.0,40.0,14.0,174.0,19.0,282.0,118.0,48.0,12.0,2.0,23.0,21.0,336.0,20.0,524.0,42.0,28.0,116.0,783.0,35.0,5.0,68.0,4.0,6.0,1204.0,45.0,17.0,10.0,8.0,2.0,52.0,4.0,3.0,4.0,10.0,,3.0,7.0,4.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
