id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_bx_centre,att_cmiss_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_left,att_miss_right,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,clearance_off_line,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_corners,won_tackle,yellow_card,att_bx_right,att_cmiss_left,att_goal_high_left,att_goal_low_right,att_hd_goal,att_ibox_goal,att_miss_high,att_obox_blocked,att_rf_target,att_rf_total,big_chance_created,big_chance_scored,goals,goal_assist_setplay,last_man_tackle,red_card,shield_ball_oop,six_yard_block,won_contest,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,att_assist_setplay,att_goal_high_centre,att_rf_goal,crosses_18yard,freekick_cross,goals_openplay,hand_ball,hit_woodwork,overrun,poss_won_att_3rd,total_through_ball,att_cmiss_high_right,att_freekick_total,att_miss_high_right,att_sv_low_centre,error_lead_to_goal,att_cmiss_high,att_goal_low_left,corner_taken,head_pass,open_play_pass,penalty_conceded,successful_open_play_pass,accurate_goal_kicks,accurate_pull_back,accurate_through_ball,att_bx_left,att_freekick_miss,att_freekick_post,att_goal_high_right,att_lf_goal,att_miss_high_left,att_obox_goal,att_obox_post,att_post_high,dangerous_play,error_lead_to_shot,fouled_final_third,foul_throw_in,goal_kicks,post_scoring_att,second_goal_assist,total_corners_intobox,total_offside,total_pull_back,accurate_keeper_throws,diving_save,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,total_high_claim,accurate_corners_intobox,att_cmiss_high_left,att_fastbreak,att_freekick_target,att_lg_centre,att_pen_goal,att_sv_low_left,shot_fastbreak,total_sub_on,attempts_ibox,attempts_obox,att_corner,att_post_left,total_fastbreak,touches_in_opp_box,goal_assist_deadball,second_yellow,att_post_right,att_hd_post,att_ibox_post,att_goal_low_centre,att_obx_left,goal_fastbreak,accurate_keeper_sweeper,cross_not_claimed,dive_catch,dive_save,penalty_faced,stand_catch,stand_save,total_keeper_sweeper,att_obxd_left,att_pen_target,penalty_won,att_lg_right,att_obp_goal,att_obxd_right,att_freekick_goal,own_goals,gk_smother,penalty_save,att_obx_right,back_pass,att_lg_left,blocked_pass,put_through,att_pen_post,att_pen_miss
3239,20,745.0,210.0,2.0,897.0,44.0,25.0,236.0,1617.0,237.0,16.0,14.0,34.0,232.0,189.0,41.0,2.0,3.0,,,,1.0,2.0,1.0,3.0,28.0,1.0,6.0,13.0,2.0,25.0,7.0,3.0,,,1.0,1.0,205.0,240.0,1.0,18.0,9.0,17.0,11.0,,30.0,39.0,8.0,120.0,148.0,18.0,49.0,18.0,422.0,102.0,36.0,920.0,34.0,39.0,32.0,7.0,4.0,2.0,4.0,30.0,92.0,12.0,74.0,63.0,513.0,314.0,9.0,13.0,2962.0,6.0,19.0,26.0,5.0,4.0,667.0,52.0,68.0,1.0,638.0,608.0,158.0,77.0,830.0,16.0,423.0,45.0,838.0,363.0,79.0,44.0,93.0,92.0,623.0,2.0,1273.0,133.0,25.0,365.0,2018.0,30.0,5.0,62.0,270.0,2854.0,28.0,28.0,41.0,17.0,19.0,44.0,6.0,,,,,,1.0,5.0,8.0,,2.0,3.0,1.0,2.0,,1.0,,11.0,,31.0,25.0,25.0,,,1.0,,61.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,,5.0,1.0,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3663,20,13.0,,,2.0,2.0,1.0,5.0,15.0,,,,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,,1.0,,2.0,0.0,,10.0,1.0,,,,,,,,,,,8.0,5.0,2.0,,,90.0,,,,,,,,,,6.0,6.0,,,3.0,,1.0,,16.0,,1.0,,,,2.0,,5.0,8.0,1.0,9.0,21.0,,,,,32.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,20,165.0,45.0,1.0,277.0,6.0,12.0,53.0,407.0,9.0,6.0,,28.0,144.0,95.0,20.0,2.0,,,,,,2.0,,5.0,24.0,2.0,3.0,13.0,5.0,20.0,13.0,2.0,,1.0,1.0,2.0,87.0,69.0,,11.0,3.0,14.0,2.0,,22.0,11.0,11.0,39.0,34.0,11.0,8.0,1.0,105.0,0.0,6.0,189.0,10.0,20.0,19.0,1.0,2.0,1.0,2.0,2.0,22.0,1.0,13.0,174.0,71.0,30.0,12.0,8.0,1247.0,,21.0,17.0,6.0,3.0,62.0,83.0,72.0,2.0,230.0,226.0,32.0,34.0,85.0,15.0,130.0,38.0,189.0,81.0,12.0,9.0,100.0,51.0,205.0,8.0,446.0,24.0,12.0,90.0,535.0,24.0,5.0,24.0,9.0,796.0,10.0,10.0,4.0,5.0,13.0,20.0,2.0,1.0,1.0,,1.0,,1.0,5.0,3.0,,,5.0,1.0,1.0,,,,,,6.0,35.0,11.0,3.0,16.0,,,16.0,11.0,,1.0,,6.0,3.0,4.0,,4.0,1.0,,,2.0,,53.0,,,,,,,3.0,,1.0,,,1.0,4.0,,,,,,,,,,,50.0,,,,,,,,,,,,,25.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,20,291.0,17.0,1.0,441.0,6.0,2.0,19.0,723.0,139.0,17.0,21.0,21.0,78.0,89.0,19.0,2.0,,,,,6.0,2.0,3.0,1.0,6.0,3.0,1.0,3.0,1.0,7.0,14.0,1.0,,,2.0,1.0,121.0,92.0,1.0,18.0,8.0,17.0,9.0,1.0,21.0,15.0,3.0,77.0,113.0,18.0,19.0,15.0,80.0,0.0,26.0,296.0,18.0,10.0,8.0,2.0,,,,36.0,44.0,2.0,34.0,349.0,123.0,86.0,3.0,12.0,1549.0,1.0,13.0,7.0,5.0,6.0,35.0,279.0,42.0,1.0,246.0,214.0,55.0,33.0,61.0,6.0,213.0,20.0,316.0,31.0,51.0,17.0,68.0,68.0,262.0,1.0,579.0,23.0,3.0,33.0,827.0,19.0,3.0,70.0,154.0,1335.0,10.0,10.0,14.0,15.0,22.0,56.0,5.0,7.0,,,,,1.0,,2.0,3.0,13.0,3.0,,1.0,,,,2.0,,8.0,9.0,9.0,,1.0,,1.0,47.0,,1.0,6.0,1.0,,4.0,6.0,,,,1.0,,,1.0,,3.0,79.0,,72.0,,2.0,2.0,1.0,,,,,1.0,,1.0,,,,3.0,,,1.0,,,,6.0,,,,,,,,,,,,,1.0,,,,,1.0,3.0,3.0,1.0,2.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4345,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4048,20,155.0,16.0,1.0,353.0,4.0,17.0,13.0,468.0,65.0,9.0,10.0,16.0,108.0,90.0,20.0,,,,,,,2.0,2.0,3.0,6.0,,2.0,,1.0,2.0,3.0,2.0,,,,1.0,157.0,66.0,2.0,6.0,1.0,2.0,4.0,,14.0,20.0,4.0,58.0,56.0,6.0,9.0,4.0,50.0,0.0,14.0,170.0,16.0,16.0,11.0,5.0,5.0,4.0,,11.0,26.0,2.0,18.0,24.0,42.0,21.0,4.0,2.0,1391.0,4.0,23.0,14.0,3.0,3.0,263.0,12.0,39.0,,316.0,305.0,37.0,26.0,248.0,2.0,155.0,37.0,201.0,35.0,20.0,21.0,141.0,100.0,212.0,5.0,539.0,15.0,17.0,30.0,599.0,6.0,3.0,15.0,70.0,972.0,24.0,24.0,24.0,8.0,19.0,12.0,1.0,,,,,,,,1.0,,,2.0,,,5.0,,,1.0,,7.0,40.0,22.0,2.0,12.0,,,80.0,6.0,,1.0,,3.0,3.0,3.0,,,,2.0,,,,46.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,6.0,4.0,,,,41.0,5.0,4.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3991,20,177.0,12.0,2.0,199.0,6.0,13.0,17.0,372.0,98.0,9.0,19.0,15.0,124.0,94.0,2.0,4.0,1.0,1.0,,2.0,3.0,3.0,,,1.0,3.0,1.0,3.0,,3.0,8.0,,,,,,83.0,59.0,,6.0,3.0,9.0,1.0,,5.0,10.0,5.0,49.0,71.0,6.0,28.0,15.0,96.0,0.0,13.0,186.0,14.0,31.0,24.0,7.0,,,,32.0,42.0,5.0,32.0,189.0,95.0,49.0,9.0,9.0,1163.0,7.0,1.0,3.0,1.0,5.0,11.0,140.0,14.0,1.0,213.0,175.0,38.0,20.0,36.0,6.0,88.0,4.0,215.0,26.0,66.0,15.0,21.0,21.0,140.0,5.0,300.0,35.0,15.0,43.0,494.0,10.0,2.0,30.0,106.0,825.0,8.0,8.0,15.0,1.0,4.0,21.0,4.0,3.0,1.0,,,1.0,1.0,,,,5.0,,,1.0,,,1.0,3.0,,7.0,4.0,4.0,,2.0,,,16.0,,,,,1.0,1.0,,,,,,,,,,1.0,16.0,,12.0,,,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,20,407.0,94.0,1.0,577.0,29.0,43.0,148.0,970.0,5.0,12.0,9.0,30.0,181.0,206.0,16.0,1.0,1.0,,,,1.0,3.0,,,3.0,3.0,2.0,9.0,2.0,18.0,14.0,,,,1.0,1.0,174.0,167.0,,10.0,6.0,32.0,7.0,1.0,10.0,32.0,9.0,120.0,102.0,10.0,41.0,23.0,299.0,264.0,38.0,468.0,27.0,34.0,24.0,10.0,1.0,1.0,1.0,35.0,46.0,1.0,33.0,277.0,205.0,132.0,11.0,16.0,2486.0,1.0,14.0,15.0,3.0,20.0,189.0,207.0,69.0,4.0,397.0,363.0,62.0,104.0,303.0,13.0,268.0,29.0,451.0,159.0,75.0,12.0,54.0,24.0,424.0,5.0,825.0,86.0,43.0,206.0,1222.0,22.0,3.0,56.0,5.0,1632.0,26.0,26.0,31.0,10.0,7.0,27.0,4.0,1.0,2.0,,,,,2.0,5.0,2.0,19.0,2.0,,1.0,,,,1.0,,6.0,14.0,5.0,2.0,12.0,1.0,1.0,5.0,9.0,1.0,,1.0,,1.0,5.0,,2.0,4.0,,,1.0,,32.0,,,1.0,,,,3.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,2.0,5.0,,,1.0,,30.0,1.0,,,,,,,,,,,,9.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,20,155.0,8.0,21.0,515.0,,146.0,13.0,663.0,4.0,47.0,30.0,29.0,213.0,187.0,55.0,19.0,2.0,6.0,1.0,9.0,5.0,12.0,10.0,5.0,24.0,5.0,5.0,6.0,2.0,14.0,39.0,3.0,1.0,1.0,,4.0,300.0,66.0,3.0,3.0,11.0,13.0,2.0,,13.0,59.0,6.0,162.0,87.0,3.0,19.0,15.0,85.0,135.0,38.0,151.0,28.0,41.0,31.0,10.0,5.0,5.0,5.0,29.0,14.0,1.0,11.0,236.0,60.0,40.0,13.0,4.0,2377.0,,25.0,38.0,19.0,2.0,72.0,185.0,47.0,,427.0,404.0,9.0,50.0,210.0,22.0,280.0,63.0,186.0,30.0,42.0,18.0,41.0,41.0,428.0,86.0,752.0,5.0,174.0,30.0,897.0,52.0,12.0,13.0,4.0,1241.0,66.0,66.0,34.0,10.0,14.0,8.0,4.0,11.0,2.0,,2.0,1.0,7.0,6.0,6.0,6.0,18.0,9.0,3.0,7.0,,,,,1.0,10.0,7.0,7.0,,3.0,1.0,3.0,28.0,,4.0,3.0,4.0,1.0,7.0,7.0,,3.0,2.0,5.0,,1.0,3.0,1.0,1.0,19.0,,14.0,,1.0,4.0,2.0,1.0,,1.0,3.0,,,,3.0,,,17.0,,,4.0,,,24.0,2.0,,,,,,,,,,,,,2.0,,,1.0,1.0,2.0,1.0,,,,,4.0,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527,20,115.0,11.0,,149.0,1.0,11.0,26.0,263.0,2.0,1.0,5.0,18.0,60.0,69.0,4.0,1.0,,,,,1.0,,,,,,1.0,2.0,,3.0,2.0,,,,,,36.0,46.0,,1.0,2.0,12.0,,,1.0,10.0,6.0,44.0,49.0,1.0,4.0,3.0,46.0,0.0,18.0,91.0,9.0,14.0,12.0,2.0,,,,5.0,12.0,,7.0,87.0,41.0,33.0,7.0,4.0,800.0,1.0,2.0,2.0,,3.0,26.0,50.0,3.0,3.0,79.0,73.0,21.0,24.0,101.0,2.0,52.0,4.0,133.0,17.0,10.0,8.0,2.0,2.0,76.0,1.0,184.0,3.0,11.0,32.0,315.0,4.0,5.0,26.0,2.0,407.0,4.0,4.0,13.0,5.0,3.0,17.0,3.0,,,,,,,,1.0,,4.0,,,,,,,,,5.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,5.0,41.0,,33.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
