id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
711,29043.0,Matthew Robinson,Matthew,Robinson,1974-12-23,England,England,,D,Defender,4,5.0,0.0,1.0,,,4.0,,,,
322,1231.0,Bryan Robson,Bryan,Robson,1957-01-11,England,England,,M,Midfielder,4,2.0,0.0,,,,1.0,1.0,,,
237,42142.0,David Rocastle,David,Rocastle,1967-05-02,England,England,,M,Midfielder,4,1.0,0.0,,,,1.0,,,,
840,891.0,Matthew Rose,Matthew,Rose,1975-09-24,England,England,,D,Defender,4,4.0,0.0,2.0,,,1.0,1.0,,,
274,817.0,Ronnie Rosenthal,Ronnie,Rosenthal,1963-10-11,Israel,Israel,,F,Forward,4,33.0,6.0,13.0,1.0,2.0,7.0,13.0,2.0,,
704,2494.0,Uwe Rösler,Uwe,Rösler,1968-11-15,Germany,Germany,,F,Forward,4,36.0,7.0,10.0,9.0,3.0,17.0,9.0,6.0,,
620,826.0,Keith Rowland,Keith,Rowland,1971-01-09,Northern Ireland,Northern Ireland,,D,Defender,4,23.0,6.0,6.0,,2.0,9.0,8.0,4.0,,
943,146270.0,Bryan Roy,Bryan,Roy,1970-02-12,Netherlands,Netherlands,22.0,F,Forward,4,28.0,3.0,7.0,8.0,4.0,7.0,14.0,3.0,,
558,2011.0,Neil Ruddock,Neil,Ruddock,1968-05-09,England,England,,D,Defender,4,20.0,8.0,7.0,5.0,,4.0,9.0,7.0,,
275,1723.0,Ian Rush,Ian,Rush,1961-10-20,Wales,Wales,,F,Forward,4,20.0,2.0,7.0,5.0,2.0,5.0,8.0,,,
159,2325.0,John Salako,John,Salako,1969-02-11,Nigeria,England,,M,Midfielder,4,37.0,7.0,14.0,3.0,8.0,16.0,7.0,3.0,,
568,946.0,Vinny Samways,Vinny,Samways,1968-10-27,England,England,,M,Midfielder,4,4.0,0.0,2.0,1.0,,2.0,,,,
586,2537.0,John Scales,John,Scales,1966-07-04,England,England,,D,Defender,4,27.0,10.0,8.0,,,4.0,15.0,3.0,,
307,143575.0,Peter Schmeichel,Peter,Schmeichel,1963-11-18,Denmark,Denmark,1.0,G,Goalkeeper,4,36.0,18.0,5.0,,,6.0,25.0,1.0,,
336,324.0,Paul Scholes,Paul,Scholes,1974-11-16,England,England,22.0,M,Centre Central Midfielder,4,26.0,3.0,7.0,10.0,1.0,5.0,14.0,1.0,,
660,97880.0,Riccardo Scimeca,Riccardo,Scimeca,1975-06-13,England,England,19.0,D,Defender,4,17.0,1.0,4.0,,,5.0,8.0,1.0,,
777,41934.0,Kevin Scott,Kevin,Scott,1966-12-17,England,England,,D,Defender,4,2.0,0.0,1.0,,1.0,,1.0,,,
310,1062.0,Les Sealey,Les,Sealey,1957-09-29,England,England,,G,Goalkeeper,4,2.0,0.0,,,,2.0,,,,
1,119183.0,David Seaman,David,Seaman,1963-09-19,England,England,,G,Goalkeeper,4,38.0,16.0,12.0,,,9.0,17.0,,,
582,1999.0,Hans Segers,Hans,Segers,1961-10-30,Netherlands,Netherlands,,G,Goalkeeper,4,4.0,0.0,1.0,,,1.0,2.0,,,
631,41810.0,Scott Sellars,Scott,Sellars,1965-11-27,England,England,8.0,M,Midfielder,4,27.0,3.0,3.0,3.0,5.0,14.0,10.0,2.0,,
20,27669.0,Ian Selley,Ian,Selley,1974-06-14,England,England,,M,Midfielder,4,,,,,,,,,,
232,223.0,Kevin Sharp,Kevin,Sharp,1974-09-19,Canada,Canada,,D,Defender,4,1.0,0.0,,,,,1.0,,,
328,2074.0,Lee Sharpe,Lee,Sharpe,1971-05-27,England,England,,M,Midfielder,4,31.0,8.0,6.0,4.0,2.0,5.0,20.0,3.0,,
24,24.0,Paul Shaw,Paul,Shaw,1973-09-04,England,England,,M,Midfielder,4,3.0,0.0,1.0,,,1.0,1.0,,,
89,1440.0,Alan Shearer,Alan,Shearer,1970-08-13,England,England,9.0,F,Forward,4,35.0,10.0,6.0,31.0,7.0,12.0,17.0,3.0,,
510,1592.0,John Sheridan,John,Sheridan,1964-10-01,Ireland,Ireland,,M,Midfielder,4,17.0,4.0,3.0,,1.0,9.0,5.0,,,
576,110022.0,Teddy Sheringham,Teddy,Sheringham,1966-04-02,England,England,,F,Centre Second Striker,4,38.0,11.0,13.0,16.0,8.0,9.0,16.0,2.0,,
78,3336.0,Tim Sherwood,Tim,Sherwood,1969-02-06,England,England,,M,Midfielder,4,33.0,7.0,6.0,3.0,3.0,13.0,14.0,9.0,,
1032,1173.0,Sam Shilton,Sam,Shilton,1978-07-21,England,England,,M,Midfielder,4,,,,,,,,,,
802,146808.0,Danny Shipp,Danny,Shipp,1976-09-25,England,England,,F,Forward,4,,,,,,,,,,
116,4460.0,Neil Shipperley,Neil,Shipperley,1974-10-30,England,England,,F,Forward,4,37.0,11.0,11.0,7.0,,17.0,9.0,1.0,,
1037,4325.0,Craig Short,Craig,Short,1968-06-25,England,England,24.0,D,Defender,4,23.0,7.0,7.0,2.0,1.0,6.0,10.0,6.0,,
1088,146267.0,Andrea Silenzi,Andrea,Silenzi,1966-02-10,Italy,Italy,15.0,F,Forward,4,10.0,0.0,4.0,,,2.0,4.0,1.0,,
103,29322.0,Frank Sinclair,Frank,Sinclair,1971-12-03,Jamaica,Jamaica,15.0,D,Defender,4,13.0,4.0,3.0,1.0,,6.0,4.0,6.0,,1.0
456,1274.0,Andy Sinton,Andy,Sinton,1966-03-19,England,England,,M,Midfielder,4,19.0,3.0,4.0,,1.0,9.0,6.0,2.0,,
593,571.0,Justin Skinner,Justin,Skinner,1969-01-30,England,England,,M,Midfielder,4,1.0,0.0,,,,1.0,,,,
964,41998.0,Steve Slade,Steve,Slade,1975-10-06,England,England,,F,Forward,4,5.0,0.0,2.0,,,,3.0,,,
854,1460.0,Robbie Slater,Robbie,Slater,1964-11-22,Australia,Australia,,M,Midfielder,4,22.0,2.0,5.0,2.0,1.0,10.0,7.0,1.0,,
42,41800.0,Bryan Small,Bryan,Small,1971-11-15,England,England,19.0,D,Defender,4,1.0,0.0,,,,1.0,,,,
875,42045.0,Alex Smith,Alex,Smith,1976-02-15,England,England,,D,Defender,4,,,,,,,,,,
1119,42078.0,Richard Sneekes,Richard,Sneekes,1968-10-30,Netherlands,Netherlands,,M,Midfielder,4,17.0,1.0,3.0,1.0,1.0,13.0,1.0,3.0,,1.0
1090,1255.0,Juergen Sommer,Juergen,Sommer,1969-02-27,United States,United States,,G,Goalkeeper,4,33.0,4.0,6.0,,,19.0,8.0,1.0,,
172,2065.0,Neville Southall,Neville,Southall,1958-09-16,Wales,Wales,,G,Goalkeeper,4,38.0,15.0,10.0,,,11.0,17.0,,,
153,2732.0,Gareth Southgate,Gareth,Southgate,1970-09-03,England,England,6.0,D,Defender,4,31.0,11.0,7.0,1.0,,8.0,16.0,2.0,,
95,42017.0,Nigel Spackman,Nigel,Spackman,1960-12-02,England,England,,M,Midfielder,4,16.0,4.0,7.0,,,4.0,5.0,,,1.0
239,97061.0,Gary Speed,Gary,Speed,1969-09-08,Wales,Wales,15.0,M,Midfielder,4,29.0,8.0,3.0,2.0,1.0,15.0,11.0,2.0,,
117,2033.0,John Spencer,John,Spencer,1970-09-11,Scotland,Scotland,,F,Forward,4,28.0,4.0,11.0,13.0,3.0,8.0,9.0,5.0,,
33,42069.0,Nigel Spink,Nigel,Spink,1958-08-08,England,England,,G,Goalkeeper,4,2.0,0.0,,,,1.0,1.0,,,
1010,1134.0,Nicky Spooner,Nicky,Spooner,1971-06-05,England,England,,D,Defender,4,,,,,,,,,,
708,727.0,Pavel Srnicek,Pavel,Srnicek,1968-03-10,Czech Republic,Czech Republic,24.0,G,Goalkeeper,4,15.0,5.0,1.0,,,6.0,8.0,,,
359,345.0,Phil Stamp,Phil,Stamp,1975-12-12,England,England,,M,Midfielder,4,12.0,1.0,2.0,2.0,,8.0,2.0,,,
41,39.0,Steve Staunton,Steve,Staunton,1969-01-19,Ireland,Ireland,,D,Defender,4,13.0,5.0,2.0,,,6.0,5.0,,,
1095,27653.0,Dejan Stefanovic,Dejan,Stefanovic,1974-10-28,Serbia,Serbia,,D,Defender,4,6.0,0.0,,,,4.0,2.0,,,
674,42156.0,Mark Stein,Mark,Stein,1966-01-28,South Africa,England,,F,Forward,4,8.0,1.0,3.0,,,4.0,1.0,1.0,,
913,183161.0,Michael Stensgaard,Michael,Stensgaard,1974-09-01,Denmark,Denmark,,G,Goalkeeper,4,,,,,,,,,,
276,1491.0,Paul Stewart,Paul,Stewart,1964-10-07,England,England,,F,Forward,4,,,,,,,,,,
406,3337.0,Steve Stone,Steve,Stone,1971-08-20,England,England,,M,Midfielder,4,34.0,8.0,12.0,7.0,5.0,9.0,13.0,3.0,,
242,925.0,Gordon Strachan,Gordon,Strachan,1957-02-09,Scotland,Scotland,,M,Midfielder,4,12.0,1.0,4.0,,,7.0,1.0,1.0,,
1015,1139.0,Greg Strong,Greg,Strong,1975-09-05,England,England,,D,Defender,4,1.0,0.0,,,,1.0,,,,
111,3673.0,Graham Stuart,Graham,Stuart,1970-10-24,England,England,4.0,M,Midfielder,4,29.0,9.0,9.0,9.0,3.0,7.0,13.0,3.0,,
1017,4574.0,Alan Stubbs,Alan,Stubbs,1971-10-06,England,England,15.0,D,Defender,4,25.0,4.0,2.0,4.0,2.0,16.0,7.0,1.0,,
583,27204.0,Neil Sullivan,Neil,Sullivan,1970-02-24,Scotland,Scotland,1.0,G,Goalkeeper,4,16.0,3.0,5.0,,,6.0,5.0,,,
769,3431.0,Nicky Summerbee,Nicky,Summerbee,1971-08-26,England,England,,M,Midfielder,4,37.0,7.0,11.0,1.0,2.0,18.0,8.0,3.0,,1.0
1075,1233.0,Mark Summerbell,Mark,Summerbell,1976-10-30,England,England,,M,Midfielder,4,1.0,0.0,1.0,,,,,1.0,,
390,4120.0,Chris Sutton,Chris,Sutton,1973-03-10,England,England,20.0,F,Forward,4,13.0,0.0,1.0,,1.0,8.0,4.0,2.0,,
1055,3544.0,Kit Symons,Kit,Symons,1971-03-08,England,Wales,33.0,D,Defender,4,38.0,8.0,11.0,2.0,,18.0,9.0,3.0,,
1014,1913.0,Gerry Taggart,Gerry,Taggart,1970-10-18,Northern Ireland,Northern Ireland,,D,Defender,4,11.0,0.0,3.0,1.0,,8.0,,6.0,,
594,572.0,Steve Talboys,Steve,Talboys,1966-09-18,England,England,,M,Midfielder,4,5.0,0.0,,,,5.0,,1.0,,
66,63.0,Frank Talia,Frank,Talia,1972-07-20,Australia,Australia,,G,Goalkeeper,4,,,,,,,,,,
847,901.0,Ian Taylor,Ian,Taylor,1968-06-04,England,England,,M,Midfielder,4,25.0,9.0,6.0,3.0,2.0,6.0,13.0,4.0,,
1033,12313.0,Paul Telfer,Paul,Telfer,1971-10-21,Scotland,Scotland,,D,Defender,4,31.0,7.0,12.0,1.0,3.0,12.0,7.0,5.0,,
939,1029.0,Stuart Thom,Stuart,Thom,1976-12-27,England,England,,D,Defender,4,,,,,,,,,,
263,253.0,Michael Thomas,Michael,Thomas,1967-08-24,England,England,,M,Midfielder,4,27.0,7.0,7.0,1.0,1.0,6.0,14.0,3.0,,
1019,278335.0,Alan Thompson,Alan,Thompson,1973-12-22,England,England,8.0,M,Midfielder,4,26.0,0.0,4.0,1.0,3.0,17.0,5.0,7.0,,
148,1077.0,Andy Thorn,Andy,Thorn,1966-11-12,England,England,,F,Forward,4,14.0,2.0,4.0,,3.0,7.0,3.0,1.0,,
545,525.0,Erik Thorstvedt,Erik,Thorstvedt,1962-10-28,Norway,Norway,,G,Goalkeeper,4,,,,,,,,,,
397,1840.0,Carl Tiler,Carl,Tiler,1970-02-11,England,England,,D,Defender,4,1.0,0.0,,,,,1.0,,,
241,232.0,Mark Tinkler,Mark,Tinkler,1974-10-24,England,England,,M,Midfielder,4,9.0,2.0,2.0,,1.0,5.0,2.0,2.0,,
532,14634.0,Paul Tisdale,Paul,Tisdale,1973-01-14,Malta,England,17.0,M,Midfielder,4,9.0,1.0,,1.0,,6.0,3.0,,,
356,178390.0,Andrew Todd,Andrew,Todd,1974-09-21,England,England,,D,Defender,4,12.0,0.0,2.0,2.0,,10.0,,2.0,,
112,1935.0,Andy Townsend,Andy,Townsend,1963-07-23,Ireland,Ireland,,M,Midfielder,4,33.0,11.0,7.0,2.0,6.0,9.0,17.0,8.0,,1.0
468,146833.0,Simon Tracey,Simon,Tracey,1967-12-09,England,England,24.0,G,Goalkeeper,4,1.0,0.0,,,,1.0,,,,
562,41975.0,Andy Turner,Andy,Turner,1975-03-23,England,Northern Ireland,,M,Midfielder,4,,,,,,,,,,
181,4432.0,David Unsworth,David,Unsworth,1973-10-16,England,England,25.0,D,Defender,4,31.0,14.0,7.0,2.0,3.0,8.0,16.0,2.0,,1.0
712,1269.0,Barry Venison,Barry,Venison,1964-08-16,England,England,,D,Defender,4,22.0,6.0,7.0,,,9.0,6.0,3.0,,
1070,2818.0,Steve Vickers,Steve,Vickers,1967-10-13,England,England,,D,Defender,4,32.0,8.0,7.0,1.0,,15.0,10.0,1.0,,
287,42011.0,Michel Vonk,Michel,Vonk,1968-10-28,Netherlands,Netherlands,,D,Defender,4,,,,,,,,,,
506,128587.0,Chris Waddle,Chris,Waddle,1960-12-14,England,England,10.0,M,Centre Central Midfielder,4,31.0,2.0,9.0,2.0,6.0,15.0,7.0,1.0,,
997,177669.0,Richard Walker,Richard,Walker,1977-11-08,England,England,,F,Forward,4,,,,,,,,,,
248,2621.0,Rod Wallace,Rod,Wallace,1969-10-02,England,England,,F,Forward,4,24.0,1.0,6.0,1.0,1.0,11.0,7.0,1.0,,
922,3075.0,Ronnie Wallwork,Ronnie,Wallwork,1977-09-10,England,England,24.0,D,Defender,4,,,,,,,,,,
703,41980.0,Paul Walsh,Paul,Walsh,1962-10-01,England,England,,F,Forward,4,3.0,0.0,1.0,,,2.0,,1.0,,
266,42046.0,Mark Walters,Mark,Walters,1964-02-06,England,England,,M,Midfielder,4,5.0,0.0,2.0,,1.0,2.0,1.0,2.0,,
892,176663.0,Gavin Ward,Gavin,Ward,1970-06-30,England,England,,G,Goalkeeper,4,5.0,0.0,1.0,,,3.0,1.0,,,
501,2605.0,Paul Warhurst,Paul,Warhurst,1969-09-26,England,England,,D,Defender,4,10.0,0.0,1.0,,1.0,5.0,4.0,,,
912,16179.0,Tony Warner,Tony,Warner,1974-05-11,England,Trinidad & Tobago,34.0,G,Goalkeeper,4,,,,,,,,,,
1103,1272.0,Christer Warren,Christer,Warren,1974-10-10,England,England,,F,Forward,4,6.0,0.0,1.0,,,3.0,2.0,,,
174,167.0,Dave Watson,Dave,Watson,1961-11-20,England,England,,D,Defender,4,34.0,14.0,6.0,1.0,2.0,11.0,17.0,5.0,1.0,1.0
502,1399.0,Julian Watts,Julian,Watts,1971-03-17,England,England,,D,Defender,4,11.0,1.0,1.0,1.0,,7.0,3.0,2.0,,
409,41859.0,Neil Webb,Neil,Webb,1963-07-30,England,England,,M,Midfielder,4,,,,,,,,,,
788,824.0,Simon Webster,Simon,Webster,1964-01-20,England,England,,D,Defender,4,,,,,,,,,,
228,2071.0,David Wetherall,David,Wetherall,1971-03-14,England,England,5.0,D,Defender,4,34.0,9.0,5.0,4.0,2.0,17.0,12.0,5.0,1.0,
245,95531.0,Noel Whelan,Noel,Whelan,1974-12-30,England,England,,F,Forward,4,29.0,7.0,10.0,8.0,3.0,10.0,9.0,3.0,,
764,41972.0,Adrian Whitbread,Adrian,Whitbread,1971-10-22,England,England,,D,Defender,4,2.0,0.0,,,,,2.0,,,
295,42015.0,David White,David,White,1967-10-30,England,England,,M,Midfielder,4,4.0,0.0,1.0,1.0,,2.0,1.0,,,
1012,94683.0,Stuart Whitehead,Stuart,Whitehead,1976-07-17,England,England,,D,Defender,4,,,,,,,,,,
700,716.0,Jim Whitley,Jim,Whitley,1975-04-14,Zambia,Northern Ireland,,M,Midfielder,4,,,,,,,,,,
1018,41815.0,Stuart Whittaker,Stuart,Whittaker,1975-01-02,England,England,19.0,M,Midfielder,4,,,,,,,,,,
664,1047.0,Guy Whittingham,Guy,Whittingham,1964-11-10,England,England,,F,Forward,4,29.0,5.0,6.0,6.0,5.0,15.0,8.0,4.0,,
630,26058.0,Chris Whyte,Chris,Whyte,1961-09-02,England,England,,,,4,1.0,1.0,,,,,1.0,,,
535,28730.0,Tommy Widdrington,Tommy,Widdrington,1971-10-01,England,England,13.0,M,Midfielder,4,21.0,5.0,4.0,2.0,,13.0,4.0,2.0,,
80,2129.0,Jason Wilcox,Jason,Wilcox,1971-07-15,England,England,,M,Midfielder,4,10.0,0.0,1.0,3.0,3.0,5.0,4.0,,,
455,1083.0,Ray Wilkins,Ray,Wilkins,1956-09-14,England,England,,M,Midfielder,4,15.0,1.0,2.0,,,9.0,4.0,,,
368,1780.0,Paul Wilkinson,Paul,Wilkinson,1964-10-30,England,England,,F,Forward,4,3.0,0.0,,,1.0,3.0,,,,
1030,2745.0,Paul Williams,Paul,Williams,1971-03-26,England,England,,D,Defender,4,32.0,5.0,10.0,2.0,,16.0,6.0,10.0,,1.0
796,1663.0,Danny Williamson,Danny,Williamson,1973-12-05,England,England,,M,Midfielder,4,29.0,8.0,5.0,4.0,2.0,12.0,12.0,5.0,,
452,1273.0,Clive Wilson,Clive,Wilson,1961-11-13,England,England,,D,Defender,4,28.0,7.0,10.0,,4.0,6.0,12.0,1.0,,
11,2514.0,Nigel Winterburn,Nigel,Winterburn,1963-12-11,England,England,,D,Defender,4,36.0,15.0,12.0,2.0,1.0,8.0,16.0,6.0,,
107,2711.0,Dennis Wise,Dennis,Wise,1966-12-16,England,England,,M,Midfielder,4,35.0,10.0,14.0,7.0,4.0,11.0,10.0,10.0,,
404,146262.0,Ian Woan,Ian,Woan,1967-12-14,England,England,18.0,M,Midfielder,4,33.0,9.0,11.0,8.0,10.0,8.0,14.0,5.0,,
1039,1182.0,Mattie Woods,Mattie,Woods,1976-09-09,England,England,,D,Defender,4,,,,,,,,,,
496,3655.0,Nigel Worthington,Nigel,Worthington,1961-11-04,Northern Ireland,Northern Ireland,,D,Defender,4,16.0,3.0,5.0,,,9.0,2.0,5.0,,
29,2019.0,Ian Wright,Ian,Wright,1963-11-03,England,England,,F,Forward,4,31.0,11.0,9.0,15.0,2.0,8.0,14.0,8.0,,
739,764.0,Steve Yates,Steve,Yates,1970-01-29,England,England,,D,Defender,4,30.0,3.0,6.0,,,18.0,6.0,1.0,1.0,
889,964.0,Anthony Yeboah,Anthony,Yeboah,1966-06-06,Ghana,Ghana,,F,Forward,4,22.0,7.0,5.0,12.0,1.0,7.0,10.0,,,
59,4762.0,Dwight Yorke,Dwight,Yorke,1971-11-03,Trinidad & Tobago,Trinidad & Tobago,19.0,M,Midfielder,4,35.0,12.0,8.0,17.0,10.0,9.0,18.0,1.0,,
1128,1316.0,Ned Zelic,Ned,Zelic,1971-07-04,Australia,Australia,,M,Midfielder,4,4.0,0.0,1.0,,,3.0,,1.0,,
93,89.0,Dmitri Kharin,Dmitri,Kharin,1968-08-16,Russia,Russia,,G,Goalkeeper,4,26.0,10.0,10.0,,,7.0,9.0,1.0,,
807,846.0,Alan Kimble,Alan,Kimble,1966-06-08,England,England,,D,Defender,4,31.0,5.0,10.0,,6.0,11.0,10.0,2.0,1.0,
498,42044.0,Phil King,Phil,King,1967-12-28,England,England,,D,Defender,4,,,,,,,,,,
1058,2114.0,Georgi Kinkladze,Georgi,Kinkladze,1973-07-06,Georgia,Georgia,18.0,M,Midfielder,4,37.0,8.0,11.0,4.0,4.0,17.0,9.0,3.0,,
928,1508.0,Paul Kitson,Paul,Kitson,1971-01-09,England,England,,F,Forward,4,7.0,0.0,,2.0,1.0,3.0,4.0,1.0,,
222,896.0,Chris Kiwomya,Chris,Kiwomya,1969-12-02,England,England,,F,Forward,4,,,,,,,,,,
673,680.0,Jakob Kjeldbjerg,Jakob,Kjeldbjerg,1969-10-21,Denmark,Denmark,,M,Midfielder,4,,,,,,,,,,
1100,174371.0,Darko Kovacevic,Darko,Kovacevic,1973-11-18,Serbia,Serbia,9.0,F,Forward,4,16.0,0.0,2.0,4.0,1.0,9.0,5.0,1.0,,
302,291.0,Paul Lake,Paul,Lake,1968-10-28,England,England,,M,Midfielder,4,,,,,,,,,,
800,143319.0,Frank Lampard,Frank,Lampard,1978-06-20,England,England,8.0,M,Attacking Midfielder,4,2.0,0.0,1.0,,,,1.0,,,
846,1179.0,Nii Lamptey,Nii,Lamptey,1974-12-10,Ghana,Ghana,,F,Forward,4,6.0,1.0,3.0,,1.0,3.0,,1.0,,
1114,2841.0,Stan Lazaridis,Stan,Lazaridis,1972-08-16,Australia,Australia,11.0,M,Midfielder,4,4.0,0.0,1.0,,,2.0,1.0,,,
70,110013.0,Graeme Le Saux,Graeme,Le Saux,1968-10-17,England,England,,D,Defender,4,14.0,3.0,2.0,1.0,1.0,7.0,5.0,2.0,,
533,513.0,Matthew Le Tissier,Matthew,Le Tissier,1968-10-14,England,England,,M,Midfielder,4,34.0,10.0,9.0,7.0,8.0,16.0,9.0,8.0,,1.0
996,11171.0,Alan Lee,Alan,Lee,1978-08-21,Ireland,Ireland,29.0,F,Centre Striker,4,,,,,,,,,,
973,2810.0,Oyvind Leonhardsen,Oyvind,Leonhardsen,1970-08-17,Norway,Norway,,M,Midfielder,4,29.0,2.0,10.0,4.0,3.0,12.0,7.0,6.0,,
1071,1226.0,Craig Liddle,Craig,Liddle,1971-10-21,England,England,,D,Defender,4,13.0,1.0,3.0,,,8.0,2.0,3.0,,
