id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,assist_penalty_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_right,att_corner,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,penalty_conceded,penalty_won,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,red_card,rightside_pass,second_goal_assist,shield_ball_oop,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_goal_kicks,att_bx_left,att_cmiss_high,att_cmiss_left,att_goal_high_left,att_goal_high_right,att_goal_low_left,att_hd_goal,att_hd_miss,att_hd_post,att_ibox_goal,att_ibox_post,att_miss_high_left,att_post_high,att_rf_goal,att_setpiece,att_sv_high_centre,big_chance_scored,goals,goals_openplay,goal_kicks,post_scoring_att,total_sub_on,accurate_flick_on,accurate_layoffs,accurate_pull_back,accurate_through_ball,att_cmiss_right,att_goal_low_centre,att_lf_goal,att_obox_goal,att_one_on_one,total_through_ball,att_assist_setplay,att_goal_low_right,att_sv_high_left,corner_taken,accurate_corners_intobox,freekick_cross,total_corners_intobox,total_fastbreak,assist_pass_lost,accurate_freekick_cross,assist_own_goal,att_freekick_target,att_freekick_total,att_obox_post,att_post_left,goal_assist_deadball,goal_assist_setplay,assist_free_kick_won,att_cmiss_high_left,att_freekick_goal,att_freekick_miss,att_freekick_post,att_pen_goal,att_pen_target,att_sv_high_right,assist_handball_won,att_fastbreak,att_goal_high_centre,att_pen_post,att_post_right,shot_fastbreak,clearance_off_line,second_yellow,assist_blocked_shot,att_cmiss_high_right,goal_fastbreak,assist_attempt_saved,assist_post,att_obxd_left,att_obx_left,att_obp_goal,foul_throw_in,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,good_high_claim,keeper_pick_up,keeper_throws,own_goals,punches,saved_ibox,saved_obox,saves,stand_save,total_high_claim,total_keeper_sweeper,att_obxd_right,dangerous_play,cross_not_claimed,dive_catch,gk_smother,penalty_faced,stand_catch,att_lg_centre,att_obx_right,penalty_save,back_pass,att_lg_left,att_lg_right,att_pen_miss
3644,21247.0,Martin Kelly,Martin,Kelly,1990-04-27,England,England,,D,Right Full Back,363,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,3.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,0.0,,3.0,,,,,,,,,,,,,3.0,,,,1.0,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10449,268846.0,Jonjoe Kenny,Jonjoe,Kenny,1997-03-15,England,England,16.0,D,Right Full Back,363,16.0,,1.0,1.0,20.0,1.0,2.0,35.0,11.0,,,4.0,,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,1.0,3.0,,,,3.0,3.0,,,,2.0,1.0,2.0,1.0,,,6.0,4.0,,,7.0,1.0,1.0,1.0,,,,,,1.0,2.0,,1.0,1.0,1.0,,17.0,2.0,,1.0,,79.0,,,,,40.0,,,6.0,11.0,,,4.0,1.0,15.0,15.0,,,,3.0,,1.0,,,,,3.0,10.0,33.0,0.0,0.0,,16.0,1.0,2.0,,6.0,6.0,14.0,,32.0,1.0,,2.0,1.0,42.0,,,1.0,2.0,11.0,71.0,4.0,3.0,3.0,,0.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67899,288833.0,Reda Khadra,Reda,Khadra,2001-07-04,Germany,Germany,7.0,M,Left/Right Winger,363,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,4.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16793,280849.0,Kiko Casilla,Francisco,Casilla Cortés,1986-10-02,Spain,Spain,1.0,G,Goalkeeper,363,64.0,2.0,,,4.0,2.0,11.0,68.0,,,2.0,3.0,,,18.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,1.0,,,,,,2.0,,4.0,,,,,,,,37.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,26.0,7.0,4.0,1.0,3.0,270.0,,,,,38.0,,,1.0,3.0,,,,,11.0,11.0,,8.0,,,,15.0,,,,,,,34.0,,0.0,,71.0,5.0,4.0,,,,,,7.0,5.0,,20.0,,78.0,,,,,,116.0,,,,,0.0,2.0,,,,,26.0,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,2.0,5.0,4.0,19.0,20.0,,4.0,4.0,4.0,8.0,0.0,4.0,,,,,,,,,,,,,,,
13522,144289.0,Maximilian Kilman,Maximilian,Kilman,1997-05-23,England,England,23.0,D,Left/Centre Central Defender,363,421.0,18.0,,,234.0,2.0,16.0,655.0,9.0,26.0,20.0,18.0,,12.0,97.0,58.0,6.0,1.0,4.0,6.0,,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,,0.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,34.0,64.0,1.0,,6.0,12.0,2.0,6.0,5.0,,,2.0,6.0,53.0,52.0,6.0,40.0,21.0,,,39.0,66.0,,20.0,295.0,14.0,11.0,10.0,1.0,1.0,,1.0,1.0,21.0,39.0,,19.0,3.0,19.0,,151.0,132.0,94.0,5.0,12.0,1307.0,4.0,,5.0,2.0,735.0,8.0,,167.0,12.0,1.0,,6.0,1.0,100.0,100.0,,54.0,10.0,12.0,,265.0,,5.0,3.0,0.0,14.0,62.0,646.0,9.0,3.0,5.0,459.0,54.0,40.0,8.0,,,84.0,,286.0,20.0,,61.0,0.0,745.0,,7.0,,21.0,11.0,899.0,9.0,4.0,4.0,4.0,0.0,7.0,7.0,0.0,14.0,4.0,,,1.0,,,,,,1.0,,,,1.0,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3926,317864.0,Joshua King,Joshua,King,1992-01-15,Norway,Norway,,F,Left/Centre/Right Striker,363,11.0,,,,21.0,,,32.0,,7.0,5.0,11.0,,1.0,15.0,8.0,2.0,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,3.0,1.0,2.0,1.0,,,11.0,10.0,,1.0,,6.0,,,,1.0,,6.0,2.0,19.0,14.0,,1.0,1.0,,,4.0,2.0,,4.0,14.0,,2.0,1.0,1.0,,,,,1.0,7.0,1.0,1.0,,1.0,,8.0,3.0,2.0,5.0,,138.0,,,,1.0,49.0,,1.0,13.0,7.0,,,3.0,,37.0,37.0,1.0,2.0,7.0,6.0,,16.0,,,2.0,,3.0,15.0,32.0,3.0,9.0,,13.0,1.0,1.0,7.0,1.0,1.0,23.0,3.0,37.0,,1.0,,3.0,49.0,,3.0,,4.0,,91.0,6.0,9.0,9.0,1.0,0.0,4.0,4.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15333,268682.0,Cédric Kipré,Cédric,Kipré,1996-12-09,France,Cote D’Ivoire,33.0,D,Centre Central Defender,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15134,294795.0,Nya Kirby,Nya,Kirby,2000-01-31,England,England,,M,Midfielder,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13089,46979.0,Mateusz Klich,Mateusz,Klich,1990-06-13,Poland,Poland,43.0,M,Centre Central Midfielder,363,479.0,44.0,12.0,7.0,740.0,2.0,52.0,1207.0,9.0,18.0,15.0,35.0,,31.0,245.0,126.0,16.0,20.0,35.0,11.0,2.0,4.0,,1.0,3.0,7.0,2.0,4.0,11.0,5.0,4.0,3.0,3.0,4.0,10.0,5.0,20.0,28.0,3.0,24.0,3.0,2.0,1.0,315.0,163.0,3.0,0.0,1.0,42.0,7.0,47.0,5.0,23.0,19.0,22.0,5.0,147.0,84.0,1.0,15.0,8.0,,,82.0,169.0,5.0,46.0,427.0,28.0,44.0,40.0,4.0,5.0,4.0,5.0,,8.0,76.0,1.0,11.0,2.0,11.0,,335.0,132.0,88.0,15.0,5.0,2395.0,1.0,17.0,27.0,11.0,1427.0,4.0,2.0,239.0,276.0,1.0,,129.0,6.0,396.0,396.0,19.0,52.0,92.0,42.0,,390.0,1.0,,18.0,,34.0,468.0,1170.0,9.0,36.0,44.0,521.0,101.0,15.0,27.0,63.0,49.0,631.0,25.0,1009.0,9.0,46.0,90.0,6.0,1467.0,1.0,36.0,13.0,38.0,9.0,1819.0,56.0,40.0,40.0,20.0,1.0,15.0,13.0,14.0,20.0,6.0,0.0,2.0,,,,,,,1.0,,3.0,1.0,2.0,,4.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,7.0,10.0,44.0,1.0,0.0,,2.0,,1.0,,1.0,4.0,2.0,,19.0,6.0,7.0,15.0,1.0,,1.0,,,,,,,,,,,,,2.0,0.0,0.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14693,278030.0,Josh Knight,Josh,Knight,1997-09-07,England,England,5.0,D,Centre Central Defender,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8982,267417.0,Anthony Knockaert,Anthony,Knockaert,1991-11-20,France,France,28.0,M,Left/Centre/Right Attacking Midfielder,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26220,202605.0,Robin Koch,Robin,Koch,1996-07-17,Germany,Germany,5.0,D,Centre Central Defender,363,490.0,33.0,,,173.0,6.0,42.0,663.0,1.0,29.0,38.0,17.0,,11.0,118.0,64.0,8.0,1.0,4.0,7.0,,6.0,1.0,3.0,4.0,3.0,1.0,,1.0,1.0,,0.0,2.0,1.0,0.0,,1.0,2.0,,2.0,,,,37.0,76.0,,,3.0,8.0,5.0,9.0,4.0,,1.0,,3.0,56.0,76.0,3.0,31.0,12.0,1.0,1.0,34.0,63.0,1.0,17.0,262.0,13.0,21.0,18.0,3.0,,,,1.0,12.0,69.0,,27.0,1.0,27.0,1.0,246.0,125.0,85.0,6.0,9.0,1131.0,2.0,2.0,2.0,1.0,754.0,12.0,,36.0,83.0,2.0,,15.0,5.0,116.0,116.0,3.0,41.0,32.0,8.0,,224.0,,1.0,3.0,1.0,17.0,52.0,649.0,6.0,2.0,4.0,534.0,69.0,31.0,6.0,1.0,1.0,89.0,2.0,236.0,20.0,,86.0,,769.0,,9.0,1.0,27.0,1.0,928.0,11.0,5.0,5.0,8.0,0.0,8.0,4.0,3.0,16.0,1.0,,,0.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5368,301077.0,Sead Kolasinac,Sead,Kolasinac,1993-06-20,Germany,Bosnia & Herzegovina,23.0,D,Left Full Back,363,26.0,,,,28.0,,1.0,54.0,3.0,1.0,2.0,1.0,,1.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,2.0,,,,1.0,,,,2.0,2.0,,,,,,1.0,4.0,,1.0,12.0,1.0,1.0,1.0,,,,,,,6.0,,1.0,,1.0,,6.0,5.0,3.0,,,90.0,,,,,61.0,,,11.0,,,,2.0,,10.0,10.0,1.0,1.0,,2.0,,35.0,,,,,,11.0,53.0,,0.0,,26.0,,,,1.0,1.0,16.0,,37.0,,1.0,1.0,,62.0,,,,,3.0,71.0,2.0,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12359,269946.0,Terence Kongolo,Terence,Kongolo,1994-02-14,Switzerland,Netherlands,30.0,D,Central Defender,363,27.0,1.0,1.0,1.0,10.0,,,36.0,,2.0,3.0,1.0,,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,1.0,1.0,,,,1.0,,,,3.0,7.0,1.0,2.0,1.0,,,4.0,4.0,,1.0,19.0,1.0,1.0,1.0,,,,,,1.0,8.0,,2.0,,2.0,,2.0,4.0,3.0,1.0,,90.0,1.0,,,,43.0,,,3.0,1.0,,,1.0,,8.0,8.0,,1.0,2.0,1.0,,21.0,,,,,3.0,3.0,35.0,,0.0,,30.0,1.0,2.0,,1.0,1.0,5.0,,15.0,2.0,,2.0,,44.0,,,,3.0,,55.0,1.0,,,1.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13274,160422.0,Ezri Konsa,Ezri,Konsa,1997-10-23,England,England,4.0,D,Centre Central Defender,363,866.0,49.0,,,224.0,14.0,76.0,1090.0,12.0,56.0,96.0,36.0,,4.0,330.0,199.0,21.0,1.0,2.0,16.0,1.0,12.0,2.0,12.0,4.0,10.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,7.0,1.0,1.0,1.0,125.0,156.0,0.0,6.0,4.0,12.0,4.0,4.0,12.0,2.0,1.0,7.0,6.0,83.0,178.0,4.0,158.0,81.0,1.0,,48.0,90.0,1.0,19.0,391.0,35.0,46.0,38.0,8.0,,,,1.0,81.0,142.0,1.0,29.0,6.0,29.0,,487.0,197.0,116.0,15.0,32.0,3195.0,13.0,0.0,2.0,7.0,1248.0,47.0,1.0,54.0,122.0,1.0,,11.0,5.0,229.0,229.0,,91.0,65.0,12.0,,284.0,,2.0,11.0,1.0,22.0,54.0,1056.0,6.0,7.0,2.0,953.0,95.0,158.0,6.0,3.0,3.0,111.0,2.0,337.0,70.0,,166.0,1.0,1287.0,,22.0,,25.0,14.0,1729.0,34.0,18.0,18.0,54.0,1.0,15.0,6.0,4.0,13.0,3.0,1.0,,1.0,,,,1.0,1.0,8.0,0.0,2.0,1.0,,1.0,1.0,9.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
66564,162226.0,Billy Koumetio,Billy,Koumetio,2002-11-14,France,France,89.0,D,Centre Central Defender,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,134321.0,Cheikhou Kouyaté,Cheikhou,Kouyaté,1989-12-21,Senegal,Senegal,8.0,M,Centre Central Midfielder,363,759.0,51.0,1.0,1.0,230.0,26.0,89.0,988.0,3.0,57.0,83.0,36.0,,21.0,323.0,162.0,6.0,1.0,8.0,3.0,,2.0,,3.0,2.0,1.0,1.0,,1.0,1.0,,0.0,1.0,,1.0,,1.0,2.0,1.0,2.0,1.0,,,109.0,177.0,1.0,1.0,2.0,34.0,2.0,18.0,8.0,3.0,,8.0,8.0,118.0,165.0,2.0,123.0,57.0,0.0,2.0,84.0,116.0,1.0,36.0,562.0,35.0,56.0,48.0,8.0,,,,,57.0,143.0,1.0,32.0,4.0,32.0,,405.0,232.0,107.0,16.0,25.0,3123.0,13.0,3.0,5.0,2.0,1218.0,26.0,,69.0,133.0,,,13.0,3.0,322.0,322.0,3.0,112.0,62.0,34.0,,203.0,,9.0,3.0,,37.0,67.0,942.0,16.0,10.0,8.0,878.0,144.0,123.0,12.0,3.0,3.0,155.0,7.0,404.0,105.0,2.0,234.0,0.0,1279.0,,7.0,2.0,58.0,3.0,1676.0,24.0,17.0,17.0,15.0,0.0,12.0,10.0,2.0,37.0,4.0,,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,,,,3.0,,1.0,1.0,,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12520,160054.0,Mateo Kovacic,Mateo,Kovacic,1994-05-06,Austria,Croatia,8.0,M,Centre Central Midfielder,363,681.0,66.0,1.0,1.0,920.0,3.0,94.0,1600.0,2.0,12.0,12.0,27.0,,10.0,103.0,61.0,4.0,19.0,20.0,2.0,2.0,,,,1.0,3.0,,1.0,2.0,5.0,1.0,3.0,1.0,8.0,7.0,4.0,19.0,22.0,3.0,21.0,2.0,,1.0,239.0,121.0,3.0,,2.0,28.0,9.0,15.0,7.0,4.0,2.0,23.0,5.0,77.0,140.0,2.0,9.0,3.0,,2.0,61.0,215.0,4.0,16.0,420.0,21.0,26.0,23.0,3.0,1.0,1.0,1.0,1.0,3.0,30.0,,15.0,1.0,15.0,,420.0,184.0,162.0,8.0,2.0,1818.0,,7.0,14.0,4.0,1737.0,1.0,1.0,224.0,198.0,,,51.0,3.0,233.0,233.0,14.0,38.0,69.0,28.0,,683.0,,0.0,10.0,,32.0,387.0,1575.0,17.0,35.0,21.0,721.0,110.0,9.0,65.0,6.0,6.0,485.0,0.0,1047.0,4.0,27.0,123.0,,1762.0,1.0,23.0,11.0,46.0,2.0,2067.0,16.0,26.0,26.0,30.0,0.0,14.0,53.0,7.0,28.0,4.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,6.0,0.0,27.0,1.0,4.0,1.0,,,,,7.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35733,302990.0,Matej Kovár,Matej,Kovár,2000-05-17,Czech Republic,Czech Republic,1.0,G,Goalkeeper,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66494,161985.0,Emil Krafth,Emil,Krafth,1994-08-02,Sweden,Sweden,17.0,D,Right Full Back,363,212.0,19.0,3.0,3.0,132.0,4.0,19.0,341.0,72.0,19.0,26.0,16.0,,4.0,133.0,92.0,3.0,4.0,6.0,2.0,1.0,2.0,,1.0,2.0,,,,,0.0,1.0,,,1.0,1.0,2.0,4.0,5.0,2.0,6.0,,1.0,1.0,50.0,61.0,1.0,,6.0,21.0,3.0,13.0,2.0,12.0,6.0,4.0,4.0,49.0,56.0,6.0,46.0,25.0,1.0,1.0,19.0,49.0,,12.0,246.0,14.0,27.0,25.0,2.0,,,,,25.0,48.0,,15.0,3.0,15.0,,134.0,85.0,44.0,6.0,16.0,1290.0,7.0,4.0,2.0,3.0,448.0,9.0,2.0,1.0,134.0,,,26.0,1.0,181.0,181.0,1.0,40.0,20.0,21.0,,25.0,,1.0,1.0,,9.0,55.0,334.0,6.0,5.0,6.0,268.0,45.0,46.0,4.0,18.0,18.0,82.0,,205.0,27.0,,59.0,1.0,455.0,1.0,7.0,5.0,19.0,106.0,742.0,9.0,9.0,9.0,9.0,0.0,6.0,3.0,7.0,8.0,4.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23575,299714.0,Filip Krovinovic,Filip,Krovinovic,1995-08-29,Croatia,Croatia,23.0,M,Midfielder,363,112.0,12.0,5.0,2.0,193.0,1.0,15.0,300.0,1.0,10.0,9.0,11.0,,2.0,62.0,27.0,1.0,7.0,3.0,,,1.0,,,,1.0,,1.0,3.0,,2.0,,1.0,3.0,2.0,2.0,7.0,7.0,1.0,5.0,,1.0,1.0,66.0,39.0,,,,10.0,3.0,12.0,,2.0,1.0,5.0,3.0,32.0,40.0,,2.0,,,,25.0,57.0,2.0,5.0,118.0,5.0,11.0,10.0,1.0,,,,1.0,,26.0,,4.0,,4.0,,80.0,44.0,33.0,7.0,0.0,544.0,,2.0,3.0,2.0,340.0,,,96.0,17.0,,,21.0,,86.0,86.0,2.0,19.0,18.0,10.0,,96.0,,,3.0,,16.0,98.0,282.0,2.0,6.0,5.0,130.0,22.0,2.0,9.0,11.0,6.0,124.0,1.0,241.0,7.0,7.0,25.0,,360.0,,8.0,2.0,13.0,1.0,454.0,4.0,12.0,12.0,12.0,0.0,1.0,8.0,3.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,7.0,,,1.0,,,,,,2.0,,,6.0,3.0,3.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
