id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,goal_assist_openplay,mins_played,ontarget_att_assist,open_play_pass,poss_lost_all,poss_lost_ctrl,times_tackled,total_att_assist,total_pass,touches,winning_goal,own_goals,attempts_ibox,att_bx_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_openplay,goals_openplay,ontarget_scoring_att,total_scoring_att,att_rf_goal,att_rf_total,total_sub_on,accurate_pass,successful_open_play_pass,total_sub_off
29,2019.0,Ian Wright,Ian,Wright,1963-11-03,England,England,,F,Forward,1,31.0,7.0,9.0,15.0,11.0,11.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,193.0,Frank Yallop,Frank,Yallop,1964-04-04,England,Canada,,D,Defender,1,6.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4762.0,Dwight Yorke,Dwight,Yorke,1971-11-03,Trinidad & Tobago,Trinidad & Tobago,19.0,M,Midfielder,1,27.0,4.0,7.0,6.0,5.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2026.0,Eddie Youds,Eddie,Youds,1970-05-03,England,England,,D,Defender,1,16.0,0.0,7.0,,6.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,144.0,Eric Young,Eric,Young,1960-03-25,Wales,Wales,,D,Defender,1,38.0,11.0,15.0,6.0,12.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,2910.0,Kevin Pressman,Kevin,Pressman,1967-11-06,England,England,,G,Goalkeeper,1,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,78.0,Chris Price,Chris,Price,1960-03-30,England,England,,M,Midfielder,1,6.0,1.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,632.0,Mark Proctor,Mark,Proctor,1961-01-30,England,England,,M,Midfielder,1,11.0,0.0,4.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,288.0,Mike Quigley,Mike,Quigley,1970-10-02,England,England,,M,Midfielder,1,5.0,0.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,137.0,Mick Quinn,Mick,Quinn,1969-12-17,England,England,,F,Forward,1,26.0,7.0,8.0,17.0,11.0,7.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,272.0,Ray Ranson,Ray,Ranson,1960-06-12,England,England,,D,Defender,1,17.0,4.0,5.0,,6.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,426.0,Karl Ready,Karl,Ready,1972-08-14,England,England,,D,Defender,1,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,3710.0,Jamie Redknapp,Jamie,Redknapp,1973-06-25,England,England,38.0,M,Midfielder,1,29.0,6.0,7.0,2.0,12.0,10.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,405.0,Steve Redmond,Steve,Redmond,1967-02-11,England,England,,D,Defender,1,31.0,2.0,7.0,,14.0,10.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,59.0,Cyrille Regis,Cyrille,Regis,1958-02-09,England,England,,F,Forward,1,13.0,2.0,4.0,1.0,5.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,514.0,Peter Reid,Peter,Reid,1956-06-20,England,England,,M,Midfielder,1,20.0,0.0,9.0,,7.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,118.0,David Rennie,David,Rennie,1964-08-29,Scotland,Scotland,,D,Defender,1,9.0,2.0,3.0,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1748.0,Kevin Richardson,Kevin,Richardson,1962-12-04,England,England,,M,Midfielder,1,42.0,15.0,11.0,2.0,10.0,21.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,189.0,Paul Rideout,Paul,Rideout,1964-08-14,England,England,,F,Forward,1,24.0,1.0,5.0,3.0,10.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1991.0,Stuart Ripley,Stuart,Ripley,1967-11-20,England,England,,M,Midfielder,1,40.0,15.0,10.0,7.0,10.0,20.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,417.0,Andy Ritchie,Andy,Ritchie,1956-02-23,Scotland,Scotland,,F,Forward,1,12.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,27118.0,Tony Roberts,Tony,Roberts,1969-08-04,Wales,Wales,1.0,G,Goalkeeper,1,28.0,5.0,8.0,,9.0,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,985.0,Mark Robins,Mark,Robins,1969-12-22,England,England,,F,Forward,1,37.0,5.0,7.0,14.0,12.0,18.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,553.0,Steve Robinson,Steve,Robinson,1974-12-10,Northern Ireland,Northern Ireland,,M,Midfielder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,129.0,Stewart Robson,Stewart,Robson,1964-11-06,England,England,,M,Midfielder,1,15.0,4.0,5.0,,4.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,42142.0,David Rocastle,David,Rocastle,1967-05-02,England,England,,M,Midfielder,1,18.0,2.0,5.0,1.0,8.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,41908.0,Simon Rodger,Simon,Rodger,1971-10-03,England,England,,M,Midfielder,1,23.0,7.0,8.0,2.0,7.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,460.0,Paul Rogers,Paul,Rogers,1965-03-21,England,England,,M,Midfielder,1,27.0,6.0,8.0,3.0,10.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1610.0,Roland Nilsson,Roland,Nilsson,1963-11-27,Sweden,Sweden,,D,Defender,1,32.0,4.0,11.0,1.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,396.0,Robert Rosario,Robert,Rosario,1966-03-04,England,England,,F,Forward,1,38.0,6.0,11.0,4.0,14.0,13.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,817.0,Ronnie Rosenthal,Ronnie,Rosenthal,1963-10-11,Israel,Israel,,F,Forward,1,27.0,1.0,4.0,6.0,11.0,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,826.0,Keith Rowland,Keith,Rowland,1971-01-09,Northern Ireland,Northern Ireland,,D,Defender,1,2.0,0.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,2011.0,Neil Ruddock,Neil,Ruddock,1968-05-09,England,England,,D,Defender,1,38.0,10.0,11.0,3.0,13.0,14.0,8.0,2.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
275,1723.0,Ian Rush,Ian,Rush,1961-10-20,Wales,Wales,,F,Forward,1,32.0,10.0,10.0,14.0,9.0,13.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2325.0,John Salako,John,Salako,1969-02-11,Nigeria,England,,M,Midfielder,1,13.0,2.0,6.0,,6.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,946.0,Vinny Samways,Vinny,Samways,1968-10-27,England,England,,M,Midfielder,1,34.0,8.0,9.0,,12.0,13.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,801.0,Lawrie Sanchez,Lawrie,Sanchez,1959-10-22,Northern Ireland,Northern Ireland,,M,Midfielder,1,27.0,7.0,7.0,4.0,11.0,9.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,171.0,Kenny Sansom,Kenny,Sansom,1958-09-26,England,England,,D,Defender,1,28.0,5.0,7.0,1.0,10.0,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2081.0,Dean Saunders,Dean,Saunders,1964-06-21,Wales,Wales,,F,Forward,1,41.0,13.0,10.0,14.0,10.0,21.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,2537.0,John Scales,John,Scales,1966-07-04,England,England,,D,Defender,1,32.0,11.0,8.0,1.0,12.0,12.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,143575.0,Peter Schmeichel,Peter,Schmeichel,1963-11-18,Denmark,Denmark,1.0,G,Goalkeeper,1,42.0,18.0,12.0,,6.0,24.0,,1.0,,1.0,1.0,1.0,1.0,,90.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
336,324.0,Paul Scholes,Paul,Scholes,1974-11-16,England,England,22.0,M,Centre Central Midfielder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,469.0,Andrew Scott,Andrew,Scott,1972-08-02,England,England,,F,Forward,1,2.0,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1062.0,Les Sealey,Les,Sealey,1957-09-29,England,England,,G,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,119183.0,David Seaman,David,Seaman,1963-09-19,England,England,,G,Goalkeeper,1,39.0,15.0,10.0,,14.0,15.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
556,41880.0,Steve Sedgley,Steve,Sedgley,1968-05-26,England,England,14.0,D,Defender,1,22.0,3.0,7.0,3.0,9.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,1999.0,Hans Segers,Hans,Segers,1961-10-30,Netherlands,Netherlands,,G,Goalkeeper,1,41.0,13.0,11.0,,16.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1149.0,Scott Sellars,Scott,Sellars,1965-11-27,England,England,,M,Midfielder,1,7.0,0.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27669.0,Ian Selley,Ian,Selley,1974-06-14,England,England,,M,Midfielder,1,9.0,3.0,3.0,,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,146821.0,Kevin Sharp,Kevin,Sharp,1974-09-19,Canada,Canada,20.0,D,Defender,1,4.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2074.0,Lee Sharpe,Lee,Sharpe,1971-05-27,England,England,,M,Midfielder,1,27.0,10.0,6.0,1.0,3.0,18.0,,9.0,,1.0,1.0,1.0,1.0,,90.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
24,24.0,Paul Shaw,Paul,Shaw,1973-09-04,England,England,,M,Midfielder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1440.0,Alan Shearer,Alan,Shearer,1970-08-13,England,England,9.0,F,Forward,1,21.0,9.0,7.0,16.0,4.0,10.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,136.0,Tony Sheridan,Tony,Sheridan,1974-10-21,Ireland,Ireland,,F,Forward,1,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,110022.0,Teddy Sheringham,Teddy,Sheringham,1966-04-02,England,England,,F,Centre Second Striker,1,41.0,10.0,9.0,22.0,15.0,17.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,42042.0,Mike Sheron,Mike,Sheron,1972-01-11,England,England,,F,Forward,1,38.0,7.0,11.0,11.0,13.0,14.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3336.0,Tim Sherwood,Tim,Sherwood,1969-02-06,England,England,,M,Midfielder,1,39.0,16.0,10.0,3.0,11.0,18.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4460.0,Neil Shipperley,Neil,Shipperley,1974-10-30,England,England,,F,Forward,1,3.0,0.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,1778.0,Peter Shirtliff,Peter,Shirtliff,1961-04-06,England,England,,D,Defender,1,20.0,4.0,4.0,,6.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1096.0,Carl Shutt,Carl,Shutt,1961-10-10,England,England,,F,Forward,1,14.0,0.0,3.0,,5.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,41974.0,Fitzroy Simpson,Fitzroy,Simpson,1970-02-26,England,Jamaica,,M,Midfielder,1,29.0,8.0,6.0,1.0,11.0,12.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,29322.0,Frank Sinclair,Frank,Sinclair,1971-12-03,Jamaica,Jamaica,15.0,D,Defender,1,32.0,9.0,11.0,,11.0,10.0,6.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
161,155.0,Lee Sinnott,Lee,Sinnott,1965-07-12,England,England,,M,Midfielder,1,19.0,2.0,6.0,,10.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,1274.0,Andy Sinton,Andy,Sinton,1966-03-19,England,England,,M,Midfielder,1,36.0,7.0,11.0,7.0,10.0,15.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,571.0,Justin Skinner,Justin,Skinner,1969-01-30,England,England,,M,Midfielder,1,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,631.0,Bernie Slaven,Bernie,Slaven,1960-11-13,Ireland,Ireland,,F,Forward,1,18.0,2.0,5.0,4.0,10.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,41800.0,Bryan Small,Bryan,Small,1971-11-15,England,England,19.0,D,Defender,1,14.0,2.0,4.0,,4.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,Alan Smith,Alan,Smith,1962-11-21,England,England,,F,Forward,1,31.0,8.0,9.0,3.0,12.0,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,41956.0,Ian Snodin,Ian,Snodin,1963-08-15,England,England,,M,Midfielder,1,20.0,2.0,3.0,1.0,9.0,8.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2065.0,Neville Southall,Neville,Southall,1958-09-16,Wales,Wales,,G,Goalkeeper,1,40.0,11.0,7.0,,18.0,15.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2732.0,Gareth Southgate,Gareth,Southgate,1970-09-03,England,England,6.0,D,Defender,1,33.0,6.0,15.0,3.0,10.0,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,42017.0,Nigel Spackman,Nigel,Spackman,1960-12-02,England,England,,M,Midfielder,1,6.0,2.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,30153.0,Gary Speed,Gary,Speed,1969-09-08,Wales,Wales,15.0,M,Midfielder,1,39.0,11.0,12.0,7.0,15.0,12.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,522.0,David Speedie,David,Speedie,1960-02-20,Scotland,Scotland,,F,Forward,1,11.0,1.0,4.0,,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2033.0,John Spencer,John,Spencer,1970-09-11,Scotland,Scotland,,F,Forward,1,23.0,0.0,8.0,7.0,9.0,6.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,42069.0,Nigel Spink,Nigel,Spink,1958-08-08,England,England,,G,Goalkeeper,1,25.0,7.0,8.0,,5.0,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,345.0,Phil Stamp,Phil,Stamp,1975-12-12,England,England,,M,Midfielder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,39.0,Steve Staunton,Steve,Staunton,1969-01-19,Ireland,Ireland,,D,Defender,1,42.0,15.0,11.0,2.0,10.0,21.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,146517.0,Jan Stejskal,Jan,Stejskal,1962-01-15,Czech Republic,Czech Republic,,G,Goalkeeper,1,15.0,3.0,4.0,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,624.0,Mel Sterland,Mel,Sterland,1961-09-01,England,England,,D,Defender,1,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,1491.0,Paul Stewart,Paul,Stewart,1964-10-07,England,England,,F,Forward,1,24.0,5.0,6.0,1.0,11.0,7.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,208.0,Mick Stockwell,Mick,Stockwell,1965-02-14,England,England,,M,Midfielder,1,39.0,10.0,16.0,4.0,12.0,11.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
