id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
2053,131515.0,Robert Huth,Robert,Huth,1984-08-18,Germany,Germany,,D,Defender,14,13.0,1.0,2.0,,2.0,9.0,1.0,3.0,,
1710,2140.0,Sami Hyypiä,Sami,Hyypiä,1973-10-07,Finland,Finland,4.0,D,Defender,14,36.0,20.0,7.0,1.0,6.0,23.0,1.0,3.0,,
2924,97330.0,Besian Idrizaj,Besian,Idrizaj,1987-10-12,Austria,Austria,,F,Forward,14,,,,,,,,,,
2806,176864.0,Philip Ifil,Philip,Ifil,1986-11-18,England,England,,D,Defender,14,,,,,,,,,,
2005,3742.0,Junichi Inamoto,Junichi,Inamoto,1979-09-18,Japan,Japan,,M,Midfielder,14,22.0,7.0,6.0,,12.0,4.0,3.0,,,
2895,3859.0,Thordur Ingason,Thordur,Ingason,1988-03-30,Iceland,Iceland,,G,Goalkeeper,14,,,,,,,,,,
3038,4074.0,Ingi Højsted,Ingi,Hojsted,1985-11-12,Faroe Islands,Faroe Islands,,M,Midfielder,14,,,,,,,,,,
2928,139710.0,Stephen Ireland,Stephen,Ireland,1986-08-22,Ireland,Ireland,17.0,M,Centre Central Midfielder,14,24.0,2.0,2.0,,14.0,8.0,2.0,,,
2208,2862.0,Ivan Campo,Ivan,Campo,1974-02-21,Spain,Spain,8.0,M,Midfielder,14,15.0,2.0,5.0,2.0,4.0,6.0,,2.0,,
670,3475.0,Muzzy Izzet,Muzzy,Izzet,1974-10-31,England,Turkey,6.0,M,Midfielder,14,16.0,2.0,3.0,,8.0,5.0,,1.0,,1.0
1342,57722.0,Jussi Jääskeläinen,Jussi,Jääskeläinen,1975-04-19,Finland,Finland,22.0,G,Goalkeeper,14,38.0,15.0,11.0,,12.0,15.0,,2.0,,
1773,10457.0,Johnnie Jackson,Johnnie,Jackson,1982-08-15,England,England,4.0,M,Centre Central Midfielder,14,1.0,0.0,,,,1.0,,,,
2643,97108.0,Radhi Jaidi,Radhi,Jaidi,1975-08-30,Tunisia,Tunisia,15.0,D,Defender,14,16.0,4.0,2.0,3.0,6.0,8.0,2.0,1.0,,
252,55236.0,David James,David,James,1970-08-01,England,England,1.0,G,Goalkeeper,14,38.0,6.0,4.0,,21.0,13.0,,1.0,,
960,29919.0,Jamie Clapham,James,Clapham,1975-12-07,England,England,19.0,D,Defender,14,16.0,1.0,4.0,1.0,10.0,2.0,1.0,2.0,,
1381,3836.0,Matt Jansen,Matt,Jansen,1977-10-20,England,England,17.0,F,Forward,14,10.0,0.0,5.0,,3.0,2.0,1.0,,,
2659,103045.0,Jirí Jarosik,Jirí,Jarosik,1977-10-27,Czech Republic,Czech Republic,20.0,D,Centre Central Defender,14,23.0,3.0,4.0,5.0,13.0,7.0,1.0,2.0,,
2199,12337.0,Jay McEveley,James,McEveley,1985-02-11,Scotland,Scotland,6.0,D,Left/Centre Full Back,14,,,,,,,,,,
1402,97081.0,Francis Jeffers,Francis,Jeffers,1981-01-25,England,England,9.0,F,Forward,14,,,,,,,,,,
2127,6378.0,Jermaine Jenas,Jermaine,Jenas,1983-02-18,England,England,16.0,M,Centre Central Midfielder,14,34.0,9.0,9.0,6.0,10.0,15.0,4.0,4.0,,
2294,173606.0,Niclas Jensen,Niclas,Jensen,1974-08-17,Denmark,Denmark,3.0,D,Left Full Back,14,16.0,3.0,4.0,,7.0,5.0,1.0,1.0,,
3002,42478.0,Jimmy Walker,James,Walker,1973-07-09,England,England,23.0,G,Goalkeeper,14,3.0,1.0,,,2.0,1.0,,,,
1952,2479.0,Joseph-Desire Job,Joseph-Desire,Job,1977-12-01,Cameroon,Cameroon,16.0,F,Forward,14,1.0,0.0,,,,1.0,,,,
1855,2328.0,Jonatan Johansson,Jonatan,Johansson,1975-08-16,Finland,Finland,21.0,F,Forward,14,4.0,0.0,,,2.0,2.0,,,,
2226,2885.0,Alistair John,Alistair,John,1987-11-23,England,England,31.0,M,Midfielder,14,,,,,,,,,,
1336,13789.0,Damien Johnson,Damien,Johnson,1978-11-18,Northern Ireland,Northern Ireland,20.0,M,Midfielder,14,31.0,8.0,9.0,,14.0,8.0,2.0,5.0,,1.0
2863,27491.0,Zac Jones,Zac,Jones,1988-11-24,England,England,21.0,G,Goalkeeper,14,,,,,,,,,,
2606,93171.0,Michael Jordan,Michael,Jordan,1986-04-07,England,England,,G,Goalkeeper,14,,,,,,,,,,
2716,102232.0,Josemi,Jose Miguel,Gonzalez Rey,1979-11-15,Spain,Spain,19.0,D,Right Full Back,14,6.0,0.0,1.0,,1.0,4.0,,1.0,,
3044,129999.0,Luke Joyce,Luke,Joyce,1987-07-09,England,England,4.0,M,Centre Defensive Midfielder,14,,,,,,,,,,
2789,29893.0,Diomansy Kamara,Diomansy,Kamara,1980-11-08,Senegal,Senegal,,F,Forward,14,26.0,0.0,7.0,1.0,15.0,4.0,2.0,3.0,,
1805,101300.0,Frederic Kanoute,Frederic,Kanoute,1977-09-02,France,Mali,12.0,F,Centre Striker,14,1.0,0.0,,,,1.0,,,,
1502,96872.0,Kanu,Nwankwo,Kanu,1976-08-01,Nigeria,Nigeria,27.0,F,Centre Second Striker,14,25.0,1.0,7.0,5.0,14.0,4.0,3.0,,,
2966,173402.0,Azar Karadas,Azar,Karadas,1981-08-09,Norway,Norway,6.0,F,Forward,14,17.0,0.0,3.0,1.0,10.0,4.0,,4.0,,
3018,8809.0,Yaniv Katan,Yaniv,Katan,1981-01-27,Israel,Israel,20.0,F,Centre Striker,14,6.0,0.0,1.0,,2.0,3.0,,1.0,,
358,26864.0,Graham Kavanagh,Graham,Kavanagh,1973-12-02,Ireland,Ireland,8.0,M,Midfielder,14,35.0,8.0,5.0,,15.0,15.0,2.0,7.0,,
407,110403.0,Roy Keane,Roy,Keane,1971-08-10,Ireland,Ireland,16.0,M,Midfielder,14,5.0,3.0,2.0,,,3.0,,1.0,,
1681,2092.0,Joe Keenan,Joe,Keenan,1982-10-14,England,England,36.0,M,Midfielder,14,,,,,,,,,,
2791,9588.0,James Keene,James,Keene,1985-12-26,England,England,14.0,F,Forward,14,,,,,,,,,,
2753,167585.0,Jason Kennedy,Jason,Kennedy,1986-09-11,England,England,28.0,M,Centre Central Midfielder,14,3.0,0.0,,,2.0,1.0,,,,
1249,11879.0,Kevin Davies,Kevin,Davies,1977-03-26,England,England,9.0,F,Centre Striker,14,37.0,10.0,10.0,7.0,12.0,15.0,7.0,9.0,,
1049,99163.0,Harry Kewell,Harry,Kewell,1978-09-22,Australia,Australia,99.0,M,Left/Right Winger,14,27.0,5.0,3.0,3.0,5.0,19.0,3.0,2.0,,
2866,122312.0,Zurab Khizanishvili,Zurab,Khizanishvili,1981-10-06,Georgia,Georgia,14.0,D,Defender,14,26.0,11.0,4.0,1.0,7.0,15.0,,2.0,1.0,1.0
1848,5145.0,Dean Kiely,Dean,Kiely,1970-10-10,Ireland,Ireland,40.0,G,Goalkeeper,14,18.0,2.0,3.0,,8.0,7.0,,,,
1757,178305.0,Kevin Kilbane,Kevin,Kilbane,1977-02-01,Ireland,Ireland,26.0,M,Midfielder,14,34.0,5.0,6.0,,14.0,14.0,1.0,4.0,,
2427,129196.0,Neil Kilkenny,Neil,Kilkenny,1985-12-19,England,Australia,88.0,M,Defensive Midfielder,14,18.0,0.0,5.0,,10.0,3.0,,,,1.0
1627,2004.0,Ledley King,Ledley,King,1980-10-12,England,England,26.0,D,Centre Central Defender,14,26.0,5.0,9.0,3.0,4.0,13.0,1.0,1.0,,
1359,30706.0,Chris Kirkland,Chris,Kirkland,1981-05-02,England,England,0.0,G,Goalkeeper,14,10.0,1.0,2.0,,6.0,2.0,,,,
1850,26684.0,Radostin Kishishev,Radostin,Kishishev,1974-07-30,Bulgaria,Bulgaria,25.0,M,Midfielder,14,37.0,9.0,8.0,,16.0,13.0,1.0,7.0,,
2075,16835.0,Zat Knight,Zat,Knight,1980-05-02,England,England,24.0,D,Centre Central Defender,14,30.0,7.0,5.0,,15.0,10.0,,2.0,1.0,
2002,32441.0,Kolo Touré,Kolo,Touré,1981-03-19,,,2.0,D,Centre Central Defender,14,33.0,14.0,6.0,,9.0,18.0,1.0,3.0,,
1515,91545.0,Paul Konchesky,Paul,Konchesky,1981-05-15,England,England,,D,Left Full Back,14,37.0,7.0,7.0,1.0,14.0,16.0,4.0,4.0,,1.0
2963,3953.0,Ognjen Koroman,Ognjen,Koroman,1978-09-19,Serbia,Serbia,17.0,M,Midfielder,14,3.0,0.0,,1.0,3.0,,,,,
2382,12447.0,Jason Koumas,Jason,Koumas,1979-09-25,Wales,Wales,8.0,M,Centre Central Midfielder,14,,,,,,,,,,
2999,98543.0,Jan Kozak,Jan,Kozak,1980-04-22,Slovakia,Slovakia,,M,Left Winger,14,6.0,0.0,1.0,,4.0,1.0,,,,
3039,122615.0,Per Kroldrup,Per,Kroldrup,1979-07-31,Denmark,Denmark,25.0,D,Centre Central Defender,14,1.0,0.0,,,1.0,,,,,
2915,99550.0,Jan Kromkamp,Jan,Kromkamp,1980-08-17,Netherlands,Netherlands,19.0,D,Right Full Back,14,13.0,2.0,1.0,,3.0,9.0,1.0,,,
2631,30448.0,Njazi Kuqi,Njazi,Kuqi,1983-03-25,Kosovo,Finland,,F,Forward,14,,,,,,,,,,
2818,18638.0,Tomasz Kuszczak,Tomasz,Kuszczak,1982-03-20,Poland,Poland,29.0,G,Goalkeeper,14,28.0,9.0,7.0,,16.0,5.0,,1.0,,
1973,2505.0,Kevin Kyle,Kevin,Kyle,1981-06-07,Scotland,Scotland,,F,Forward,14,13.0,0.0,1.0,1.0,11.0,1.0,,5.0,,
800,143319.0,Frank Lampard,Frank,Lampard,1978-06-20,England,England,8.0,M,Attacking Midfielder,14,35.0,19.0,4.0,16.0,4.0,27.0,8.0,4.0,,
2613,153110.0,Sebastian Larsson,Sebastian,Larsson,1985-06-06,Sweden,Sweden,7.0,M,Centre Central Midfielder,14,3.0,1.0,1.0,,1.0,1.0,,2.0,,
2858,34386.0,Martin Latka,Martin,Latka,1984-09-28,Czech Republic,Czech Republic,31.0,D,Defender,14,6.0,1.0,2.0,,3.0,1.0,,2.0,,
1831,4266.0,Lauren,Laureano,Bisan Etame-Mayer,1977-01-19,Cameroon,Cameroon,4.0,D,Defender,14,22.0,11.0,4.0,,7.0,11.0,1.0,6.0,,
2619,3462.0,Martin Laursen,Martin,Laursen,1977-07-26,Denmark,Denmark,5.0,D,Defender,14,1.0,0.0,1.0,,,,,,,
2981,18831.0,Liam Lawrence,Liam,Lawrence,1981-12-14,Ireland,Ireland,16.0,M,Left/Right Attacking Midfielder,14,29.0,2.0,6.0,3.0,21.0,2.0,,,,
1114,2841.0,Stan Lazaridis,Stan,Lazaridis,1972-08-16,Australia,Australia,11.0,M,Midfielder,14,17.0,2.0,2.0,,11.0,4.0,,1.0,,
2287,140236.0,Anthony Le Tallec,Anthony,Le Tallec,1984-10-03,France,France,9.0,F,Centre Second Striker,14,27.0,0.0,5.0,3.0,19.0,3.0,,,,
2076,20355.0,Dean Leacock,Dean,Leacock,1984-06-10,England,England,,D,Defender,14,5.0,0.0,1.0,,2.0,2.0,,1.0,,
2982,154814.0,Grant Leadbitter,Grant,Leadbitter,1986-01-07,England,England,23.0,M,Centre Central Midfielder,14,12.0,0.0,3.0,,9.0,,,2.0,,
2864,16598.0,Richard Lee,Richard,Lee,1982-10-05,England,England,,G,Goalkeeper,14,,,,,,,,,,
2988,110519.0,Lee Young-Pyo,Young-Pyo,Lee,1977-04-23,South Korea,South Korea,12.0,D,Left/Right Full Back,14,31.0,9.0,10.0,,7.0,14.0,,2.0,,
2079,2673.0,Sylvain Legwinski,Sylvain,Legwinski,1973-06-10,France,France,,M,Midfielder,14,13.0,0.0,3.0,,5.0,5.0,1.0,4.0,1.0,
2852,51785.0,Adam Legzdins,Adam,Legzdins,1986-11-28,England,England,30.0,G,Goalkeeper,14,,,,,,,,,,
2409,3131.0,Jens Lehmann,Jens,Lehmann,1969-11-10,Germany,Germany,13.0,G,Goalkeeper,14,38.0,16.0,7.0,,11.0,20.0,,1.0,,
2270,288361.0,Aaron Lennon,Aaron,Lennon,1987-04-16,England,England,17.0,M,Right Winger,14,27.0,2.0,8.0,2.0,6.0,13.0,3.0,,,
2317,27643.0,Gary Liddle,Gary,Liddle,1986-06-15,England,England,4.0,D,Central Defender,14,,,,,,,,,,
1529,261158.0,Kevin Lisbie,Kevin,Lisbie,1978-10-17,England,Jamaica,10.0,F,Centre Striker,14,6.0,0.0,,,4.0,2.0,,,,
1497,110400.0,Freddie Ljungberg,Freddie,Ljungberg,1977-04-16,Sweden,Sweden,8.0,M,Midfielder,14,25.0,6.0,5.0,1.0,9.0,11.0,3.0,2.0,,
1959,123783.0,Lomana Lua Lua,Tresor,Lua Lua Lomana,1980-12-28,DR Congo,DR Congo,32.0,F,Forward,14,25.0,2.0,5.0,7.0,14.0,6.0,3.0,2.0,,
293,1505.0,Steve Lomas,Steve,Lomas,1974-01-18,Germany,Northern Ireland,,M,Midfielder,14,,,,,,,,,,
1306,111470.0,Luís Boa Morte,Luís,Boa Morte Pereira,1977-08-04,Portugal,Portugal,,M,Midfielder,14,35.0,8.0,6.0,6.0,16.0,13.0,9.0,9.0,,1.0
1701,4079.0,Abel Xavier,Abel Luís,da Silva Costa Xavier,1972-11-30,Portugal,Portugal,17.0,D,Defender,14,4.0,0.0,1.0,,1.0,2.0,,,,
2840,24339.0,Abou Diaby,Vassiriki,Abou Diaby,1986-05-11,France,France,5.0,M,Centre Central Midfielder,14,12.0,3.0,3.0,1.0,4.0,5.0,1.0,2.0,,
3024,4046.0,Dariusz Adamczuk,Dariusz,Adamczuk,1969-10-21,Poland,Poland,,D,Defender,14,,,,,,,,,,
2845,52642.0,Emmanuel Adebayor,Emmanuel,Adebayor,1984-02-26,Togo,Togo,10.0,F,Centre Striker,14,13.0,2.0,3.0,4.0,3.0,7.0,4.0,,,
2622,39503.0,Gabriel Agbonlahor,Gabriel,Agbonlahor,1986-10-13,England,England,,F,Left/Centre Striker,14,9.0,1.0,2.0,1.0,5.0,2.0,1.0,,,
2916,119508.0,Daniel Agger,Daniel,Agger,1984-12-12,Denmark,Denmark,22.0,D,Defender,14,4.0,1.0,1.0,,,3.0,,1.0,,
2371,119504.0,Martin Albrechtsen,Martin,Albrechtsen,1980-03-31,Denmark,Denmark,5.0,D,Centre Central Defender,14,31.0,5.0,4.0,1.0,20.0,7.0,,2.0,,
2655,114973.0,Alex,Alex Rodrigo,Dias da Costa,1982-06-17,Brazil,Brazil,33.0,D,Centre Central Defender,14,,,,,,,,,,
2871,166127.0,Ali Al Habsi,Ali Abdullah,Harib Al Habsi,1981-12-30,Oman,Oman,,G,Goalkeeper,14,,,,,,,,,,
1656,4698.0,Jérémie Aliadière,Jérémie,Aliadière,1983-03-30,France,France,10.0,F,Forward,14,7.0,0.0,,,6.0,1.0,,,,
2860,3807.0,Oliver Allen,Oliver,Allen,1986-09-07,England,England,,F,Forward,14,,,,,,,,,,
2607,12484.0,Manuel Almunia,Manuel,Almunia,1977-05-19,Spain,Spain,1.0,G,Goalkeeper,14,,,,,,,,,,
2972,39264.0,Ben Alnwick,Ben,Alnwick,1987-01-01,England,England,1.0,G,Goalkeeper,14,5.0,0.0,,,5.0,,,,,
2623,3468.0,Sam Alsop,Sam,Alsop,1985-06-04,England,England,,D,Defender,14,,,,,,,,,,
2862,285388.0,Sone Aluko,Sone,Aluko,1989-02-19,England,Nigeria,23.0,F,Centre Second Striker,14,,,,,,,,,,
2093,19031.0,Darren Ambrose,Darren,Ambrose,1984-02-29,England,England,28.0,M,Centre/Right Central Midfielder,14,28.0,3.0,6.0,3.0,15.0,7.0,2.0,2.0,,1.0
2547,29889.0,Amdy Faye,Amdy,Faye,1977-03-12,Senegal,Senegal,,M,Midfielder,14,22.0,4.0,5.0,,6.0,11.0,2.0,2.0,,
2430,3161.0,Lorenzo Amoruso,Lorenzo,Amoruso,1971-06-28,Italy,Italy,23.0,D,Defender,14,,,,,,,,,,
2215,17562.0,Stephan Andersen,Stephan,Andersen,1981-11-26,Denmark,Denmark,1.0,G,Goalkeeper,14,15.0,3.0,1.0,,8.0,6.0,,2.0,,
2922,39302.0,Paul Anderson,Paul,Anderson,1988-07-23,England,England,44.0,M,Left/Right Winger,14,,,,,,,,,,
566,3471.0,Darren Anderton,Darren,Anderton,1972-03-03,England,England,,M,Midfielder,14,,,,,,,,,,
1843,2308.0,Juan Pablo Ángel,Juan Pablo,Ángel,1975-10-24,Colombia,Colombia,9.0,F,Forward,14,31.0,1.0,11.0,3.0,14.0,6.0,1.0,3.0,,
2905,38829.0,Victor Anichebe,Victor,Anichebe,1988-04-23,Nigeria,Nigeria,28.0,F,Centre Striker,14,2.0,0.0,2.0,1.0,,,,,,
1771,12053.0,Anthony Gardner,Anthony,Gardner,1980-09-19,England,England,4.0,D,Centre Central Defender,14,17.0,8.0,4.0,,5.0,8.0,,2.0,,
2914,3888.0,Godwin Antwi,Godwin,Antwi,1988-06-07,Ghana,Ghana,,D,Defender,14,,,,,,,,,,
1972,4250.0,Julio Arca,Julio,Arca,1981-01-31,Argentina,Argentina,20.0,M,Midfielder,14,24.0,3.0,3.0,1.0,19.0,2.0,3.0,5.0,,
2704,5905.0,Mikel Arteta,Mikel,Arteta,1982-03-26,Spain,Spain,8.0,M,Left/Centre/Right Central Midfielder,14,29.0,6.0,6.0,1.0,11.0,12.0,7.0,5.0,,1.0
1999,14965.0,Jamie Ashdown,Jamie,Ashdown,1980-11-30,England,England,18.0,G,Goalkeeper,14,17.0,3.0,4.0,,10.0,3.0,,,,
3042,178071.0,Moses Ashikodi,Moses,Ashikodi,1987-06-27,Antigua & Barbuda,Antigua & Barbuda,,F,Forward,14,,,,,,,,,,
2873,91204.0,Sam Ashton,Sam,Ashton,1986-10-09,England,England,,G,Goalkeeper,14,,,,,,,,,,
2875,3828.0,Blazej Augustyn,Blazej,Augustyn,1988-01-26,Poland,Poland,44.0,D,Defender,14,,,,,,,,,,
1145,3643.0,Celestine Babayaro,Celestine,Babayaro,1978-08-29,Nigeria,Nigeria,33.0,D,Defender,14,28.0,10.0,5.0,,12.0,11.0,1.0,3.0,,1.0
3030,4600.0,Leighton Baines,Leighton,Baines,1984-12-11,England,England,3.0,D,Left Full Back,14,37.0,9.0,6.0,,16.0,15.0,,3.0,,
1706,173401.0,Eirik Bakke,Eirik,Bakke,1977-09-13,Norway,Norway,17.0,M,Midfielder,14,14.0,1.0,4.0,,6.0,4.0,,1.0,,
3007,4020.0,Sekou Baradji,Sekou,Baradji,1984-04-24,France,France,,D,Defender,14,,,,,,,,,,
2517,51275.0,Phil Bardsley,Phil,Bardsley,1985-06-28,Scotland,Scotland,26.0,D,Right Full Back,14,8.0,0.0,1.0,,2.0,5.0,,1.0,,
2361,91199.0,Lee Barnard,Lee,Barnard,1984-07-18,England,England,,F,Forward,14,3.0,0.0,,,2.0,1.0,,1.0,,
2111,34396.0,Milan Baros,Milan,Baros,1981-10-28,Czech Republic,Czech Republic,27.0,F,Forward,14,27.0,5.0,10.0,8.0,9.0,8.0,3.0,7.0,,
2913,258699.0,Antonio Barragán,Antonio,Barragán,1987-06-12,Spain,Spain,19.0,D,Right Full Back,14,,,,,,,,,,
2428,3157.0,Andrew Barrowman,Andrew,Barrowman,1984-11-27,Scotland,Scotland,,F,Forward,14,,,,,,,,,,
1308,52234.0,Gareth Barry,Gareth,Barry,1981-02-23,England,England,18.0,M,Centre Central Midfielder,14,36.0,8.0,11.0,3.0,15.0,10.0,2.0,9.0,,1.0
1854,2327.0,Shaun Bartlett,Shaun,Bartlett,1972-10-31,South Africa,South Africa,17.0,F,Forward,14,16.0,1.0,2.0,1.0,7.0,7.0,,,,
2303,57299.0,Joey Barton,Joey,Barton,1982-09-02,England,England,19.0,M,Centre Central Midfielder,14,31.0,4.0,3.0,6.0,16.0,12.0,4.0,9.0,,1.0
1983,3975.0,Christian Bassila,Christian,Bassila,1977-10-05,France,France,,M,Midfielder,14,13.0,1.0,4.0,,7.0,2.0,,,,
2527,14693.0,Matthew Bates,Matthew,Bates,1986-12-10,England,England,26.0,D,Centre Central Defender,14,16.0,2.0,5.0,,8.0,3.0,1.0,4.0,,
1005,9736.0,James Beattie,James,Beattie,1978-02-27,England,England,21.0,F,Centre Striker,14,32.0,6.0,6.0,10.0,13.0,13.0,3.0,3.0,,
2537,282076.0,Asmir Begovic,Asmir,Begovic,1987-06-20,Bosnia & Herzegovina,Bosnia & Herzegovina,15.0,G,Goalkeeper,14,,,,,,,,,,
2349,3037.0,Ryan Bell,Ryan,Bell,1973-12-12,England,England,,M,Midfielder,14,,,,,,,,,,
1869,6618.0,Craig Bellamy,Craig,Bellamy,1979-07-13,Wales,Wales,39.0,F,Left/Centre/Right Striker,14,27.0,6.0,4.0,13.0,9.0,14.0,2.0,5.0,,
2140,8146.0,David Bellion,David,Bellion,1982-11-27,France,France,11.0,F,Centre Second Striker,14,8.0,0.0,1.0,,6.0,1.0,,,,
2645,263214.0,Tal Ben Haim,Tal,Ben Haim,1982-03-31,Israel,Israel,26.0,D,Defender,14,34.0,12.0,10.0,,11.0,13.0,,7.0,,1.0
3013,263226.0,Yossi Benayoun,Yossi,Benayoun,1980-05-05,Israel,Israel,15.0,M,Midfielder,14,34.0,6.0,6.0,5.0,13.0,15.0,6.0,3.0,,
2844,167192.0,Nicklas Bendtner,Nicklas,Bendtner,1988-01-16,Denmark,Denmark,32.0,F,Centre Striker,14,,,,,,,,,,
2969,156368.0,Benjani,Benjamin,Mwaruwari,1978-08-13,Zimbabwe,Zimbabwe,25.0,F,Forward,14,16.0,0.0,3.0,1.0,7.0,6.0,2.0,1.0,,
1382,30144.0,Marcus Bent,Marcus,Bent,1978-05-19,England,England,37.0,F,Forward,14,31.0,3.0,9.0,3.0,13.0,9.0,,,,
2009,179093.0,David Bentley,David,Bentley,1984-08-27,England,England,8.0,M,Left/Centre/Right Attacking Midfielder,14,29.0,3.0,4.0,3.0,9.0,16.0,1.0,7.0,,
1205,100429.0,Patrik Berger,Patrik,Berger,1973-11-10,Czech Republic,Czech Republic,8.0,M,Left/Right Winger,14,8.0,0.0,1.0,,5.0,2.0,1.0,1.0,,
991,278257.0,Dennis Bergkamp,Dennis,Bergkamp,1969-05-10,Netherlands,Netherlands,10.0,F,Forward,14,24.0,2.0,4.0,2.0,5.0,15.0,1.0,2.0,,
2734,3613.0,Karl Bermingham,Karl,Bermingham,1985-10-06,England,England,36.0,F,Forward,14,,,,,,,,,,
2621,100063.0,Mathieu Berson,Mathieu,Berson,1980-02-23,France,France,20.0,M,Centre Defensive Midfielder,14,,,,,,,,,,
2886,281358.0,Ryan Bertrand,Ryan,Bertrand,1989-08-05,England,England,5.0,D,Left Full Back,14,,,,,,,,,,
2857,3801.0,Matthew Birley,Matthew,Birley,1986-07-26,England,England,,M,Midfielder,14,1.0,0.0,,,1.0,,,,,
2297,173412.0,Mikkel Bischoff,Mikkel,Bischoff,1982-02-03,Denmark,Denmark,24.0,D,Defender,14,,,,,,,,,,
3004,4017.0,Darren Blewitt,Darren,Blewitt,1985-09-03,England,England,,D,Defender,14,,,,,,,,,,
1361,177168.0,George Boateng,George,Boateng,1975-09-05,Netherlands,Netherlands,6.0,M,Midfielder,14,26.0,6.0,6.0,2.0,10.0,10.0,1.0,5.0,1.0,
2421,219675.0,Bobby Olejnik,Robert,Olejnik,1986-11-26,Austria,Austria,12.0,G,Goalkeeper,14,,,,,,,,,,
2463,102820.0,Carlos Bocanegra,Carlos,Bocanegra,1979-05-25,United States,United States,2.0,D,Left Full Back,14,21.0,5.0,4.0,1.0,10.0,7.0,,5.0,1.0,
2881,3835.0,Jared Borgetti,Jared,Borgetti,1973-08-14,Mexico,Mexico,,F,Forward,14,19.0,0.0,5.0,2.0,6.0,8.0,,,,
1658,177460.0,Jay Bothroyd,Jay,Bothroyd,1982-05-07,England,England,37.0,F,Centre Striker,14,18.0,0.0,6.0,2.0,8.0,4.0,,,,
2846,113498.0,Wilfred Bouma,Wilfred,Bouma,1978-06-15,Netherlands,Netherlands,5.0,D,Defender,14,20.0,6.0,6.0,,8.0,6.0,,2.0,,
2754,126068.0,Jean-Alain Boumsong,Jean-Alain,Boumsong,1979-12-14,France,France,4.0,D,Centre Central Defender,14,33.0,8.0,7.0,,14.0,12.0,,2.0,,1.0
1190,176853.0,Lee Bowyer,Lee,Bowyer,1977-01-03,England,England,8.0,M,Midfielder,14,28.0,5.0,5.0,1.0,12.0,11.0,2.0,2.0,1.0,1.0
