id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,losses,yellow_card,own_goals,wins,goals,goal_assist,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,mins_played,times_tackled,winning_goal,red_card,accurate_fwd_zone_pass,accurate_layoffs,accurate_pass,accurate_throws,aerial_won,attempts_conceded_obox,backward_pass,ball_recovery,blocked_pass,dispossessed,duel_lost,duel_won,fwd_pass,head_pass,leftside_pass,open_play_pass,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_mid_3rd,put_through,rightside_pass,successful_open_play_pass,total_contest,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_layoffs,total_pass,total_sub_on,total_tackle,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,won_contest,won_tackle,accurate_back_zone_pass,accurate_cross,accurate_cross_nocorner,accurate_long_balls,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_right,att_freekick_target,att_freekick_total,att_ibox_blocked,att_obox_blocked,att_obox_target,att_obx_centre,att_obx_left,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,blocked_scoring_att,challenge_lost,corner_taken,crosses_18yard,crosses_18yardplus,effective_clearance,error_lead_to_shot,final_third_entries,fouls,long_pass_own_to_opp,long_pass_own_to_opp_success,ontarget_att_assist,ontarget_scoring_att,overrun,passes_left,poss_won_att_3rd,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_cross,total_cross_nocorner,total_long_balls,total_scoring_att,total_sub_off,won_corners,accurate_corners_intobox,att_bx_centre,att_corner,att_goal_low_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_miss_right,att_obox_miss,big_chance_scored,goals_openplay,offtarget_att_assist,outfielder_block,shot_off_target,total_corners_intobox,was_fouled,accurate_chipped_pass,aerial_lost,attempted_tackle_foul,effective_head_clearance,head_clearance,interception,interception_won,poss_won_def_3rd,successful_put_through,accurate_flick_on,att_cmiss_left,att_miss_left,att_sv_high_left,fouled_final_third,total_pull_back,pen_goals_conceded,penalty_faced,goal_assist_openplay,lost_corners,offside_provoked,assist_attempt_saved,att_ibox_target,att_sv_low_left,blocked_cross,effective_blocked_cross,total_offside,att_ibox_miss,att_pen_miss,second_yellow,att_rf_goal,accurate_launches,att_bx_left,total_launches,hand_ball,penalty_conceded,att_fastbreak,att_sv_high_centre,shot_fastbreak,total_fastbreak,att_assist_setplay,freekick_cross,att_pen_goal,penalty_won,accurate_goal_kicks,accurate_keeper_throws,diving_save,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,total_high_claim,att_hd_goal,att_hd_total,interceptions_in_box
1879,2359.0,Gary Twigg,Gary,Twigg,1984-03-19,Scotland,Scotland,,F,Forward,10,1.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,26439.0,Michael Twiss,Michael,Twiss,1977-12-26,England,England,9.0,F,Forward,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,177809.0,Anwar Uddin,Anwar,Uddin,1981-11-01,Bangladesh,Bangladesh,,D,Defender,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,278559.0,Hakan Ünsal,Hakan,Ünsal,1973-05-14,Turkey,Turkey,57.0,D,Defender,10,8.0,0.0,2.0,2.0,2.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4432.0,David Unsworth,David,Unsworth,1973-10-16,England,England,25.0,D,Defender,10,33.0,7.0,9.0,15.0,6.0,,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,19664.0,Matt Upson,Matt,Upson,1979-04-18,England,England,4.0,D,Centre Central Defender,10,14.0,3.0,5.0,,2.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,2357.0,Simo Valakari,Simo,Valakari,1973-04-28,Finland,Finland,28.0,M,Midfielder,10,9.0,0.0,1.0,6.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,175729.0,Ryan Valentine,Ryan,Valentine,1982-08-19,Wales,Wales,23.0,D,Defender,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,173783.0,Giovanni van Bronckhorst,Giovanni,van Bronckhorst,1975-02-05,Netherlands,Netherlands,8.0,D,Defender,10,21.0,3.0,6.0,3.0,4.0,1.0,12.0,1.0,,4.0,1.0,4.0,4.0,90.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,4850.0,Raimond van der Gouw,Raimond,van der Gouw,1963-03-24,Netherlands,Netherlands,,G,Goalkeeper,10,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,119229.0,Edwin van der Sar,Edwin,van der Sar,1970-10-29,Netherlands,Netherlands,1.0,G,Goalkeeper,10,37.0,15.0,14.0,13.0,1.0,,10.0,,,1.0,1.0,1.0,1.0,90.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,105262.0,Ruud van Nistelrooy,Ruud,van Nistelrooy,1976-07-01,Netherlands,Netherlands,9.0,F,Centre Striker,10,32.0,7.0,4.0,7.0,3.0,,21.0,23.0,4.0,1.0,,,,31.0,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,2502.0,Stanislav Varga,Stanislav,Varga,1972-10-08,Slovakia,Slovakia,,D,Defender,10,9.0,1.0,2.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,27979.0,Darius Vassell,Darius,Vassell,1980-06-13,England,England,13.0,F,Forward,10,36.0,7.0,14.0,11.0,3.0,,11.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,2384.0,Mark Venus,Mark,Venus,1967-04-06,England,England,6.0,D,Defender,10,29.0,7.0,6.0,15.0,3.0,1.0,8.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,141689.0,Juan Sebastián Verón,Juan Sebastián,Verón,1975-03-09,Argentina,Argentina,11.0,M,Centre Central Midfielder,10,26.0,4.0,4.0,8.0,3.0,,14.0,5.0,1.0,4.0,1.0,1.0,1.0,59.0,,,,15.0,1.0,23.0,2.0,,3.0,5.0,1.0,3.0,1.0,6.0,6.0,12.0,,8.0,32.0,7.0,4.0,17.0,17.0,,3.0,8.0,22.0,1.0,15.0,,25.0,1.0,33.0,,6.0,2.0,55.0,2.0,1.0,1.0,,3.0,9.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,12.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,2818.0,Steve Vickers,Steve,Vickers,1967-10-13,England,England,,D,Defender,10,2.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,4712.0,Mark Viduka,Mark,Viduka,1975-10-09,Australia,Australia,36.0,F,Forward,10,33.0,16.0,11.0,6.0,3.0,,16.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,5746.0,Patrick Vieira,Patrick,Vieira,1976-06-23,Senegal,France,24.0,M,Centre Defensive Midfielder,10,36.0,14.0,8.0,3.0,10.0,,25.0,2.0,2.0,7.0,2.0,4.0,4.0,180.0,0.0,0.0,1.0,16.0,,29.0,,2.0,6.0,5.0,9.0,3.0,,10.0,12.0,17.0,2.0,8.0,35.0,8.0,1.0,12.0,12.0,6.0,3.0,9.0,27.0,3.0,12.0,2.0,23.0,,39.0,,4.0,,65.0,1.0,1.0,1.0,2.0,4.0,13.0,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,3.0,,9.0,3.0,6.0,3.0,,,,1.0,,7.0,,16.0,5.0,3.0,,,5.0,,,,,,,,,,,,,,,,1.0,,,4.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,125080.0,Moritz Volz,Moritz,Volz,1983-01-21,Germany,Germany,2.0,D,Left/Right Full Back,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,176452.0,Neil Wainwright,Neil,Wainwright,1977-11-04,England,England,,M,Midfielder,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,177669.0,Richard Walker,Richard,Walker,1977-11-08,England,England,,F,Forward,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2621.0,Rod Wallace,Rod,Wallace,1969-10-02,England,England,,F,Forward,10,19.0,1.0,8.0,9.0,2.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,3075.0,Ronnie Wallwork,Ronnie,Wallwork,1977-09-10,England,England,24.0,D,Defender,10,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,136908.0,Jonathan Walters,Jonathan,Walters,1983-09-20,Ireland,Ireland,39.0,F,Centre Striker,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,166681.0,Elliott Ward,Elliott,Ward,1985-01-19,England,England,34.0,D,Centre Central Defender,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,2605.0,Paul Warhurst,Paul,Warhurst,1969-09-26,England,England,,D,Defender,10,25.0,2.0,7.0,9.0,8.0,1.0,9.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,4004.0,Steve Watson,Steve,Watson,1974-04-01,England,England,2.0,D,Defender,10,25.0,7.0,5.0,12.0,1.0,,8.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,20001.0,Danny Webber,Danny,Webber,1981-12-28,England,England,,F,Forward,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,126098.0,David Weir,David,Weir,1970-05-10,Scotland,Scotland,3.0,D,Centre Central Defender,10,36.0,10.0,9.0,16.0,5.0,,11.0,4.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,3860.0,Sander Westerveld,Sander,Westerveld,1974-10-23,,Netherlands,26.0,G,Goalkeeper,10,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
