id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_handball_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_freekick_miss,att_freekick_total,att_goal_high_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_lf_total,att_lg_centre,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_post,att_obox_target,att_obp_goal,att_obx_centre,att_openplay,att_post_high,att_post_right,att_rf_target,att_rf_total,att_setpiece,att_sv_high_right,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,shot_fastbreak,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,assist_attempt_saved,assist_blocked_shot,att_assist_setplay,att_cmiss_high_left,att_lf_goal,att_sv_high_left,att_sv_low_left,big_chance_created,corner_taken,goals_openplay,hand_ball,total_corners_intobox,total_offside,att_cmiss_high_right,att_freekick_target,att_goal_high_centre,att_goal_low_centre,att_goal_low_left,att_obxd_left,att_obx_left,att_one_on_one,att_rf_goal,att_sv_high_centre,freekick_cross,goal_assist_setplay,accurate_pull_back,att_hd_post,clearance_off_line,foul_throw_in,offside_provoked,shield_ball_oop,total_pull_back,att_goal_high_right,red_card,penalty_conceded,goal_kicks,accurate_freekick_cross,assist_own_goal,assist_penalty_won,penalty_won,goal_assist_deadball,att_lg_right,second_goal_assist,assist_pass_lost,assist_post,att_post_left,last_man_tackle,att_obox_goal,att_pen_goal,dangerous_play,assist_free_kick_won,att_pen_target,att_freekick_goal,goal_fastbreak,accurate_goal_kicks,att_lg_left,att_obxd_right,own_goals,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,second_yellow,att_freekick_post,dive_catch,penalty_save,att_pen_post,att_pen_miss,att_obx_right
25269,306533.0,James Morris,James,Morris,2001-11-23,England,England,,D,Defender,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51574,291532.0,Tyler Morton,Tyler,Morton,2002-10-31,England,England,80.0,M,Midfielder,418,14.0,2.0,,16.0,,1.0,1.0,30.0,,,3.0,2.0,2.0,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,1.0,,2.0,,,,0.0,1.0,6.0,2.0,,,,,,,8.0,,1.0,9.0,1.0,,1.0,1.0,,,,,,5.0,,3.0,,3.0,11.0,3.0,2.0,,,66.0,,,,35.0,0.0,,4.0,4.0,,,7.0,7.0,,,5.0,,1.0,11.0,,,,,10.0,30.0,,0.0,,15.0,4.0,,,,,,13.0,1.0,20.0,,1.0,3.0,35.0,,1.0,1.0,,,,41.0,,2.0,2.0,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983,289436.0,Victor Moses,Victor,Moses,1990-12-12,Nigeria,Nigeria,8.0,M,Midfielder,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115114,276954.0,Yerson Mosquera,Yerson,Mosquera,2001-05-02,Colombia,Colombia,14.0,D,Centre Central Defender,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23824,304213.0,Louie Moulden,Louie,Moulden,2002-01-06,England,England,,G,Goalkeeper,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14580,160424.0,Mason Mount,Mason,Mount,1999-01-10,England,England,19.0,M,Centre Attacking Midfielder,418,225.0,26.0,6.0,770.0,1.0,19.0,21.0,952.0,5.0,3.0,31.0,6.0,32.0,,17.0,157.0,93.0,48.0,28.0,34.0,26.0,4.0,13.0,3.0,4.0,3.0,5.0,2.0,3.0,6.0,,4.0,,1.0,,1.0,12.0,9.0,12.0,2.0,13.0,2.0,14.0,,9.0,1.0,3.0,5.0,6.0,9.0,12.0,,5.0,,25.0,60.0,,1.0,16.0,61.0,4.0,1.0,6.0,4.0,267.0,107.0,4.0,6.0,1.0,52.0,21.0,24.0,6.0,53.0,12.0,34.0,9.0,142.0,88.0,1.0,11.0,5.0,,,73.0,93.0,13.0,30.0,313.0,27.0,11.0,25.0,23.0,2.0,10.0,10.0,6.0,5.0,31.0,3.0,13.0,,13.0,268.0,44.0,31.0,5.0,1.0,2364.0,17.0,41.0,29.0,1094.0,1.0,4.0,186.0,300.0,210.0,5.0,412.0,412.0,16.0,30.0,61.0,2.0,52.0,267.0,2.0,26.0,1.0,32.0,512.0,933.0,17.0,58.0,58.0,244.0,53.0,11.0,42.0,153.0,71.0,2.0,631.0,14.0,1024.0,3.0,20.0,38.0,1115.0,76.0,7.0,5.0,41.0,10.0,4.0,1654.0,145.0,70.0,70.0,23.0,3.0,18.0,18.0,33.0,16.0,4.0,29.0,43.0,14.0,,,14.0,,1.0,,6.0,10.0,90.0,10.0,1.0,82.0,5.0,1.0,1.0,,1.0,4.0,3.0,,,10.0,1.0,6.0,4.0,1.0,,,,,2.0,3.0,2.0,,,,2.0,,,0.0,4.0,,,,,1.0,,2.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23903,299975.0,Bali Mumba,Bali,Mumba,2001-10-08,England,England,24.0,D,Right Full Back,418,5.0,,,2.0,,,,7.0,,,1.0,,1.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,1.0,,5.0,2.0,,,2.0,,,,4.0,,,3.0,3.0,,,,,2.0,,,,,,,,,1.0,1.0,45.0,,,,9.0,,,2.0,,1.0,,4.0,4.0,,2.0,,,,3.0,,,,1.0,1.0,7.0,,1.0,,6.0,,5.0,1.0,,,,2.0,,3.0,1.0,,1.0,9.0,,,1.0,1.0,1.0,,19.0,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75991,280995.0,Joel Mumbongo,Joel,Mumbongo,1999-01-09,Sweden,Sweden,14.0,F,Centre Striker,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51610,288907.0,Romaine Mundle,Romaine,Mundle,2003-04-24,England,England,55.0,M,Midfielder,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19911,285397.0,Arijanet Muric,Arijanet,Muric,1998-11-07,Switzerland,Kosovo,49.0,G,Goalkeeper,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9662,162005.0,Jacob Murphy,Jacob,Murphy,1995-02-24,England,England,14.0,M,Left/Right Winger,418,98.0,8.0,,203.0,1.0,5.0,14.0,291.0,1.0,63.0,33.0,14.0,33.0,,8.0,155.0,73.0,16.0,11.0,16.0,6.0,2.0,8.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,,,1.0,,,1.0,3.0,1.0,6.0,3.0,3.0,1.0,8.0,,1.0,3.0,2.0,6.0,2.0,2.0,8.0,,1.0,,10.0,21.0,,1.0,3.0,18.0,2.0,1.0,2.0,,80.0,98.0,4.0,,1.0,50.0,5.0,15.0,,33.0,16.0,21.0,8.0,101.0,90.0,1.0,16.0,11.0,,,34.0,75.0,2.0,16.0,187.0,13.0,1.0,35.0,32.0,3.0,2.0,1.0,2.0,11.0,49.0,3.0,23.0,2.0,23.0,138.0,62.0,19.0,14.0,2.0,1459.0,7.0,13.0,5.0,443.0,2.0,2.0,32.0,150.0,69.0,3.0,285.0,285.0,11.0,50.0,37.0,3.0,50.0,46.0,4.0,17.0,1.0,17.0,121.0,287.0,18.0,37.0,20.0,149.0,47.0,16.0,29.0,54.0,50.0,4.0,195.0,6.0,356.0,12.0,6.0,54.0,451.0,27.0,4.0,20.0,49.0,1.0,73.0,860.0,62.0,29.0,29.0,14.0,0.0,11.0,13.0,17.0,26.0,4.0,2.0,10.0,8.0,,,2.0,,,,1.0,3.0,4.0,1.0,0.0,4.0,2.0,,,,,1.0,,1.0,2.0,,0.0,1.0,,1.0,,,,2.0,3.0,3.0,,,1.0,,,1.0,,,,,,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4772,268503.0,Glenn Murray,Glenn,Murray,1983-09-25,England,England,25.0,F,Centre Striker,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11147,94149.0,Charly Musonda,Charly,Musonda,1996-10-15,Belgium,Belgium,,M,Centre Attacking Midfielder,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
