id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
750,110015.0,Des Walker,Des,Walker,1965-11-26,England,England,,D,Centre Central Defender,2,42.0,10.0,16.0,,10.0,,16.0,1.0,1.0,
236,42034.0,Ray Wallace,Ray,Wallace,1969-10-02,England,England,,D,Defender,2,1.0,0.0,,,,,1.0,,,
703,41980.0,Paul Walsh,Paul,Walsh,1962-10-01,England,England,,F,Forward,2,11.0,3.0,6.0,4.0,2.0,,3.0,,1.0,
266,42046.0,Mark Walters,Mark,Walters,1964-02-06,England,England,,M,Midfielder,2,17.0,1.0,5.0,,7.0,,5.0,1.0,,
470,451.0,David Walton,David,Walton,1973-04-10,England,England,,D,Defender,2,,,,,,,,,,
184,42129.0,Mark Ward,Mark,Ward,1962-10-10,England,England,,D,Defender,2,27.0,6.0,4.0,1.0,14.0,,9.0,5.0,3.0,
501,2605.0,Paul Warhurst,Paul,Warhurst,1969-09-26,England,England,,D,Defender,2,13.0,2.0,3.0,,6.0,,4.0,1.0,1.0,
204,196.0,John Wark,John,Wark,1957-08-04,Scotland,Scotland,,D,Defender,2,38.0,12.0,15.0,3.0,14.0,,9.0,3.0,1.0,
836,885.0,Mark Warren,Mark,Warren,1974-12-11,England,England,,D,Defender,2,,,,,,,,,,
190,183.0,Robert Warzycha,Robert,Warzycha,1963-08-20,Poland,Poland,,M,Midfielder,2,7.0,1.0,1.0,,5.0,,1.0,,,
174,167.0,Dave Watson,Dave,Watson,1961-11-20,England,England,,D,Defender,2,28.0,7.0,8.0,1.0,13.0,1.0,7.0,1.0,1.0,
502,1399.0,Julian Watts,Julian,Watts,1971-03-17,England,England,,D,Defender,2,1.0,0.0,,,1.0,,,,,
788,824.0,Simon Webster,Simon,Webster,1964-01-20,England,England,,D,Defender,2,,,,,,,,,,
139,133.0,Roy Wegerle,Roy,Wegerle,1964-03-19,South Africa,United States,,F,Forward,2,21.0,3.0,9.0,6.0,5.0,,7.0,,5.0,
228,2071.0,David Wetherall,David,Wetherall,1971-03-14,England,England,5.0,D,Defender,2,32.0,15.0,12.0,1.0,3.0,,17.0,1.0,2.0,
208,1227.0,Phil Whelan,Phil,Whelan,1972-08-07,England,England,,D,Defender,2,29.0,10.0,9.0,,12.0,,8.0,4.0,,
764,41972.0,Adrian Whitbread,Adrian,Whitbread,1971-10-22,England,England,,D,Defender,2,35.0,4.0,12.0,1.0,18.0,,5.0,3.0,,
295,42015.0,David White,David,White,1967-10-30,England,England,,M,Midfielder,2,31.0,5.0,12.0,6.0,11.0,,8.0,2.0,1.0,
484,466.0,Dane Whitehouse,Dane,Whitehouse,1970-10-14,England,England,,M,Midfielder,2,38.0,10.0,15.0,5.0,15.0,,8.0,10.0,6.0,
700,716.0,Jim Whitley,Jim,Whitley,1975-04-14,Zambia,Northern Ireland,,M,Midfielder,2,,,,,,,,,,
664,1047.0,Guy Whittingham,Guy,Whittingham,1964-11-10,England,England,,F,Forward,2,18.0,2.0,3.0,3.0,7.0,,8.0,1.0,,
214,206.0,Steve Whitton,Steve,Whitton,1960-12-04,England,England,,M,Midfielder,2,11.0,0.0,5.0,1.0,5.0,,1.0,1.0,,
312,300.0,Neil Whitworth,Neil,Whitworth,1972-04-12,England,England,,D,Defender,2,,,,,,,,,,
535,28730.0,Tommy Widdrington,Tommy,Widdrington,1971-10-01,England,England,13.0,M,Midfielder,2,11.0,1.0,2.0,1.0,5.0,,4.0,2.0,1.0,
80,2129.0,Jason Wilcox,Jason,Wilcox,1971-07-15,England,England,,M,Midfielder,2,33.0,12.0,7.0,6.0,6.0,,20.0,1.0,9.0,
455,1083.0,Ray Wilkins,Ray,Wilkins,1956-09-14,England,England,,M,Midfielder,2,39.0,5.0,11.0,1.0,12.0,,16.0,1.0,9.0,
677,683.0,Paul Williams,Paul,Williams,1969-09-11,England,England,,D,Defender,2,9.0,0.0,4.0,,3.0,,2.0,,1.0,
796,1663.0,Danny Williamson,Danny,Williamson,1973-12-05,England,England,,M,Midfielder,2,3.0,1.0,2.0,1.0,,,1.0,,,
367,867.0,Willie Falconer,William,Falconer,1966-05-04,Scotland,Scotland,,F,Forward,2,23.0,4.0,9.0,4.0,10.0,,4.0,1.0,1.0,
452,1273.0,Clive Wilson,Clive,Wilson,1961-11-13,England,England,,D,Defender,2,42.0,10.0,12.0,3.0,14.0,,16.0,,,
11,2514.0,Nigel Winterburn,Nigel,Winterburn,1963-12-11,England,England,,D,Defender,2,34.0,16.0,13.0,,7.0,,14.0,3.0,2.0,
824,869.0,Jonas Wirmola,Jonas,Wirmola,1969-07-17,Sweden,Sweden,,D,Defender,2,8.0,1.0,3.0,,4.0,,1.0,,,
107,2711.0,Dennis Wise,Dennis,Wise,1966-12-16,England,England,,M,Midfielder,2,35.0,11.0,10.0,4.0,12.0,,13.0,2.0,9.0,1.0
822,866.0,Tony Witter,Tony,Witter,1965-08-12,England,England,,D,Defender,2,1.0,0.0,,,1.0,,,,,
531,511.0,Steve Wood,Steve,Wood,1963-06-23,England,England,,M,Midfielder,2,27.0,6.0,4.0,,15.0,,8.0,2.0,,
131,125.0,Ray Woods,Ray,Woods,1965-06-07,England,England,,M,Midfielder,2,,,,,,,,,,
375,360.0,Colin Woodthorpe,Colin,Woodthorpe,1969-01-13,England,England,,D,Defender,2,20.0,3.0,8.0,,8.0,1.0,4.0,1.0,2.0,
496,3655.0,Nigel Worthington,Nigel,Worthington,1961-11-04,Northern Ireland,Northern Ireland,,D,Defender,2,31.0,9.0,12.0,1.0,5.0,,14.0,,2.0,
29,2019.0,Ian Wright,Ian,Wright,1963-11-03,England,England,,F,Forward,2,39.0,17.0,15.0,23.0,7.0,,17.0,6.0,3.0,
201,193.0,Frank Yallop,Frank,Yallop,1964-04-04,England,Canada,,D,Defender,2,7.0,0.0,4.0,,3.0,,,,,
739,764.0,Steve Yates,Steve,Yates,1970-01-29,England,England,,D,Defender,2,29.0,6.0,8.0,,10.0,,11.0,,,
59,4762.0,Dwight Yorke,Dwight,Yorke,1971-11-03,Trinidad & Tobago,Trinidad & Tobago,19.0,M,Midfielder,2,12.0,1.0,3.0,2.0,5.0,,4.0,,,
207,2026.0,Eddie Youds,Eddie,Youds,1970-05-03,England,England,,D,Defender,2,23.0,6.0,9.0,1.0,10.0,1.0,4.0,4.0,,
219,211.0,Paul Goddard,Paul,Goddard,1959-10-12,England,England,,F,Forward,2,4.0,0.0,2.0,,1.0,,1.0,,,
826,872.0,Ty Gooden,Ty,Gooden,1972-10-23,England,England,,M,Midfielder,2,4.0,0.0,1.0,,2.0,,1.0,,1.0,
794,833.0,Dale Gordon,Dale,Gordon,1967-01-09,England,England,,M,Midfielder,2,8.0,1.0,2.0,1.0,4.0,,2.0,,1.0,
383,368.0,Jeremy Goss,Jeremy,Goss,1965-05-11,Wales,Wales,,M,Midfielder,2,34.0,8.0,15.0,6.0,10.0,,9.0,2.0,3.0,
123,1166.0,Jonathan Gould,Jonathan,Gould,1968-07-18,Scotland,Scotland,,G,Goalkeeper,2,9.0,2.0,4.0,,1.0,,4.0,,,
737,759.0,Richard Graham,Richard,Graham,1974-11-28,Northern Ireland,Northern Ireland,,M,Midfielder,2,5.0,0.0,,,3.0,,2.0,1.0,,
685,2449.0,Tony Grant,Tony,Grant,1974-11-14,England,England,,M,Midfielder,2,,,,,,,,,,
417,400.0,Ian Gray,Ian,Gray,1975-02-25,Scotland,Scotland,,G,Goalkeeper,2,,,,,,,,,,
213,205.0,David Gregory,David,Gregory,1970-01-23,England,England,,M,Midfielder,2,,,,,,,,,,
702,719.0,Carl Griffiths,Carl,Griffiths,1971-07-16,England,Wales,,F,Forward,2,16.0,2.0,7.0,4.0,6.0,,3.0,,2.0,
251,1795.0,Bruce Grobbelaar,Bruce,Grobbelaar,1957-10-06,Zimbabwe,Zimbabwe,,G,Goalkeeper,2,29.0,7.0,8.0,,9.0,,12.0,,,
701,717.0,Alfons Groenendijk,Alfons,Groenendijk,1964-05-17,Netherlands,Netherlands,,M,Midfielder,2,9.0,2.0,3.0,,3.0,,3.0,2.0,,
221,213.0,Bontcho Guenchev,Bontcho,Guenchev,1964-07-07,Bulgaria,Bulgaria,,F,Forward,2,24.0,2.0,8.0,2.0,12.0,,4.0,1.0,1.0,
371,41930.0,Bryan Gunn,Bryan,Gunn,1963-12-22,Scotland,Scotland,1.0,G,Goalkeeper,2,41.0,10.0,16.0,,13.0,,12.0,1.0,,1.0
99,1472.0,Gareth Hall,Gareth,Hall,1969-03-20,England,Wales,,D,Defender,2,7.0,0.0,1.0,,4.0,,2.0,,,
423,2069.0,Gunnar Halle,Gunnar,Halle,1965-08-11,Norway,Norway,,D,Defender,2,23.0,4.0,7.0,1.0,12.0,,4.0,3.0,1.0,
415,398.0,Jon Hallworth,Jon,Hallworth,1965-10-26,England,England,,G,Goalkeeper,2,19.0,1.0,6.0,,8.0,,5.0,,,
830,876.0,Nicky Hammond,Nicky,Hammond,1967-07-09,England,England,,G,Goalkeeper,2,13.0,0.0,5.0,,5.0,,3.0,,,
770,805.0,Chris Hamon,Chris,Hamon,1970-04-27,England,England,,F,Forward,2,1.0,0.0,,,1.0,,,,,
667,672.0,Paul Harford,Paul,Harford,1974-10-21,England,England,,D,Defender,2,,,,,,,,,,
508,2041.0,John Harkes,John,Harkes,1967-03-08,United States,United States,,M,Midfielder,2,,,,,,,,,,
254,244.0,Steve Harkness,Steve,Harkness,1971-08-27,England,England,,D,Defender,2,11.0,1.0,2.0,,3.0,,6.0,2.0,,
183,176.0,Alan Harper,Alan,Harper,1960-11-01,England,England,,D,Defender,2,,,,,,,,,,
485,467.0,Charlie Hartfield,Charlie,Hartfield,1971-09-14,England,England,,M,Midfielder,2,5.0,1.0,4.0,,1.0,,,,,
778,814.0,Micky Hazard,Micky,Hazard,1960-02-05,England,England,,M,Midfielder,2,26.0,3.0,8.0,2.0,15.0,,3.0,1.0,2.0,
628,1294.0,Paul Heald,Paul,Heald,1968-09-20,England,England,,G,Goalkeeper,2,2.0,0.0,,,2.0,,,,,
28,41924.0,Neil Heaney,Neil,Heaney,1972-08-11,England,England,,F,Forward,2,3.0,1.0,2.0,,1.0,,,,,
75,2604.0,Colin Hendry,Colin,Hendry,1965-12-07,Scotland,Scotland,,D,Defender,2,23.0,10.0,6.0,,3.0,1.0,14.0,3.0,,
428,411.0,Nick Henry,Nick,Henry,1969-02-21,England,England,,M,Midfielder,2,22.0,3.0,8.0,,11.0,,3.0,3.0,3.0,
740,765.0,Robbie Herrera,Robbie,Herrera,1970-06-12,England,England,,M,Midfielder,2,,,,,,,,,,
292,41967.0,Andy Hill,Andy,Hill,1965-01-20,England,England,,D,Defender,2,17.0,4.0,8.0,,5.0,,4.0,,,
18,41977.0,David Hillier,David,Hillier,1969-12-19,England,England,,M,Midfielder,2,15.0,5.0,5.0,,1.0,,9.0,1.0,3.0,
179,1726.0,Andy Hinchcliffe,Andy,Hinchcliffe,1969-02-05,England,England,,D,Defender,2,26.0,6.0,7.0,,12.0,,7.0,1.0,2.0,
514,1749.0,David Hirst,David,Hirst,1967-12-07,England,England,,F,Forward,2,7.0,1.0,2.0,1.0,3.0,,2.0,,,
92,88.0,Kevin Hitchcock,Kevin,Hitchcock,1962-10-05,England,England,,G,Goalkeeper,2,2.0,0.0,,,2.0,,,,,
672,679.0,Glenn Hoddle,Glenn,Hoddle,1957-10-27,England,England,,M,Midfielder,2,19.0,3.0,4.0,1.0,9.0,,6.0,,2.0,
240,1101.0,Steve Hodge,Steve,Hodge,1962-10-25,England,England,,M,Midfielder,2,8.0,1.0,5.0,1.0,2.0,,1.0,1.0,,
480,2042.0,Glyn Hodges,Glyn,Hodges,1963-04-30,England,Wales,,M,Midfielder,2,31.0,5.0,14.0,2.0,12.0,,5.0,4.0,3.0,
296,761.0,Richard Holden,Richard,Holden,1964-09-09,England,England,,M,Midfielder,2,38.0,6.0,12.0,6.0,15.0,,11.0,,6.0,1.0
603,1599.0,Dean Holdsworth,Dean,Holdsworth,1968-11-08,England,England,,F,Forward,2,42.0,10.0,11.0,17.0,13.0,,18.0,4.0,6.0,
716,41784.0,Chris Holland,Chris,Holland,1975-09-11,England,England,,M,Midfielder,2,3.0,1.0,1.0,,,,2.0,,2.0,
446,428.0,Ian Holloway,Ian,Holloway,1963-03-12,England,England,,D,Defender,2,25.0,3.0,7.0,,8.0,,10.0,1.0,3.0,
182,42073.0,Paul Holmes,Paul,Holmes,1968-02-18,England,England,,D,Defender,2,15.0,5.0,,,9.0,,6.0,1.0,2.0,
250,726.0,Mike Hooper,Mike,Hooper,1964-02-10,England,England,,G,Goalkeeper,2,19.0,7.0,2.0,,6.0,,11.0,,,
108,2530.0,David Hopkin,David,Hopkin,1970-08-21,Scotland,Scotland,,M,Midfielder,2,21.0,0.0,4.0,,13.0,,4.0,2.0,,
767,2454.0,Kevin Horlock,Kevin,Horlock,1972-11-01,Northern Ireland,Northern Ireland,,M,Midfielder,2,38.0,3.0,14.0,,19.0,1.0,5.0,3.0,1.0,
186,2177.0,Barry Horne,Barry,Horne,1962-05-18,Wales,Wales,,M,Midfielder,2,32.0,5.0,6.0,1.0,18.0,,8.0,3.0,1.0,
47,937.0,Ray Houghton,Ray,Houghton,1962-01-06,Ireland,Ireland,,M,Midfielder,2,30.0,4.0,8.0,2.0,11.0,,11.0,,3.0,
560,1992.0,David Howells,David,Howells,1967-12-15,England,England,,M,Midfielder,2,18.0,2.0,5.0,1.0,8.0,,5.0,,1.0,
714,3174.0,Steve Howey,Steve,Howey,1971-10-26,England,England,,D,Defender,2,14.0,2.0,2.0,,6.0,,6.0,,,
731,1784.0,Scott Howie,Scott,Howie,1972-01-04,Scotland,Scotland,,G,Goalkeeper,2,2.0,0.0,2.0,,,,,,,
477,458.0,Jamie Hoyland,Jamie,Hoyland,1966-01-23,England,England,,D,Defender,2,18.0,7.0,7.0,,9.0,,2.0,3.0,,
339,2598.0,Mark Hughes,Mark,Hughes,1963-11-01,Wales,Wales,,F,Forward,2,36.0,12.0,8.0,12.0,3.0,,25.0,4.0,6.0,
534,515.0,Terry Hurlock,Terry,Hurlock,1958-09-22,England,England,,M,Midfielder,2,2.0,0.0,,,2.0,,,1.0,,
137,131.0,Lee Hurst,Lee,Hurst,1970-09-21,England,England,,M,Midfielder,2,,,,,,,,,,
272,1067.0,Don Hutchison,Don,Hutchison,1971-05-09,Scotland,Scotland,,M,Midfielder,2,11.0,1.0,2.0,,5.0,,4.0,1.0,1.0,
505,486.0,Graham Hyde,Graham,Hyde,1970-11-10,England,England,,M,Midfielder,2,36.0,5.0,14.0,1.0,9.0,,13.0,1.0,3.0,
453,1915.0,Andy Impey,Andy,Impey,1971-09-30,England,England,2.0,M,Midfielder,2,33.0,5.0,9.0,3.0,12.0,,12.0,,1.0,
326,3400.0,Paul Ince,Paul,Ince,1967-10-21,England,England,8.0,M,Midfielder,2,39.0,14.0,9.0,8.0,4.0,,26.0,6.0,10.0,
284,145989.0,Kare Ingebrigtsen,Kare,Ingebrigtsen,1965-11-11,Norway,Norway,,M,Midfielder,2,8.0,1.0,2.0,,5.0,,1.0,1.0,,
698,41906.0,Rae Ingram,Rae,Ingram,1974-12-06,England,England,27.0,D,Defender,2,,,,,,,,,,
77,74.0,Simon Ireland,Simon,Ireland,1971-11-23,England,England,,M,Midfielder,2,,,,,,,,,,
315,3386.0,Denis Irwin,Denis,Irwin,1965-10-31,Ireland,Ireland,,D,Defender,2,42.0,17.0,11.0,2.0,4.0,,27.0,3.0,6.0,
670,3475.0,Muzzy Izzet,Muzzy,Izzet,1974-10-31,England,Turkey,6.0,M,Midfielder,2,,,,,,,,,,
177,4052.0,Matt Jackson,Matt,Jackson,1971-10-19,England,England,4.0,D,Defender,2,38.0,10.0,8.0,,20.0,,10.0,5.0,,
252,55236.0,David James,David,James,1970-08-01,England,England,1.0,G,Goalkeeper,2,14.0,2.0,1.0,,8.0,,5.0,,,
724,745.0,Michael Jeffrey,Michael,Jeffrey,1971-08-11,England,England,,F,Forward,2,2.0,0.0,,,1.0,,1.0,1.0,1.0,
512,41965.0,Nigel Jemson,Nigel,Jemson,1969-08-10,England,England,,F,Forward,2,18.0,2.0,6.0,5.0,3.0,,9.0,,3.0,
140,134.0,Leigh Jenkinson,Leigh,Jenkinson,1969-07-09,England,England,,F,Forward,2,16.0,3.0,5.0,,6.0,,5.0,,2.0,
17,145641.0,John Jensen,John,Jensen,1965-05-03,Denmark,Denmark,,M,Midfielder,2,27.0,10.0,11.0,,4.0,,12.0,1.0,1.0,
425,2543.0,Richard Jobson,Richard,Jobson,1963-05-09,England,England,,D,Defender,2,37.0,4.0,11.0,5.0,19.0,,7.0,5.0,1.0,
101,97.0,Erland Johnsen,Erland,Johnsen,1967-04-05,Norway,Norway,,D,Defender,2,28.0,8.0,7.0,1.0,10.0,,11.0,4.0,1.0,
209,95235.0,Gavin Johnson,Gavin,Johnson,1970-10-10,England,England,,M,Midfielder,2,16.0,2.0,5.0,1.0,10.0,,1.0,1.0,2.0,
197,190.0,Mo Johnston,Mo,Johnston,1963-04-13,Scotland,Scotland,,F,Forward,2,,,,,,,,,,
261,2289.0,Rob Jones,Rob,Jones,1971-11-05,England,England,,D,Defender,2,38.0,8.0,9.0,,14.0,,15.0,2.0,6.0,1.0
588,566.0,Roger Joseph,Roger,Joseph,1965-12-24,England,England,,D,Defender,2,13.0,5.0,6.0,,3.0,,4.0,2.0,,
357,465.0,Chris Kamara,Chris,Kamara,1957-12-25,England,England,,M,Midfielder,2,16.0,2.0,7.0,,7.0,,2.0,2.0,1.0,
324,3127.0,Andrei Kanchelskis,Andrei,Kanchelskis,1969-01-23,Russia,Russia,,F,Forward,2,31.0,9.0,7.0,6.0,3.0,,21.0,1.0,6.0,
699,714.0,Steffen Karl,Steffen,Karl,1970-02-03,Germany,Germany,,D,Defender,2,6.0,1.0,2.0,1.0,2.0,,2.0,,,
407,119241.0,Roy Keane,Roy,Keane,1971-08-10,Ireland,Ireland,16.0,M,Midfielder,2,37.0,13.0,9.0,5.0,3.0,,25.0,4.0,6.0,
171,123757.0,Jason Kearton,Jason,Kearton,1969-07-09,Australia,Australia,,G,Goalkeeper,2,,,,,,,,,,
694,704.0,Gary Kelly,Gary,Kelly,1974-07-09,Ireland,Ireland,2.0,D,Defender,2,42.0,18.0,16.0,,8.0,1.0,18.0,2.0,5.0,
524,2822.0,Jeff Kenna,Jeff,Kenna,1970-08-27,Ireland,Ireland,,D,Defender,2,41.0,6.0,7.0,2.0,23.0,,11.0,4.0,5.0,
185,760.0,Billy Kenny,Billy,Kenny,1973-09-19,England,England,,M,Midfielder,2,,,,,,,,,,
14,110016.0,Martin Keown,Martin,Keown,1966-07-24,England,England,,D,Centre Central Defender,2,33.0,10.0,12.0,,4.0,,17.0,4.0,2.0,
352,712.0,Alan Kernaghan,Alan,Kernaghan,1967-04-25,England,Ireland,,D,Defender,2,24.0,6.0,12.0,,10.0,,2.0,2.0,,
298,287.0,David Kerr,David,Kerr,1974-09-06,Scotland,Scotland,,M,Midfielder,2,2.0,1.0,,,1.0,,1.0,,,
230,42163.0,David Kerslake,David,Kerslake,1966-06-19,England,England,,D,Defender,2,17.0,2.0,4.0,,8.0,,5.0,,3.0,
494,28684.0,Lance Key,Lance,Key,1968-05-17,England,England,,G,Goalkeeper,2,2.0,1.0,,,1.0,,1.0,,,
93,89.0,Dmitri Kharin,Dmitri,Kharin,1968-08-16,Russia,Russia,,G,Goalkeeper,2,40.0,11.0,12.0,,15.0,,13.0,1.0,,
818,877.0,Brian Kilcline,Brian,Kilcline,1962-05-07,England,England,,D,Defender,2,11.0,1.0,4.0,,4.0,,3.0,1.0,,
807,846.0,Alan Kimble,Alan,Kimble,1966-06-08,England,England,,D,Defender,2,14.0,4.0,5.0,,4.0,,5.0,,2.0,
498,42044.0,Phil King,Phil,King,1967-12-28,England,England,,D,Defender,2,10.0,1.0,3.0,,6.0,,1.0,,,
222,896.0,Chris Kiwomya,Chris,Kiwomya,1969-12-02,England,England,,F,Forward,2,37.0,9.0,15.0,5.0,14.0,,8.0,3.0,2.0,
673,680.0,Jakob Kjeldbjerg,Jakob,Kjeldbjerg,1969-10-21,Denmark,Denmark,,M,Midfielder,2,29.0,9.0,9.0,1.0,11.0,,9.0,3.0,,
813,854.0,Detsi Kruszynski,Detsi,Kruszynski,1961-10-14,Poland,Poland,,M,Midfielder,2,2.0,0.0,,,2.0,,,,,
36,1469.0,Dariusz Kubicki,Dariusz,Kubicki,1963-06-06,Poland,Poland,,D,Defender,2,2.0,0.0,,,1.0,,1.0,,,
302,291.0,Paul Lake,Paul,Lake,1968-10-28,England,England,,M,Midfielder,2,,,,,,,,,,
811,851.0,Jamie Lambert,Jamie,Lambert,1973-09-14,England,England,,M,Midfielder,2,,,,,,,,,,
800,143319.0,Frank Lampard,Frank,Lampard,1978-06-20,England,England,8.0,M,Attacking Midfielder,2,,,,,,,,,,
537,518.0,Glenn Cockerill,Glenn,Cockerill,1959-08-25,England,England,,M,Midfielder,2,14.0,1.0,1.0,,11.0,,2.0,,2.0,
725,4848.0,Andrew Cole,Andrew,Cole,1971-10-15,England,England,20.0,F,Forward,2,40.0,15.0,8.0,34.0,9.0,,23.0,2.0,13.0,
751,41801.0,Simon Coleman,Simon,Coleman,1968-06-13,England,England,20.0,D,Defender,2,15.0,0.0,5.0,1.0,5.0,,5.0,,1.0,
94,176819.0,Nick Colgan,Nick,Colgan,1973-09-19,Ireland,Ireland,,G,Goalkeeper,2,,,,,,,,,,
489,471.0,Alan Cork,Alan,Cork,1959-03-04,England,England,,F,Forward,2,19.0,0.0,8.0,3.0,9.0,,2.0,,1.0,1.0
279,1467.0,Tony Coton,Tony,Coton,1961-05-19,England,England,,G,Goalkeeper,2,31.0,10.0,12.0,,14.0,,5.0,2.0,,
193,1687.0,Tony Cottee,Tony,Cottee,1965-07-11,England,England,,F,Forward,2,39.0,9.0,7.0,16.0,21.0,,11.0,1.0,3.0,
690,698.0,Leo Cotterell,Leo,Cotterell,1974-09-02,England,England,,D,Defender,2,,,,,,,,,,
693,703.0,Andrew Couzens,Andrew,Couzens,1975-06-04,England,England,,D,Defender,2,,,,,,,,,,
474,41864.0,Tom Cowan,Tom,Cowan,1969-06-28,Scotland,Scotland,,D,Defender,2,4.0,0.0,1.0,,3.0,,,,,
84,42110.0,Gordon Cowans,Gordon,Cowans,1958-10-27,England,England,,M,Midfielder,2,11.0,3.0,5.0,,2.0,,4.0,,,
665,42054.0,Steve Cowe,Steve,Cowe,1974-09-29,Scotland,Scotland,,F,Forward,2,,,,,,,,,,
40,2233.0,Neil Cox,Neil,Cox,1971-10-08,England,England,5.0,D,Defender,2,20.0,3.0,5.0,2.0,9.0,,6.0,2.0,1.0,
758,788.0,Colin Cramb,Colin,Cramb,1974-06-23,Scotland,Scotland,,F,Forward,2,1.0,0.0,,,1.0,,,,,
449,431.0,Brian Croft,Brian,Croft,1967-09-27,England,England,,D,Defender,2,,,,,,,,,,
382,367.0,Ian Crook,Ian,Crook,1963-01-18,England,England,,M,Midfielder,2,38.0,10.0,15.0,,12.0,,11.0,1.0,7.0,
378,363.0,Ian Culverhouse,Ian,Culverhouse,1964-09-22,England,England,,D,Defender,2,42.0,10.0,17.0,1.0,13.0,1.0,12.0,3.0,,
547,41877.0,Jason Cundy,Jason,Cundy,1969-11-12,England,England,,D,Defender,2,,,,,,,,,,
387,41670.0,Jamie Cureton,Jamie,Cureton,1975-08-28,England,England,,F,Forward,2,,,,,,,,,,
282,42082.0,Keith Curle,Keith,Curle,1963-11-14,England,England,,D,Defender,2,29.0,8.0,12.0,1.0,9.0,,8.0,4.0,,
797,176775.0,Darren Currie,Darren,Currie,1974-11-29,England,England,,M,Midfielder,2,,,,,,,,,,
52,42089.0,Tony Daley,Tony,Daley,1967-10-18,England,England,,M,Midfielder,2,27.0,8.0,6.0,1.0,8.0,,13.0,,3.0,
678,684.0,Julian Darby,Julian,Darby,1967-10-03,England,England,,D,Defender,2,26.0,7.0,6.0,5.0,10.0,,10.0,2.0,,
91,15180.0,Dave Beasant,Dave,Beasant,1959-03-20,England,England,39.0,G,Goalkeeper,2,25.0,4.0,5.0,,12.0,,8.0,,,
333,42128.0,Simon Davies,Simon,Davies,1974-04-23,England,Wales,,M,Midfielder,2,,,,,,,,,,
21,21.0,Paul Davis,Paul,Davis,1961-12-09,England,England,,M,Midfielder,2,22.0,9.0,9.0,,5.0,,8.0,2.0,,
