id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
91,15180.0,Dave Beasant,Dave,Beasant,1959-03-20,England,England,39.0,G,Goalkeeper,12,,,,,,,,,,
2313,139313.0,Andrew Davies,Andrew,Davies,1984-12-17,England,England,15.0,D,Centre Central Defender,12,10.0,3.0,5.0,3.0,2.0,,,,,
2423,126112.0,Steven Davis,Steven,Davis,1985-01-01,Northern Ireland,Northern Ireland,10.0,M,Centre Central Midfielder,12,,,,,,,,,,
2489,48302.0,Stephen Dawson,Stephen,Dawson,1985-12-04,Ireland,Ireland,8.0,M,Centre Central Midfielder,12,,,,,,,,,,
2227,2886.0,Mark De Bolla,Mark,De Bolla,1983-01-01,England,England,,F,Forward,12,,,,,,,,,,
2169,4286.0,Ulises de la Cruz,Ulises,de la Cruz,1974-02-08,Ecuador,Ecuador,23.0,D,Defender,12,28.0,6.0,9.0,6.0,13.0,,,2.0,,
2500,3270.0,Mark de Vries,Mark,de Vries,1975-08-24,Suriname,Suriname,20.0,F,Forward,12,,,,,,,,,,
1315,4047.0,Arjan De Zeeuw,Arjan,De Zeeuw,1970-04-16,Netherlands,Netherlands,,D,Defender,12,36.0,8.0,9.0,15.0,12.0,1.0,3.0,7.0,,
2223,2881.0,Adrian Deane,Adrian,Deane,1983-02-24,Ireland,Ireland,,M,Midfielder,12,,,,,,,,,,
1526,303240.0,Jermain Defoe,Jermain,Defoe,1982-10-07,England,England,10.0,F,Centre Striker,12,15.0,3.0,3.0,7.0,5.0,7.0,,1.0,,
1504,1815.0,Mark Delaney,Mark,Delaney,1976-05-13,Wales,Wales,2.0,D,Defender,12,25.0,5.0,6.0,9.0,10.0,,2.0,4.0,1.0,
1391,12887.0,Rory Delap,Rory,Delap,1976-07-06,Ireland,Ireland,4.0,M,Midfielder,12,27.0,6.0,9.0,10.0,8.0,1.0,2.0,1.0,,
2132,2751.0,Agustin Delgado,Agustin,Delgado,1974-12-23,Ecuador,Ecuador,,F,Forward,12,4.0,0.0,1.0,2.0,1.0,,,,,
2437,15094.0,Matt Derbyshire,Matt,Derbyshire,1986-04-14,England,England,27.0,F,Centre Striker,12,,,,,,,,,,
1533,1868.0,Marcel Desailly,Marcel,Desailly,1968-09-07,Ghana,France,,D,Defender,12,15.0,7.0,4.0,3.0,8.0,,1.0,,,
2185,2830.0,Paul Devlin,Paul,Devlin,1972-04-14,England,Scotland,,M,Midfielder,12,2.0,0.0,1.0,,1.0,,,,,
1451,3190.0,Paolo Di Canio,Paolo,Di Canio,1968-07-09,Italy,Italy,,F,Forward,12,31.0,2.0,9.0,11.0,11.0,4.0,12.0,1.0,,
2057,2639.0,Valerio Di Cesare,Valerio,Di Cesare,1983-05-23,Italy,Italy,,M,Midfielder,12,,,,,,,,,,
2285,5095.0,Salif Diao,Salif,Diao,1977-02-10,Senegal,Senegal,15.0,M,Centre Defensive Midfielder,12,3.0,0.0,1.0,1.0,1.0,,1.0,1.0,,
27,28435.0,Paul Dickov,Paul,Dickov,1972-11-01,Scotland,Scotland,,F,Forward,12,35.0,2.0,15.0,16.0,4.0,11.0,3.0,8.0,,
2595,3421.0,Dino Baggio,Dino,Baggio,1971-07-24,Italy,Italy,,M,Midfielder,12,9.0,0.0,1.0,6.0,2.0,1.0,,1.0,,
2289,11217.0,El Hadji Diouf,El Hadji,Diouf,1981-01-15,Senegal,Senegal,21.0,M,Left/Centre/Right Attacking Midfielder,12,26.0,2.0,6.0,9.0,11.0,,2.0,9.0,,1.0
2125,18714.0,Sylvain Distin,Sylvain,Distin,1977-12-16,France,France,25.0,D,Centre Central Defender,12,38.0,7.0,14.0,15.0,9.0,2.0,,6.0,,
2520,3464.0,Eric Djemba-Djemba,Eric,Djemba-Djemba,1981-05-04,Cameroon,Cameroon,14.0,M,Midfielder,12,15.0,2.0,1.0,4.0,10.0,,1.0,1.0,,
2246,4077.0,Martin Djetou,Martin,Djetou,1974-01-15,France,France,,D,Defender,12,26.0,7.0,6.0,10.0,10.0,,,3.0,,
1581,179012.0,Bojan Djordjic,Bojan,Djordjic,1982-02-06,Sweden,Sweden,32.0,M,Midfielder,12,,,,,,,,,,
2037,3752.0,Youri Djorkaeff,Youri,Djorkaeff,1968-03-09,France,France,,M,Midfielder,12,27.0,1.0,9.0,8.0,10.0,8.0,3.0,1.0,,
528,508.0,Jason Dodd,Jason,Dodd,1970-11-02,England,England,2.0,D,Defender,12,28.0,12.0,9.0,8.0,11.0,,3.0,2.0,,
2470,3226.0,Sean Doherty,Sean,Doherty,1985-05-10,England,England,,M,Midfielder,12,,,,,,,,,,
1590,174352.0,Didier Domi,Didier,Domi,1978-05-02,France,France,3.0,D,Left Full Back,12,12.0,0.0,4.0,5.0,3.0,,1.0,5.0,,
2202,26505.0,Ciaran Donnelly,Ciaran,Donnelly,1986-04-02,England,England,19.0,M,Midfielder,12,,,,,,,,,,
2314,3310.0,Doriva,Dorival,Guidoni Júnior,1972-05-28,Brazil,Brazil,20.0,M,Midfielder,12,21.0,6.0,3.0,9.0,9.0,,2.0,6.0,,
2023,19420.0,Jonathan Douglas,Jonathan,Douglas,1981-11-22,Ireland,Ireland,22.0,M,Centre Defensive Midfielder,12,14.0,4.0,4.0,5.0,5.0,1.0,,3.0,,
2315,2990.0,Craig Dove,Craig,Dove,1983-08-16,England,England,,M,Midfielder,12,,,,,,,,,,
2122,159684.0,Stewart Downing,Stewart,Downing,1984-07-22,England,England,19.0,M,Left/Right Winger,12,20.0,0.0,4.0,10.0,6.0,,1.0,,,
2425,18659.0,Colin Doyle,Colin,Doyle,1985-06-12,Ireland,Ireland,1.0,G,Goalkeeper,12,,,,,,,,,,
903,2493.0,Mark Draper,Mark,Draper,1970-11-11,England,England,,M,Midfielder,12,,,,,,,,,,
669,177233.0,Michael Duberry,Michael,Duberry,1975-10-14,England,England,5.0,D,Defender,12,19.0,2.0,5.0,10.0,4.0,3.0,,2.0,,
338,1823.0,Dion Dublin,Dion,Dublin,1969-04-22,England,England,,F,Forward,12,23.0,5.0,7.0,7.0,9.0,3.0,,1.0,,
2109,101201.0,Jerzy Dudek,Jerzy,Dudek,1973-03-23,Poland,Poland,25.0,G,Goalkeeper,12,30.0,12.0,9.0,8.0,13.0,,,,,
1004,124533.0,Damien Duff,Damien,Duff,1979-03-02,Ireland,Ireland,11.0,M,Left Winger,12,23.0,4.0,4.0,3.0,16.0,5.0,9.0,,,
2543,11801.0,Richard Duffy,Richard,Duffy,1985-08-30,Wales,Wales,5.0,D,Centre Central Defender,12,1.0,0.0,1.0,,,,,,,
1206,4146.0,David Thompson,David,Thompson,1977-09-12,England,England,15.0,M,Midfielder,12,11.0,0.0,2.0,7.0,2.0,1.0,1.0,5.0,,
1935,2455.0,Danny Tiatto,Danny,Tiatto,1973-05-22,Australia,Australia,,M,Midfielder,12,5.0,0.0,2.0,1.0,2.0,,1.0,1.0,,
2242,4341.0,Li Tie,Li,Tie,1977-09-18,China,China,30.0,M,Midfielder,12,5.0,1.0,3.0,2.0,,,,,,1.0
1942,2465.0,Paul Tierney,Paul,Tierney,1982-09-15,England,England,,M,Midfielder,12,,,,,,,,,,
2308,2982.0,Mads Timm,Mads,Timm,1984-10-31,Denmark,Denmark,,F,Forward,12,,,,,,,,,,
356,178390.0,Andrew Todd,Andrew,Todd,1974-09-21,England,England,,D,Defender,12,19.0,5.0,2.0,11.0,6.0,,1.0,4.0,1.0,
1984,4475.0,Svetoslav Todorov,Svetoslav,Todorov,1978-08-30,Bulgaria,Bulgaria,25.0,F,Forward,12,1.0,0.0,,1.0,,,,,,
2034,2611.0,Stig Töfting,Stig,Töfting,1969-08-14,Denmark,Denmark,,M,Midfielder,12,,,,,,,,,,
2105,29474.0,Tom Williamson,Thomas,Williamson,1984-12-24,England,England,,M,Central Midfielder,12,,,,,,,,,,
1571,121145.0,Djimi Traore,Djimi,Traore,1980-03-01,France,Mali,18.0,D,Left Full Back,12,7.0,3.0,2.0,2.0,3.0,,,,,
2024,2592.0,Tugay,Tugay,Kerimoglou,1970-08-24,Turkey,Turkey,5.0,M,Midfielder,12,36.0,6.0,8.0,17.0,11.0,1.0,7.0,4.0,,
2309,19429.0,Ross Turnbull,Ross,Turnbull,1985-01-04,England,England,22.0,G,Goalkeeper,12,,,,,,,,,,
2217,50105.0,Michael Turner,Michael,Turner,1983-11-09,England,England,6.0,D,Centre Central Defender,12,,,,,,,,,,
181,4432.0,David Unsworth,David,Unsworth,1973-10-16,England,England,25.0,D,Defender,12,26.0,4.0,6.0,12.0,8.0,3.0,,3.0,,
1131,19664.0,Matt Upson,Matt,Upson,1979-04-18,England,England,4.0,D,Centre Central Defender,12,30.0,12.0,10.0,10.0,10.0,,1.0,2.0,,
2302,2971.0,David Vadon,David,Vadon,1988-06-02,Uruguay,Uruguay,,M,Midfielder,12,,,,,,,,,,
2003,173783.0,Giovanni van Bronckhorst,Giovanni,van Bronckhorst,1975-02-05,Netherlands,Netherlands,8.0,D,Defender,12,,,,,,,,,,
2510,125871.0,Daniel Van Buyten,Daniel,Van Buyten,1978-02-07,Belgium,Belgium,5.0,D,Centre Central Defender,12,5.0,1.0,1.0,3.0,1.0,,,,,1.0
2070,110391.0,Edwin van der Sar,Edwin,van der Sar,1970-10-29,Netherlands,Netherlands,1.0,G,Goalkeeper,12,37.0,15.0,10.0,13.0,14.0,,,,,
2117,105262.0,Ruud van Nistelrooy,Ruud,van Nistelrooy,1976-07-01,Netherlands,Netherlands,9.0,F,Centre Striker,12,32.0,10.0,6.0,6.0,20.0,20.0,2.0,4.0,,
2228,2888.0,Alex Varney,Alex,Varney,1984-12-27,England,England,31.0,F,Forward,12,,,,,,,,,,
1309,27979.0,Darius Vassell,Darius,Vassell,1980-06-13,England,England,13.0,F,Forward,12,32.0,6.0,10.0,8.0,14.0,9.0,1.0,,,
2504,96618.0,Stephen Vaughan,Stephen,Vaughan,1985-01-22,England,England,,D,Defender,12,,,,,,,,,,
2116,141689.0,Juan Sebastián Verón,Juan Sebastián,Verón,1975-03-09,Argentina,Argentina,11.0,M,Centre Central Midfielder,12,7.0,1.0,2.0,,5.0,1.0,,,,
2333,121184.0,Vlastimil Vidlicka,Vlastimil,Vidlicka,1981-07-02,Czech Republic,Czech Republic,24.0,D,Right Wing Back,12,,,,,,,,,,
1909,4712.0,Mark Viduka,Mark,Viduka,1975-10-09,Australia,Australia,36.0,F,Forward,12,30.0,3.0,7.0,15.0,8.0,11.0,3.0,3.0,,2.0
1132,5746.0,Patrick Vieira,Patrick,Vieira,1976-06-23,Senegal,France,24.0,M,Centre Defensive Midfielder,12,29.0,12.0,9.0,,20.0,3.0,4.0,9.0,,1.0
867,26388.0,Jamie Vincent,Jamie,Vincent,1975-06-18,England,England,3.0,D,Defender,12,,,,,,,,,,
2552,20544.0,Rowan Vine,Rowan,Vine,1982-09-21,England,England,,F,Forward,12,,,,,,,,,,
1830,125080.0,Moritz Volz,Moritz,Volz,1983-01-21,Germany,Germany,2.0,D,Left/Right Full Back,12,33.0,12.0,9.0,12.0,12.0,,,5.0,,
2304,2973.0,Matías Vuoso,Matías,Vuoso,1981-11-03,Mexico,Mexico,,F,Forward,12,,,,,,,,,,
2229,178311.0,James Walker,James,Walker,1987-11-25,England,England,,F,Forward,12,,,,,,,,,,
2047,136908.0,Jonathan Walters,Jonathan,Walters,1983-09-20,Ireland,Ireland,39.0,F,Centre Striker,12,,,,,,,,,,
2269,261317.0,Simon Walton,Simon,Walton,1987-09-13,England,England,4.0,M,Midfielder,12,,,,,,,,,,
1179,127475.0,Paulo Wanchope,Paulo,Wanchope,1976-07-31,Costa Rica,Costa Rica,11.0,F,Forward,12,22.0,1.0,10.0,7.0,5.0,6.0,2.0,1.0,,
2536,3320.0,Harald Wapenaar,Harald,Wapenaar,1970-04-10,Netherlands,Netherlands,,G,Goalkeeper,12,5.0,1.0,,4.0,1.0,,,,,
501,2605.0,Paul Warhurst,Paul,Warhurst,1969-09-26,England,England,,D,Defender,12,,,,,,,,,,
2279,93980.0,Stephen Warnock,Stephen,Warnock,1981-12-12,England,England,15.0,D,Left Full Back,12,,,,,,,,,,
720,4004.0,Steve Watson,Steve,Watson,1974-04-01,England,England,2.0,D,Defender,12,24.0,2.0,9.0,9.0,6.0,5.0,3.0,4.0,,
1558,126098.0,David Weir,David,Weir,1970-05-10,Scotland,Scotland,3.0,D,Centre Central Defender,12,10.0,3.0,3.0,7.0,,,,1.0,,
2282,131907.0,John Welsh,John,Welsh,1984-01-10,England,England,4.0,M,Centre Central Midfielder,12,1.0,0.0,,1.0,,,,1.0,,
2492,91289.0,James Wesolowski,James,Wesolowski,1987-08-25,Australia,Australia,4.0,M,Midfielder,12,,,,,,,,,,
2221,261176.0,Myles Weston,Myles,Weston,1988-03-12,Antigua & Barbuda,Antigua & Barbuda,11.0,M,Midfielder,12,,,,,,,,,,
2507,306585.0,Keiren Westwood,Keiren,Westwood,1984-10-23,Ireland,Ireland,29.0,G,Goalkeeper,12,,,,,,,,,,
2299,289829.0,Glenn Whelan,Glenn,Whelan,1984-01-13,Ireland,Ireland,26.0,M,Centre Defensive Midfielder,12,,,,,,,,,,
2505,20044.0,Zak Whitbread,Zak,Whitbread,1984-03-04,United States,United States,4.0,D,Centre Central Defender,12,,,,,,,,,,
2171,48281.0,Peter Whittingham,Peter,Whittingham,1984-09-08,England,England,11.0,M,Left/Centre Central Midfielder,12,32.0,5.0,10.0,11.0,11.0,,4.0,5.0,,
1936,2456.0,Gerard Wiekens,Gerard,Wiekens,1973-02-25,Netherlands,Netherlands,,M,Midfielder,12,,,,,,,,,,
80,2129.0,Jason Wilcox,Jason,Wilcox,1971-07-15,England,England,,M,Midfielder,12,6.0,0.0,3.0,3.0,,,,1.0,,
1997,176873.0,Tom Williams,Tom,Williams,1980-07-08,Cyprus,Cyprus,,M,Midfielder,12,,,,,,,,,,
2514,96520.0,Willo Flood,William,Flood,1985-04-10,Ireland,Ireland,14.0,M,Centre/Right Attacking Midfielder,12,,,,,,,,,,
2084,261151.0,Calum Willock,Calum,Willock,1981-10-29,St. Kitts & Nevis,St. Kitts & Nevis,,F,Forward,12,,,,,,,,,,
1428,177236.0,Mark Wilson,Mark,Wilson,1979-02-09,England,England,24.0,M,Midfielder,12,,,,,,,,,,
1836,174170.0,Sylvain Wiltord,Sylvain,Wiltord,1974-05-10,France,France,,F,Forward,12,12.0,1.0,4.0,,8.0,3.0,,,,
2476,3236.0,Jamie Winter,Jamie,Winter,1985-08-04,Scotland,Scotland,42.0,M,Midfielder,12,,,,,,,,,,
1726,2159.0,Neil Wood,Neil,Wood,1983-04-01,England,England,,F,Forward,12,,,,,,,,,,
1565,132633.0,Jonathan Woodgate,Jonathan,Woodgate,1980-01-22,England,England,39.0,D,Centre Central Defender,12,18.0,6.0,8.0,2.0,8.0,,,3.0,,
2192,2838.0,Curtis Woodhouse,Curtis,Woodhouse,1980-04-17,England,England,,M,Midfielder,12,,,,,,,,,,
2474,294358.0,Martin Woods,Martin,Woods,1986-01-01,Scotland,Scotland,26.0,M,Central Midfielder,12,,,,,,,,,,
878,25111.0,Richard Wright,Richard,Wright,1977-11-05,England,England,,G,Goalkeeper,12,4.0,0.0,2.0,1.0,1.0,,,,,
2336,3018.0,Alaeddine Yahia,Alaeddine,Yahia,1981-08-26,Tunisia,Tunisia,15.0,D,Defender,12,,,,,,,,,,
2553,43839.0,Yakubu,Yakubu,Aiyegbeni,1982-11-22,Nigeria,Nigeria,22.0,F,Striker,12,37.0,3.0,9.0,16.0,12.0,16.0,3.0,2.0,,
2360,167262.0,Mark Yeates,Mark,Yeates,1985-01-11,Ireland,Ireland,17.0,M,Winger,12,1.0,1.0,,,1.0,,,,,
2429,93159.0,David Yelldell,David,Yelldell,1981-10-01,Germany,United States,1.0,G,Goalkeeper,12,,,,,,,,,,
2239,11596.0,Joseph Yobo,Joseph,Yobo,1980-09-06,Nigeria,Nigeria,26.0,D,Centre/Right Central Defender,12,28.0,7.0,9.0,12.0,7.0,2.0,,,1.0,
59,4762.0,Dwight Yorke,Dwight,Yorke,1971-11-03,Trinidad & Tobago,Trinidad & Tobago,19.0,M,Midfielder,12,23.0,1.0,5.0,12.0,6.0,4.0,2.0,,,
2218,16484.0,Kelly Youga,Kelly,Youga,1985-09-22,Central African Republic,Central African Republic,32.0,D,Defender,12,,,,,,,,,,
1464,6078.0,Luke Young,Luke,Young,1979-07-19,England,England,21.0,D,Left/Right Full Back,12,24.0,4.0,6.0,9.0,9.0,,,5.0,,
2603,18814.0,Bobby Zamora,Bobby,Zamora,1981-01-16,England,England,25.0,F,Centre Striker,12,16.0,0.0,2.0,10.0,4.0,,2.0,1.0,,
2056,5471.0,Boudewijn Zenden,Boudewijn,Zenden,1976-08-15,Netherlands,Netherlands,7.0,M,Left/Centre Central Midfielder,12,31.0,11.0,7.0,12.0,12.0,4.0,4.0,3.0,,1.0
1727,2766.0,Christian Ziege,Christian,Ziege,1972-02-01,Germany,Germany,,D,Defender,12,8.0,1.0,,5.0,3.0,,,2.0,,
2601,279284.0,Boris Zivkovic,Boris,Zivkovic,1975-11-15,Croatia,Croatia,,D,Defender,12,18.0,5.0,4.0,10.0,4.0,,1.0,4.0,,
2534,15199.0,Calvin Zola,Calvin,Zola,1984-12-31,DR Congo,DR Congo,10.0,F,Centre Striker,12,,,,,,,,,,
2194,2844.0,Christophe Dugarry,Christophe,Dugarry,1972-03-24,France,France,,F,Forward,12,14.0,0.0,5.0,4.0,5.0,1.0,1.0,4.0,,1.0
1337,20833.0,David Dunn,David,Dunn,1979-12-27,England,England,17.0,M,Centre Attacking Midfielder,12,21.0,7.0,7.0,6.0,8.0,2.0,1.0,3.0,,
1184,11886.0,Richard Dunne,Richard,Dunne,1979-09-21,Ireland,Ireland,22.0,D,Centre Central Defender,12,29.0,4.0,11.0,12.0,6.0,,,5.0,,
1740,6097.0,Kieron Dyer,Kieron,Dyer,1978-12-29,England,England,18.0,M,Centre/Right Attacking Midfielder,12,25.0,8.0,13.0,3.0,9.0,1.0,3.0,1.0,,
2524,161189.0,Chris Eagles,Chris,Eagles,1985-11-19,England,England,33.0,M,Left/Right Winger,12,,,,,,,,,,
2343,10072.0,Eddie Odhiambo,Edward,Odhiambo-Anaclet,1985-08-31,Tanzania,Tanzania,,D,Defender,12,,,,,,,,,,
1834,127970.0,Edu,Eduardo César,Daude Gaspar,1978-05-15,Brazil,Brazil,22.0,M,Midfielder,12,30.0,4.0,8.0,,22.0,2.0,2.0,4.0,,
2168,175854.0,Rob Edwards,Rob,Edwards,1982-12-25,Wales,Wales,4.0,D,Defender,12,,,,,,,,,,
